,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,43.939999,44.049999,42.5,42.93,38.622627,12227500
1,2016-01-05,42.959999,43.200001,42.610001,42.919998,38.613621,8245200
2,2016-01-06,42.310001,42.98,42.209999,42.560001,38.289749,5906000
3,2016-01-07,41.68,42.18,41.400002,41.540001,37.372089,7151400
4,2016-01-08,41.860001,41.900002,40.540001,40.669998,36.589378,7477700
5,2016-01-11,40.77,40.900002,40.099998,40.73,36.64336,7839700
6,2016-01-12,40.990002,41.610001,40.869999,41.459999,37.300121,7328900
7,2016-01-13,41.48,41.689999,40.16,40.279999,36.467201,5754400
8,2016-01-14,40.34,41.32,40.139999,41.099998,37.209579,7326800
9,2016-01-15,39.849998,40.919998,39.75,40.540001,36.702599,10464800
10,2016-01-19,41.099998,41.32,40.130001,40.43,36.603004,7997300
11,2016-01-20,39.73,40.279999,39.080002,39.959999,36.177486,11279900
12,2016-01-21,40.18,40.18,39.240002,39.48,35.742935,10089500
13,2016-01-22,40.200001,40.200001,39.740002,40.029999,36.240868,8854600
14,2016-01-25,40.029999,40.16,39.580002,39.66,35.905899,5304600
15,2016-01-26,39.860001,40.439999,39.650002,40.16,36.358559,5360400
16,2016-01-27,39.950001,41.490002,39.900002,40.470001,36.639221,10530700
17,2016-01-28,38.41,38.5,36.0,36.709999,33.23513,23544400
18,2016-01-29,36.689999,37.869999,36.68,37.849998,34.267216,16124300
19,2016-02-01,36.169998,38.709999,36.169998,38.450001,34.810425,14252500
20,2016-02-02,38.0,38.73,37.82,37.880001,34.294384,9632400
21,2016-02-03,38.23,38.41,37.099998,38.02,34.421127,6914000
22,2016-02-04,37.779999,38.220001,37.529999,38.009998,34.412079,5103800
23,2016-02-05,38.23,38.349998,37.119999,37.41,33.86887,5750200
24,2016-02-08,37.189999,37.639999,36.689999,37.459999,33.914139,7802000
25,2016-02-09,36.959999,37.779999,36.869999,37.0,33.497677,8691600
26,2016-02-10,37.580002,38.18,37.119999,37.209999,33.687813,7909400
27,2016-02-11,36.439999,36.849998,36.02,36.34,32.90015,7724000
28,2016-02-12,36.700001,37.150002,36.400002,37.130001,33.615376,6424800
29,2016-02-16,37.130001,38.009998,37.119999,37.990002,34.393974,7960200
30,2016-02-17,38.369999,38.560001,38.240002,38.450001,34.810425,6358900
31,2016-02-18,38.34,38.889999,38.220001,38.310001,34.683678,5617800
32,2016-02-19,38.32,38.650002,38.139999,38.529999,34.882847,5735000
33,2016-02-22,38.529999,39.240002,38.529999,39.16,35.453217,4946300
34,2016-02-23,38.91,39.049999,38.299999,38.389999,34.756111,6144300
35,2016-02-24,38.18,39.32,37.970001,39.200001,35.489433,7054800
36,2016-02-25,39.220001,39.639999,38.970001,39.630001,35.878738,7608300
37,2016-02-26,39.48,39.880001,39.220001,39.52,35.779148,8741400
38,2016-02-29,39.34,39.84,38.740002,38.740002,35.072971,8463400
39,2016-03-01,38.91,39.459999,38.799999,39.330002,35.607124,9693900
40,2016-03-02,39.349998,39.57,39.099998,39.34,35.616177,7498100
41,2016-03-03,38.560001,38.889999,38.09,38.82,35.145405,13516200
42,2016-03-04,38.849998,39.369999,38.799999,39.18,35.471321,7419200
43,2016-03-07,39.0,39.389999,38.919998,39.18,35.471321,5955800
44,2016-03-08,38.950001,39.490002,38.880001,39.169998,35.462269,7704200
45,2016-03-09,39.259998,39.389999,39.009998,39.279999,35.561867,6196000
46,2016-03-10,39.41,39.880001,38.82,39.029999,35.335518,8716900
47,2016-03-11,39.25,40.450001,39.080002,40.369999,36.548687,11786400
48,2016-03-14,40.310001,40.68,39.990002,40.5,36.666378,5707800
49,2016-03-15,40.16,40.34,39.549999,39.900002,36.12318,5309200
50,2016-03-16,40.139999,40.32,39.779999,40.18,36.376667,5393000
51,2016-03-17,40.200001,40.41,39.529999,40.290001,36.476261,6089900
52,2016-03-18,40.360001,40.939999,40.139999,40.790001,36.928925,10143900
53,2016-03-21,40.580002,40.77,40.439999,40.759998,36.901772,4054800
54,2016-03-22,40.5,41.16,40.34,41.029999,37.14621,6652300
55,2016-03-23,40.84,41.34,40.689999,40.779999,36.919876,4087600
56,2016-03-24,40.639999,40.900002,40.360001,40.75,36.892723,4261000
57,2016-03-28,40.77,41.0,40.610001,40.880001,37.010406,3328000
58,2016-03-29,40.75,41.529999,40.709999,41.470001,37.544563,4127000
59,2016-03-30,41.599998,41.939999,41.490002,41.650002,37.707523,3433000
60,2016-03-31,41.650002,42.0,41.509998,41.830002,37.870487,5168400
61,2016-04-01,41.529999,42.259998,41.360001,42.189999,38.196411,3972900
62,2016-04-04,42.34,42.669998,42.16,42.32,38.314106,4407800
63,2016-04-05,42.009998,42.259998,41.889999,42.040001,38.060608,6582700
