,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,102.620003,102.650002,100.970001,101.830002,92.803703,2817000
1,2016-01-05,101.970001,102.870003,101.470001,102.360001,93.28672,2409000
2,2016-01-06,100.809998,103.059998,100.540001,102.160004,93.104454,3134200
3,2016-01-07,99.75,100.839996,98.839996,99.160004,90.370369,3194700
4,2016-01-08,99.480003,99.809998,98.0,98.199997,89.495445,2330200
5,2016-01-11,98.480003,99.720001,98.080002,99.230003,90.434158,2734400
6,2016-01-12,99.959999,101.290001,99.440002,101.010002,92.056381,2811000
7,2016-01-13,101.389999,101.75,98.739998,99.260002,90.46151,3160200
8,2016-01-14,99.120003,102.470001,98.910004,101.879997,92.849266,4285500
9,2016-01-15,98.739998,101.010002,98.449997,99.269997,90.470604,5184300
10,2016-01-19,100.160004,101.949997,99.779999,101.379997,92.393562,3477500
11,2016-01-20,99.239998,100.190002,97.139999,99.059998,90.279213,5245000
12,2016-01-21,99.040001,99.910004,98.0,98.290001,89.577484,4499300
13,2016-01-22,99.790001,102.360001,99.559998,102.239998,93.177353,3609700
14,2016-01-25,102.209999,103.150002,101.239998,101.75,92.730789,2962100
15,2016-01-26,101.790001,103.129997,101.449997,102.529999,93.441635,2925500
16,2016-01-27,102.669998,103.599998,101.330002,101.959999,92.922165,3044300
17,2016-01-28,102.839996,103.589996,101.589996,103.080002,93.942886,3378800
18,2016-01-29,103.370003,105.650002,103.239998,105.540001,96.184837,4878500
19,2016-02-01,104.75,106.800003,104.730003,106.279999,96.859238,3693100
20,2016-02-02,105.269997,105.620003,103.449997,103.82,94.617294,2992900
21,2016-02-03,104.449997,104.68,100.620003,102.099998,93.049736,4535300
22,2016-02-04,102.220001,103.019997,101.379997,102.730003,93.623924,3875400
23,2016-02-05,102.419998,102.589996,98.580002,98.970001,90.197212,3894500
24,2016-02-08,96.650002,96.650002,93.349998,95.07,86.642906,6681700
25,2016-02-09,94.010002,95.080002,91.400002,93.32,85.048027,6679500
26,2016-02-10,94.43,95.739998,94.129997,94.209999,85.859123,4649100
27,2016-02-11,92.540001,93.919998,92.25,93.43,85.148277,4202800
28,2016-02-12,94.43,95.0,93.989998,94.699997,86.305702,3122500
29,2016-02-16,96.239998,97.089996,95.480003,96.910004,88.319817,3808300
30,2016-02-17,97.739998,99.910004,97.730003,99.010002,90.233665,3741700
31,2016-02-18,99.620003,101.120003,98.309998,98.519997,89.787079,2740200
32,2016-02-19,98.309998,99.019997,97.93,98.949997,90.178978,3229400
33,2016-02-22,100.160004,100.589996,99.580002,100.349998,91.454872,2126300
34,2016-02-23,100.339996,100.68,99.550003,99.650002,90.816925,2359100
35,2016-02-24,98.650002,99.620003,97.919998,99.550003,90.725784,2567800
36,2016-02-25,99.959999,100.93,99.160004,100.910004,91.965248,2794500
37,2016-02-26,101.480003,102.099998,100.949997,101.120003,92.156624,2109900
38,2016-02-29,100.68,101.730003,100.139999,100.260002,91.372849,2389500
39,2016-03-01,101.379997,103.449997,101.0,103.449997,94.280106,2125500
40,2016-03-02,103.480003,103.480003,101.980003,102.660004,93.56012,2436000
41,2016-03-03,102.449997,102.849998,101.18,102.800003,93.687721,2036200
42,2016-03-04,103.089996,103.550003,102.57,103.18,94.034019,1581900
43,2016-03-07,102.440002,102.559998,101.5,102.400002,93.323158,1835600
44,2016-03-08,101.75,102.940002,101.360001,102.620003,93.523666,2330600
45,2016-03-09,102.93,103.419998,102.620003,103.400002,94.234505,2296300
46,2016-03-10,103.639999,104.400002,102.099998,103.580002,94.398567,2406900
47,2016-03-11,104.489998,105.800003,104.160004,105.68,96.312431,2952700
48,2016-03-14,105.099998,106.699997,104.970001,106.32,96.895691,2757900
49,2016-03-15,106.059998,107.290001,105.400002,107.07,97.579208,2391000
50,2016-03-16,107.239998,107.919998,106.260002,107.589996,98.053116,2332800
51,2016-03-17,107.589996,108.669998,107.190002,108.559998,98.937141,2876700
52,2016-03-18,108.730003,108.730003,107.190002,107.769997,98.217155,8616800
53,2016-03-21,107.330002,108.849998,107.139999,108.160004,98.572594,3472200
54,2016-03-22,107.720001,108.43,107.290001,107.830002,98.271843,2136200
55,2016-03-23,107.379997,108.360001,107.209999,107.660004,98.116928,3193300
56,2016-03-24,108.790001,114.440002,108.68,114.300003,104.168358,6472700
57,2016-03-28,114.43,115.459999,113.68,114.169998,104.049858,4214700
58,2016-03-29,113.5,115.470001,113.449997,115.260002,105.043243,4033800
59,2016-03-30,115.400002,116.510002,115.029999,115.370003,105.143501,3182300
60,2016-03-31,115.099998,116.0,115.0,115.400002,105.17083,2740600
61,2016-04-01,114.760002,116.519997,114.699997,116.349998,106.036613,2019200
62,2016-04-04,116.080002,116.199997,114.919998,115.5,105.261955,2231900
63,2016-04-05,114.489998,115.150002,113.900002,114.129997,104.013405,2069700
64,2016-04-06,113.989998,114.949997,113.739998,114.669998,104.505547,2918800
65,2016-04-07,113.730003,114.019997,111.790001,112.099998,102.163353,3075900
66,2016-04-08,112.919998,113.230003,111.849998,112.830002,102.828636,1627300
67,2016-04-11,112.940002,114.0,112.800003,113.099998,103.074707,2465400
68,2016-04-12,113.330002,114.5,112.919998,114.389999,104.250366,2715500
69,2016-04-13,113.870003,115.019997,113.470001,114.959999,105.787102,4390500
70,2016-04-14,115.0,115.269997,114.139999,114.75,105.593857,2062200
71,2016-04-15,114.760002,115.309998,114.339996,114.82,105.658287,2299700
72,2016-04-18,114.269997,115.68,113.949997,115.589996,106.366821,2237500
