,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,54.240002,54.470001,53.630001,54.439999,48.543205,2648900
1,2016-01-05,54.73,54.84,53.860001,54.040001,48.186543,2689500
2,2016-01-06,53.07,53.540001,51.43,51.740002,46.135662,3779700
3,2016-01-07,50.450001,51.459999,50.029999,50.419998,44.958641,5163000
4,2016-01-08,50.740002,51.549999,49.98,49.98,44.566303,3805200
5,2016-01-11,51.040001,51.759998,50.419998,51.169998,45.627403,3437900
6,2016-01-12,51.549999,52.220001,50.970001,51.650002,46.05542,2445900
7,2016-01-13,51.720001,52.349998,50.029999,50.099998,44.673306,2659500
8,2016-01-14,50.540001,51.060001,49.91,50.5,45.029984,3377000
9,2016-01-15,48.16,49.950001,47.240002,49.82,44.423637,8245400
10,2016-01-19,50.330002,50.98,48.490002,49.389999,44.040207,3707100
11,2016-01-20,49.349998,51.130001,49.0,50.580002,45.101315,5069700
12,2016-01-21,51.509998,51.68,50.110001,50.529999,45.056728,3972000
13,2016-01-22,51.5,51.759998,50.810001,51.380001,45.814659,1767600
14,2016-01-25,51.27,51.52,50.77,51.049999,45.520409,2642200
15,2016-01-26,51.34,51.959999,50.900002,51.290001,45.734413,2362700
16,2016-01-27,51.029999,52.209999,50.82,51.279999,45.725483,2747900
17,2016-01-28,51.669998,51.970001,51.139999,51.759998,46.153503,2693200
18,2016-01-29,52.07,53.939999,51.330002,53.860001,48.026024,3378100
19,2016-02-01,53.380001,53.700001,52.959999,53.169998,47.41077,2295700
20,2016-02-02,52.040001,52.66,51.27,51.34,45.778984,3151700
21,2016-02-03,51.939999,51.970001,50.459999,51.380001,45.814659,2425600
22,2016-02-04,51.209999,52.150002,50.889999,51.669998,46.073254,1772300
23,2016-02-05,51.400002,51.810001,49.560001,49.82,44.423637,2506000
24,2016-02-08,49.25,49.68,48.290001,49.16,43.835117,2994100
25,2016-02-09,48.84,50.130001,48.619999,49.310001,43.968884,3112100
26,2016-02-10,49.709999,50.060001,48.919998,48.959999,43.656792,1897500
27,2016-02-11,48.369999,49.34,48.169998,48.84,43.549782,2416700
28,2016-02-12,49.599998,49.799999,48.68,49.639999,44.263138,3741500
29,2016-02-16,49.790001,52.349998,49.790001,52.07,46.429916,4819000
30,2016-02-17,51.119999,53.98,51.119999,52.73,47.018429,3909900
31,2016-02-18,53.009998,53.630001,51.93,52.040001,46.403172,2184100
32,2016-02-19,51.880001,52.41,51.669998,52.099998,46.456676,2276700
33,2016-02-22,52.669998,53.119999,52.099998,52.610001,46.911442,1776700
34,2016-02-23,52.459999,52.73,51.389999,51.459999,45.88599,1781400
35,2016-02-24,50.599998,51.849998,50.099998,51.810001,46.578236,2690900
36,2016-02-25,53.060001,53.119999,51.43,52.990002,47.639091,2430200
37,2016-02-26,53.299999,53.619999,52.880001,53.439999,48.043644,1758200
38,2016-02-29,53.459999,53.950001,52.990002,52.990002,47.639091,2159600
39,2016-03-01,53.950001,54.720001,53.009998,54.700001,49.176418,2188600
