,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,54.970001,55.689999,54.27,55.549999,51.240623,1284700
1,2016-01-05,55.549999,56.099998,53.880001,54.700001,50.456573,1232100
2,2016-01-06,53.470001,54.25,51.84,52.310001,48.251972,1240000
3,2016-01-07,51.259998,51.700001,49.48,49.950001,46.075054,1521000
4,2016-01-08,50.450001,51.080002,48.970001,49.009998,45.207973,1127400
5,2016-01-11,49.240002,49.529999,47.380001,48.040001,44.313232,1313200
6,2016-01-12,48.790001,49.18,48.049999,48.950001,45.15263,1299100
7,2016-01-13,49.619999,51.27,47.310001,47.709999,44.008827,1463300
8,2016-01-14,48.029999,49.650002,46.84,48.900002,45.106506,1303200
9,2016-01-15,47.639999,48.02,45.779999,47.91,44.193314,1446900
10,2016-01-19,48.48,49.5,47.57,48.419998,44.66375,1699800
11,2016-01-20,47.560001,48.790001,46.16,48.009998,44.285553,1356500
12,2016-01-21,47.990002,50.740002,47.419998,49.43,45.595402,1844300
13,2016-01-22,50.66,52.27,50.650002,51.290001,47.3111,1533300
14,2016-01-25,51.09,51.25,49.700001,49.98,46.10273,1634100
15,2016-01-26,50.369999,52.470001,50.080002,51.880001,47.855335,1524200
16,2016-01-27,51.549999,52.259998,50.439999,50.93,46.979027,1429600
17,2016-01-28,51.650002,52.52,51.279999,51.759998,47.744637,1176700
18,2016-01-29,51.790001,52.66,51.150002,52.639999,48.556377,2887700
19,2016-02-01,51.869999,52.950001,50.970001,52.82,48.722408,1463300
20,2016-02-02,52.169998,53.02,51.349998,51.860001,47.836895,1279500
21,2016-02-03,52.66,53.619999,51.16,53.52,49.368114,1447600
22,2016-02-04,53.639999,54.259998,51.23,51.950001,47.919903,2213800
23,2016-02-05,51.380001,52.700001,50.720001,51.540001,47.54171,1380300
24,2016-02-08,50.91,50.91,47.490002,48.790001,45.005051,1940700
25,2016-02-09,48.220001,50.029999,48.080002,49.889999,46.019711,1709400
26,2016-02-10,50.599998,51.049999,49.41,50.09,46.204193,1101400
27,2016-02-11,48.779999,50.830002,48.419998,50.09,46.204193,1186000
28,2016-02-12,50.68,52.02,50.040001,51.380001,47.394127,1183300
29,2016-02-16,52.189999,52.619999,51.049999,52.32,48.261196,1652000
30,2016-02-17,52.939999,54.25,52.509998,52.77,48.676285,1782800
31,2016-02-18,51.34,55.599998,50.950001,54.529999,50.299751,3044500
32,2016-02-19,54.419998,54.540001,53.27,54.48,50.253628,1036900
33,2016-02-22,54.84,55.490002,54.650002,54.830002,50.576481,1382600
34,2016-02-23,54.470001,55.59,52.509998,52.66,48.574814,1223900
35,2016-02-24,51.970001,53.360001,51.029999,53.310001,49.174393,971000
36,2016-02-25,53.599998,55.459999,53.259998,55.439999,51.13916,833000
37,2016-02-26,55.939999,56.860001,55.549999,56.560001,52.172272,885000
38,2016-02-29,56.599998,57.950001,56.110001,56.220001,51.858654,1441700
39,2016-03-01,57.119999,58.860001,57.0,58.66,54.10936,1483700
40,2016-03-02,58.259998,59.419998,57.369999,57.709999,53.233067,1144900
41,2016-03-03,57.48,57.889999,56.029999,57.220001,52.781082,1257200
42,2016-03-04,57.52,59.880001,57.349998,59.169998,54.579792,1393700
43,2016-03-07,59.02,59.970001,57.919998,58.799999,54.238503,1807600
44,2016-03-08,58.330002,59.130001,58.049999,58.48,53.943333,1502500
45,2016-03-09,58.799999,60.34,58.599998,60.240002,55.566792,1418000
46,2016-03-10,59.889999,60.540001,58.93,59.380001,54.773514,1364600
47,2016-03-11,59.790001,61.900002,59.450001,61.240002,56.489216,1109500
48,2016-03-14,60.380001,60.959999,59.73,60.02,55.640976,1350700
49,2016-03-15,59.34,60.040001,58.84,59.189999,54.871536,1318000
50,2016-03-16,59.099998,61.689999,59.099998,61.619999,57.124237,1461300
51,2016-03-17,61.470001,62.869999,60.759998,62.43,57.875141,1335400
52,2016-03-18,62.360001,62.75,60.700001,61.380001,56.901749,1907600
53,2016-03-21,61.380001,61.93,60.950001,61.639999,57.142784,1155200
54,2016-03-22,61.360001,62.560001,61.189999,62.16,57.62484,1225700
55,2016-03-23,61.950001,62.189999,61.259998,61.389999,56.911018,1054500
56,2016-03-24,60.669998,62.09,60.34,61.919998,57.402363,711000
57,2016-03-28,61.990002,62.259998,61.52,62.119999,57.587753,811800
58,2016-03-29,62.09,63.0,61.509998,62.959999,58.366474,798000
59,2016-03-30,63.290001,64.25,62.91,63.990002,59.32132,1074200
60,2016-03-31,63.880001,64.330002,63.650002,63.93,59.265705,1224800
61,2016-04-01,63.439999,65.5,63.400002,65.199997,60.443031,2455900
62,2016-04-04,65.379997,65.900002,64.989998,65.330002,60.563549,1470100
63,2016-04-05,64.620003,65.480003,64.059998,64.5,59.794121,822600
64,2016-04-06,64.43,66.080002,63.73,66.029999,61.212505,1237200
65,2016-04-07,65.900002,66.93,64.239998,64.690002,59.970264,1328200
66,2016-04-08,65.639999,65.720001,64.459999,64.849998,60.11858,1559600
67,2016-04-11,65.129997,65.940002,65.040001,65.25,60.489399,1117900
68,2016-04-12,65.580002,65.849998,65.260002,65.300003,60.535744,1070000
69,2016-04-13,65.800003,66.32,64.43,65.0,60.257641,2325100
70,2016-04-14,65.239998,65.889999,64.889999,65.449997,60.674805,1849600
71,2016-04-15,65.739998,65.849998,65.040001,65.370003,60.600647,1499200
72,2016-04-18,64.889999,65.550003,64.75,65.489998,60.711895,939500
73,2016-04-19,65.849998,65.849998,64.599998,65.339996,60.57283,1958200
74,2016-04-20,65.230003,65.760002,64.5,65.650002,60.860222,1518300
75,2016-04-21,65.650002,65.989998,65.529999,65.639999,60.850929,1288100
76,2016-04-22,65.660004,66.709999,65.660004,66.239998,61.407181,1269600
77,2016-04-25,66.370003,66.870003,66.150002,66.589996,61.731636,1004900
78,2016-04-26,66.970001,67.949997,66.779999,67.760002,62.816269,1231400
79,2016-04-27,67.669998,68.75,67.279999,67.860001,62.908981,817100
80,2016-04-28,67.470001,67.650002,66.150002,66.419998,61.574043,649500
81,2016-04-29,66.449997,66.449997,65.57,66.160004,61.333019,1069200
82,2016-05-02,66.419998,68.360001,66.18,67.900002,62.946056,1176900
83,2016-05-03,67.559998,68.089996,66.830002,67.330002,62.417641,871900
84,2016-05-04,66.989998,67.57,66.360001,66.589996,61.731636,788400
85,2016-05-05,66.779999,68.129997,66.779999,67.099998,62.204414,1051400
86,2016-05-06,66.970001,69.07,66.669998,68.629997,63.622787,1424500
87,2016-05-09,68.370003,70.220001,67.07,67.279999,62.371296,1778600
88,2016-05-10,67.379997,68.410004,67.059998,67.860001,62.908981,1516100
89,2016-05-11,70.760002,75.75,70.669998,74.650002,69.203583,5794600
90,2016-05-12,75.610001,76.43,74.760002,75.870003,70.334572,2190900
91,2016-05-13,75.589996,76.330002,74.349998,76.160004,70.603439,2189200
92,2016-05-16,76.82,78.400002,76.75,77.809998,72.133041,1842500
93,2016-05-17,77.82,78.260002,75.949997,76.169998,70.612679,1829700
94,2016-05-18,75.830002,77.25,75.769997,76.169998,70.612679,1598100
95,2016-05-19,75.690002,76.669998,75.0,75.769997,70.241844,1619700
96,2016-05-20,76.419998,77.379997,76.120003,76.360001,70.788803,1246300
97,2016-05-23,75.860001,76.75,75.860001,76.370003,70.79808,1177900
98,2016-05-24,76.889999,77.480003,76.309998,76.339996,70.770279,1827400
99,2016-05-25,76.900002,79.040001,76.389999,78.870003,73.115692,1200200
100,2016-05-26,79.269997,79.730003,78.150002,79.040001,73.2733,1216800
101,2016-05-27,79.0,80.209999,78.809998,80.089996,74.246689,1091700
102,2016-05-31,80.0,80.07,78.010002,78.5,72.772697,1486700
103,2016-06-01,78.5,80.0,77.529999,79.68,73.866608,1293200
104,2016-06-02,79.129997,79.949997,79.120003,79.839996,74.014923,629900
105,2016-06-03,80.0,80.349998,79.150002,80.0,74.163246,855100
106,2016-06-06,80.480003,82.160004,80.099998,80.959999,75.0532,1048000
107,2016-06-07,81.389999,81.82,80.800003,81.290001,75.359123,853800
108,2016-06-08,81.610001,82.370003,80.82,81.209999,75.284958,1524300
109,2016-06-09,80.639999,81.019997,79.830002,80.260002,74.404282,1124600
110,2016-06-10,80.0,80.419998,79.25,79.830002,74.005646,1024700
111,2016-06-13,79.360001,79.769997,78.110001,78.150002,72.726082,1109400
112,2016-06-14,78.0,78.480003,77.019997,78.400002,72.958725,1162900
113,2016-06-15,78.580002,80.050003,78.419998,79.709999,74.177795,1434100
114,2016-06-16,79.309998,80.050003,78.910004,79.989998,74.43837,909000
115,2016-06-17,83.190002,84.989998,82.209999,82.800003,77.053329,3531100
116,2016-06-20,83.510002,83.980003,82.660004,83.010002,77.248787,1736500
117,2016-06-21,82.949997,83.839996,82.0,83.620003,77.816437,1203400
118,2016-06-22,83.620003,83.870003,82.809998,83.32,77.537254,1014000
119,2016-06-23,83.949997,84.709999,83.790001,84.400002,78.542297,799000
120,2016-06-24,81.269997,82.459999,78.599998,78.980003,73.498482,2465400
121,2016-06-27,77.440002,78.089996,74.860001,75.339996,70.111099,2709400
122,2016-06-28,76.809998,78.489998,76.139999,78.290001,72.856354,2707400
123,2016-06-29,79.459999,79.849998,78.589996,79.120003,73.628746,1928400
124,2016-06-30,79.129997,80.5,77.919998,79.309998,73.80558,24895500
125,2016-07-01,79.449997,82.279999,79.449997,81.32,75.676064,1588400
126,2016-07-05,80.080002,80.209999,79.43,79.900002,74.354614,1366400
127,2016-07-06,79.389999,80.959999,78.809998,80.860001,75.247986,1341100
128,2016-07-07,81.18,82.199997,80.879997,81.32,75.676064,865300
129,2016-07-08,82.199997,83.989998,81.989998,83.580002,77.779213,1267800
130,2016-07-11,83.919998,84.0,83.110001,83.629997,77.825729,1277100
131,2016-07-12,84.379997,86.07,84.260002,85.220001,79.305374,1297800
132,2016-07-13,85.519997,85.75,85.019997,85.550003,79.61248,955300
133,2016-07-14,85.970001,86.970001,85.82,86.040001,80.068489,707600
134,2016-07-15,86.419998,87.290001,86.010002,86.349998,80.356956,899500
135,2016-07-18,86.230003,86.43,85.339996,86.209999,80.226692,700900
