,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,59.68,60.59,59.68,60.32,54.466057,1518500
1,2016-01-05,60.349998,60.459999,59.380001,60.150002,54.312557,1317700
2,2016-01-06,59.66,60.32,59.470001,59.889999,54.077793,824000
3,2016-01-07,59.169998,59.700001,58.900002,59.439999,53.671455,1016700
4,2016-01-08,59.630001,60.279999,59.52,59.669998,53.879135,689900
5,2016-01-11,60.080002,60.560001,59.779999,60.25,54.402836,730600
6,2016-01-12,60.41,60.509998,59.25,60.189999,54.348675,915300
7,2016-01-13,60.509998,60.700001,59.860001,60.09,54.258381,782700
8,2016-01-14,60.029999,61.240002,59.990002,60.880001,54.97171,946700
9,2016-01-15,60.459999,60.810001,59.009998,60.48,54.610531,968300
10,2016-01-19,60.610001,61.360001,60.470001,61.009998,55.089085,1087200
11,2016-01-20,61.009998,61.299999,59.41,60.619999,54.736935,1884500
12,2016-01-21,60.689999,60.889999,60.029999,60.25,54.402836,1275600
13,2016-01-22,60.75,62.950001,60.360001,62.439999,56.380318,1272100
14,2016-01-25,62.759998,62.950001,61.310001,61.439999,55.477364,1055900
15,2016-01-26,61.740002,62.509998,61.509998,62.349998,56.299049,999900
16,2016-01-27,62.349998,62.91,61.959999,62.439999,56.380318,874900
17,2016-01-28,62.75,63.93,62.470001,63.450001,57.29229,869500
18,2016-01-29,64.010002,65.040001,63.610001,64.910004,58.610611,1391600
19,2016-02-01,64.690002,65.629997,64.690002,65.029999,58.718952,1292400
20,2016-02-02,65.129997,65.529999,64.209999,65.360001,59.016941,1031700
21,2016-02-03,65.830002,66.459999,65.5,65.879997,59.486454,1164500
22,2016-02-04,65.309998,65.339996,63.709999,63.93,58.025181,1964200
23,2016-02-05,63.610001,63.970001,63.16,63.720001,57.834568,1306400
24,2016-02-08,63.720001,64.330002,63.25,64.290001,58.351929,1005700
25,2016-02-09,64.139999,66.010002,64.139999,65.720001,59.649857,1752500
26,2016-02-10,66.0,66.739998,65.669998,66.68,60.521168,1556800
27,2016-02-11,66.389999,66.779999,65.449997,66.080002,59.976601,1898200
28,2016-02-12,66.080002,66.370003,64.93,65.080002,59.068947,1489100
29,2016-02-16,65.589996,65.589996,63.630001,65.150002,59.1325,1709200
30,2016-02-17,65.510002,65.510002,64.410004,64.709999,58.733139,1837100
31,2016-02-18,64.739998,66.32,64.650002,65.809998,59.731533,1649200
32,2016-02-19,65.43,66.360001,65.309998,65.769997,59.695225,996100
33,2016-02-22,66.209999,66.43,65.860001,66.269997,60.149036,668900
34,2016-02-23,66.110001,66.860001,66.110001,66.669998,60.5121,865900
35,2016-02-24,66.760002,66.949997,66.07,66.690002,60.530258,1178900
36,2016-02-25,67.599998,68.489998,67.129997,68.050003,61.764622,1350600
37,2016-02-26,67.660004,67.660004,64.660004,64.809998,58.823887,2436800
38,2016-02-29,64.709999,66.029999,64.650002,64.82,58.832973,1427100
39,2016-03-01,65.099998,65.839996,64.93,65.300003,59.268646,1120500
40,2016-03-02,68.25,69.029999,67.059998,68.760002,62.409058,13574700
41,2016-03-03,68.57,68.629997,67.410004,67.900002,61.628487,33567100
42,2016-03-04,67.550003,67.900002,66.629997,67.870003,61.601276,3304500
43,2016-03-07,67.730003,67.839996,67.019997,67.339996,61.120213,2151500
44,2016-03-08,67.339996,68.629997,67.099998,68.370003,62.055092,2352600
45,2016-03-09,68.269997,68.980003,68.080002,68.690002,62.345528,1495500
46,2016-03-10,68.699997,68.980003,67.870003,68.230003,61.928009,1711900
47,2016-03-11,68.75,68.989998,67.839996,68.110001,61.819092,2025700
48,2016-03-14,67.959999,68.349998,67.639999,68.0,61.719246,1498700
49,2016-03-15,67.68,68.970001,67.68,68.589996,62.254742,1430400
50,2016-03-16,68.400002,69.0,67.550003,68.900002,62.536133,1543700
51,2016-03-17,68.889999,70.099998,68.599998,69.970001,63.507317,1990300
52,2016-03-18,69.989998,70.019997,68.0,68.010002,61.728321,3278800
53,2016-03-21,68.010002,68.349998,67.449997,67.550003,61.31081,2150400
54,2016-03-22,67.550003,67.900002,67.360001,67.610001,61.36528,1692700
55,2016-03-23,67.82,67.900002,67.32,67.550003,61.31081,1038500
56,2016-03-24,67.68,67.980003,67.330002,67.629997,61.383423,1575900
57,2016-03-28,67.489998,68.18,67.019997,67.139999,60.938683,1208300
58,2016-03-29,67.169998,68.849998,67.169998,68.720001,62.372746,1528900
59,2016-03-30,68.650002,68.919998,68.150002,68.610001,62.272934,1000200
60,2016-03-31,68.75,69.400002,68.470001,68.93,62.563351,1404200
61,2016-04-01,68.839996,69.690002,68.790001,69.5,63.080704,1313900
62,2016-04-04,69.5,69.830002,68.949997,69.620003,63.189636,1231900
63,2016-04-05,69.57,69.82,68.989998,69.050003,62.67226,1655700
64,2016-04-06,69.0,69.510002,68.660004,69.5,63.080704,1379800
65,2016-04-07,69.400002,70.18,69.230003,69.800003,63.353004,1664100
66,2016-04-08,69.75,70.620003,69.75,70.379997,63.879429,1079000
67,2016-04-11,70.690002,70.82,70.019997,70.099998,63.625286,923400
68,2016-04-12,70.099998,70.449997,69.660004,70.389999,63.888496,870700
69,2016-04-13,70.769997,70.769997,69.620003,70.389999,63.888496,871100
70,2016-04-14,70.169998,70.510002,70.050003,70.440002,63.933876,835300
71,2016-04-15,70.300003,71.43,70.300003,71.260002,64.678162,1438400
72,2016-04-18,71.230003,71.720001,70.709999,71.699997,65.077492,940400
73,2016-04-19,71.699997,72.209999,71.290001,72.199997,65.531334,876800
74,2016-04-20,72.300003,72.400002,70.830002,70.879997,64.333229,1171200
75,2016-04-21,70.580002,70.589996,68.089996,68.260002,61.955242,2645300
76,2016-04-22,68.400002,69.440002,68.400002,69.239998,62.844719,1524500
77,2016-04-25,70.199997,70.800003,69.760002,70.800003,64.260651,1618600
78,2016-04-26,70.889999,71.75,70.82,71.410004,64.814293,1280300
79,2016-04-27,71.629997,72.370003,71.120003,72.169998,65.504105,1141700
80,2016-04-28,71.650002,72.660004,71.510002,72.389999,65.703781,956000
81,2016-04-29,72.080002,72.879997,71.5,72.760002,66.039604,1439200
82,2016-05-02,73.099998,74.269997,72.660004,74.190002,67.337517,1578500
83,2016-05-03,74.239998,74.589996,73.540001,73.93,67.10154,1372900
84,2016-05-04,73.800003,74.889999,73.269997,74.449997,67.573517,1409000
85,2016-05-05,73.889999,74.879997,72.860001,73.199997,66.775299,1578600
86,2016-05-06,73.18,74.099998,72.550003,74.019997,67.523323,1583700
87,2016-05-09,74.190002,74.489998,73.940002,74.290001,67.769653,1276500
88,2016-05-10,74.410004,74.669998,74.07,74.510002,67.970322,935800
89,2016-05-11,74.599998,74.720001,73.870003,74.519997,67.979454,975200
90,2016-05-12,74.540001,75.099998,74.169998,74.940002,68.362587,1093900
91,2016-05-13,74.639999,75.029999,74.190002,74.709999,68.152771,713700
92,2016-05-16,74.389999,75.25,74.25,75.199997,68.599762,862000
93,2016-05-17,75.050003,75.199997,72.830002,73.330002,66.893898,1469000
94,2016-05-18,72.910004,73.989998,71.93,72.639999,66.264465,1460900
95,2016-05-19,72.580002,73.410004,72.150002,73.400002,66.957764,908000
96,2016-05-20,73.599998,73.870003,72.959999,73.410004,66.966866,3491900
97,2016-05-23,73.629997,73.879997,73.089996,73.150002,66.729691,881300
98,2016-05-24,73.449997,74.040001,73.019997,73.980003,67.486855,1232200
99,2016-05-25,74.099998,74.540001,73.080002,73.279999,66.848274,1289600
100,2016-05-26,73.43,74.099998,73.0,73.980003,67.486855,1148900
101,2016-05-27,73.970001,74.220001,73.480003,74.120003,67.614555,956800
102,2016-05-31,74.169998,74.580002,73.839996,74.099998,67.596313,1755200
103,2016-06-01,74.059998,75.239998,73.949997,75.239998,68.636276,1044600
104,2016-06-02,75.239998,75.239998,74.190002,75.199997,68.599762,966700
105,2016-06-03,75.839996,76.75,75.82,76.459999,69.749199,1017400
106,2016-06-06,76.040001,76.330002,75.5,75.830002,69.174477,1038900
107,2016-06-07,75.690002,76.370003,75.57,75.970001,69.3022,809100
108,2016-06-08,75.870003,76.75,75.690002,76.709999,69.977242,796100
109,2016-06-09,76.489998,77.559998,76.18,77.470001,70.67054,837800
110,2016-06-10,77.099998,77.760002,77.019997,77.5,70.697891,839900
111,2016-06-13,77.599998,78.099998,77.480003,77.660004,70.843872,996000
112,2016-06-14,77.32,78.029999,77.0,78.019997,71.172249,1188800
113,2016-06-15,78.25,78.519997,77.150002,77.809998,70.98069,948200
114,2016-06-16,77.830002,78.75,77.830002,78.68,71.77433,1129800
115,2016-06-17,78.540001,78.790001,77.5,78.169998,71.30909,2037500
116,2016-06-20,78.25,78.25,76.75,77.599998,70.789116,1999400
117,2016-06-21,77.800003,78.550003,77.360001,78.150002,71.290855,1250800
118,2016-06-22,78.25,78.5,77.82,78.260002,71.39119,908700
119,2016-06-23,78.5,78.940002,78.080002,78.940002,72.011505,922000
120,2016-06-24,77.68,80.889999,77.68,79.93,72.914619,2603000
121,2016-06-27,80.199997,82.010002,80.029999,81.709999,74.538383,1957000
122,2016-06-28,82.330002,82.57,80.760002,82.120003,74.912415,1654800
123,2016-06-29,82.760002,83.190002,82.040001,82.32,75.094849,1544600
124,2016-06-30,82.589996,84.540001,82.400002,84.510002,77.092644,1951800
125,2016-07-01,84.809998,85.099998,83.080002,84.099998,76.718605,1045300
126,2016-07-05,84.099998,85.239998,83.800003,84.760002,77.320702,1303100
127,2016-07-06,83.900002,84.410004,83.029999,84.07,76.691269,1790200
128,2016-07-07,83.699997,83.849998,82.330002,82.580002,75.332039,2064400
129,2016-07-08,82.190002,83.389999,81.5,83.360001,76.043579,1724500
130,2016-07-11,83.209999,83.209999,82.360001,82.760002,75.496231,1753600
131,2016-07-12,82.510002,82.760002,81.199997,81.290001,74.155243,1933700
132,2016-07-13,81.82,82.18,81.610001,82.0,74.802933,1391600
133,2016-07-14,81.510002,81.879997,81.199997,81.730003,74.556656,1174000
134,2016-07-15,81.860001,82.440002,81.510002,81.589996,74.428932,864600
135,2016-07-18,81.599998,81.949997,81.370003,81.449997,74.301216,1456200
136,2016-07-19,81.610001,81.760002,81.209999,81.720001,74.547516,1168200
137,2016-07-20,81.800003,81.989998,81.330002,81.589996,74.428932,885000
138,2016-07-21,81.379997,81.379997,80.459999,81.150002,74.027527,1731000
139,2016-07-22,81.370003,83.0,81.370003,82.839996,75.569206,1385300
140,2016-07-25,82.959999,83.029999,82.339996,82.830002,75.560074,797300
141,2016-07-26,82.989998,83.209999,82.010002,82.230003,75.012779,902100
142,2016-07-27,81.970001,82.209999,80.629997,81.470001,74.319458,1322200
143,2016-07-28,81.400002,82.370003,81.239998,82.059998,74.857666,914700
144,2016-07-29,82.0,82.989998,82.0,82.580002,75.332039,927900
145,2016-08-01,82.5,83.0,82.32,82.839996,75.569206,787500
146,2016-08-02,82.589996,82.75,81.860001,82.07,74.866776,913000
147,2016-08-03,82.129997,82.300003,81.029999,81.169998,74.045784,1069000
148,2016-08-04,80.620003,80.970001,79.739998,80.150002,73.454666,1391200
149,2016-08-05,80.309998,80.360001,78.190002,78.480003,71.924164,2435500
150,2016-08-08,78.419998,79.129997,77.540001,77.650002,71.163521,1857200
151,2016-08-09,77.739998,77.949997,77.129997,77.739998,71.245972,1500500
152,2016-08-10,77.75,78.169998,77.510002,78.110001,71.585083,1073200
153,2016-08-11,78.110001,78.330002,77.370003,77.830002,71.328484,1266300
154,2016-08-12,78.32,78.529999,77.690002,77.760002,71.26432,1121500
155,2016-08-15,77.790001,78.129997,76.529999,76.540001,70.14624,1078800
156,2016-08-16,76.410004,76.410004,75.349998,75.529999,69.220589,1312800
157,2016-08-17,75.629997,77.040001,74.760002,76.959999,70.531143,1687000
158,2016-08-18,76.849998,77.440002,76.739998,77.400002,70.934395,1266500
159,2016-08-19,77.120003,77.25,75.959999,76.440002,70.054573,980200
160,2016-08-22,76.510002,77.010002,76.370003,76.629997,70.228706,740800
161,2016-08-23,76.589996,76.949997,76.480003,76.489998,70.100403,964800
162,2016-08-24,76.370003,76.5,75.629997,76.260002,69.889626,663300
