,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,41.060001,41.189999,40.34,40.689999,38.814323,3287300
1,2016-01-05,40.73,40.950001,40.34,40.549999,38.680779,2587200
2,2016-01-06,40.240002,40.990002,40.049999,40.73,38.852482,2103600
3,2016-01-07,40.139999,40.150002,38.810001,39.0,37.202232,3504300
4,2016-01-08,39.220001,39.709999,38.470001,38.59,36.811119,3736700
5,2016-01-11,38.709999,38.900002,37.41,37.939999,36.191082,2818400
6,2016-01-12,38.43,38.580002,37.650002,38.189999,36.429562,1989400
7,2016-01-13,38.349998,38.470001,36.720001,36.860001,35.160866,4206600
8,2016-01-14,36.939999,37.880001,36.549999,37.610001,35.876305,2893300
9,2016-01-15,36.669998,37.560001,36.549999,37.110001,35.399353,2994400
10,2016-01-19,37.639999,37.919998,36.790001,37.200001,35.485207,2506500
11,2016-01-20,36.68,37.610001,36.130001,37.259998,35.542439,2469100
12,2016-01-21,37.349998,37.830002,36.810001,37.23,35.513813,2298400
13,2016-01-22,37.91,38.18,37.580002,37.98,36.229237,1834500
14,2016-01-25,37.400002,38.029999,37.400002,37.610001,35.876305,1831200
15,2016-01-26,37.889999,37.959999,37.360001,37.509998,35.78091,1754900
16,2016-01-27,37.389999,37.919998,36.810001,37.049999,35.34211,1479400
17,2016-01-28,37.27,37.27,36.009998,36.110001,34.445442,3479400
18,2016-01-29,36.439999,37.689999,36.310001,37.650002,35.914463,2959900
19,2016-02-01,37.369999,37.950001,37.0,37.689999,35.952606,2666200
20,2016-02-02,37.18,37.549999,36.950001,37.07,35.361191,1742300
21,2016-02-03,37.27,37.360001,36.290001,37.189999,35.475662,2128100
22,2016-02-04,37.150002,37.790001,36.970001,37.419998,35.695057,2833500
23,2016-02-05,37.259998,37.310001,35.830002,36.040001,34.37867,4424600
24,2016-02-08,35.610001,35.779999,34.389999,34.799999,33.195827,3888600
25,2016-02-09,34.209999,35.77,34.150002,35.369999,33.739544,3464500
26,2016-02-10,35.630001,36.73,35.529999,35.849998,34.19743,3170000
27,2016-02-11,35.119999,35.610001,34.939999,35.330002,33.701405,3224000
28,2016-02-12,35.84,36.23,35.52,36.220001,34.550377,3923600
29,2016-02-16,36.720001,37.169998,36.400002,37.080002,35.370724,2903600
30,2016-02-17,35.220001,38.130001,34.75,37.869999,36.124317,5382300
31,2016-02-18,37.73,37.959999,37.09,37.189999,35.475662,2231500
32,2016-02-19,36.98,37.599998,36.849998,37.439999,35.714146,2339400
33,2016-02-22,37.880001,38.189999,37.779999,38.029999,36.276947,1792500
34,2016-02-23,37.639999,37.959999,36.950001,37.169998,35.456585,1282300
35,2016-02-24,36.650002,37.5,36.470001,37.48,35.752296,1454900
36,2016-02-25,37.619999,37.709999,36.959999,37.630001,35.895378,1453500
37,2016-02-26,37.75,37.919998,37.439999,37.59,35.857227,944200
38,2016-02-29,37.59,37.700001,37.330002,37.349998,35.628281,2187500
39,2016-03-01,37.630001,38.66,37.610001,38.59,36.811119,2759500
40,2016-03-02,38.490002,39.27,38.41,39.040001,37.240391,3612300
41,2016-03-03,38.919998,39.23,38.740002,39.200001,37.393009,946800
42,2016-03-04,39.139999,39.580002,39.029999,39.34,37.526558,1125000
43,2016-03-07,39.040001,39.68,38.959999,39.43,37.6124,1221600
44,2016-03-08,38.970001,39.130001,38.009998,38.09,36.334164,1801500
45,2016-03-09,38.310001,38.400002,37.959999,38.130001,36.37233,1614600
46,2016-03-10,38.169998,38.509998,37.619999,37.98,36.229237,1615000
47,2016-03-11,38.43,39.27,38.32,39.23,37.421616,1517300
48,2016-03-14,38.98,39.169998,38.41,39.02,37.221317,929600
49,2016-03-15,38.59,38.709999,38.080002,38.290001,36.52496,1059400
50,2016-03-16,38.09,39.099998,38.02,38.98,37.183147,1956100
51,2016-03-17,39.060001,39.439999,38.59,39.290001,37.47887,1895700
52,2016-03-18,39.330002,40.48,39.27,40.189999,38.337368,2504400
53,2016-03-21,40.07,40.139999,39.639999,39.650002,37.822266,2172600
54,2016-03-22,39.560001,40.040001,39.450001,39.880001,38.041664,1552300
55,2016-03-23,39.900002,39.990002,39.369999,39.470001,37.650558,1554800
56,2016-03-24,39.16,39.450001,38.889999,39.43,37.6124,993500
57,2016-03-28,39.540001,39.75,39.139999,39.52,37.698265,1272700
58,2016-03-29,39.349998,40.220001,39.110001,40.16,38.308758,1091200
59,2016-03-30,40.360001,40.580002,39.889999,40.119999,38.270596,783400
60,2016-03-31,40.009998,40.099998,39.66,39.849998,38.013039,3143500
61,2016-04-01,39.560001,40.380001,39.5,40.310001,38.563126,2857800
62,2016-04-04,40.32,40.52,39.799999,40.009998,38.276123,2958100
63,2016-04-05,39.73,39.889999,39.189999,39.259998,37.558632,1900700
64,2016-04-06,39.290001,40.25,39.169998,40.240002,38.496159,1566600
65,2016-04-07,39.889999,40.099998,39.25,39.470001,37.759521,1373800
66,2016-04-08,39.689999,39.970001,39.400002,39.540001,37.826496,1106300
67,2016-04-11,39.860001,40.0,39.349998,39.41,37.702133,1049300
68,2016-04-12,39.470001,39.830002,39.34,39.75,38.027393,992500
69,2016-04-13,39.52,41.0,39.5,40.689999,38.926662,2494600
70,2016-04-14,40.860001,41.080002,40.529999,40.779999,39.012753,1347800
71,2016-04-15,40.77,40.950001,40.630001,40.91,39.137123,1442300
72,2016-04-18,40.720001,41.450001,40.610001,41.310001,39.519791,1536100
73,2016-04-19,41.18,41.740002,41.130001,41.400002,39.605896,1640600
74,2016-04-20,41.419998,41.68,41.299999,41.52,39.720688,1243900
75,2016-04-21,41.5,42.0,41.419998,41.93,40.112919,1670400
76,2016-04-22,41.98,41.98,41.549999,41.799999,39.988552,1396300
77,2016-04-25,41.709999,41.860001,41.529999,41.630001,39.825928,1500400
78,2016-04-26,41.82,41.880001,41.259998,41.32,39.529362,1869000
79,2016-04-27,41.349998,41.75,41.040001,41.580002,39.778103,1189300
80,2016-04-28,41.25,41.779999,41.060001,41.18,39.39542,1549800
81,2016-04-29,40.919998,41.040001,40.259998,40.919998,39.146687,2027900
82,2016-05-02,41.200001,41.75,41.130001,41.709999,39.902454,1285300
83,2016-05-03,41.32,41.490002,40.91,41.240002,39.45282,1334000
84,2016-05-04,40.810001,41.200001,40.389999,40.52,38.764023,1603000
85,2016-05-05,40.639999,41.029999,40.509998,40.959999,39.184956,1084000
86,2016-05-06,40.860001,41.619999,40.720001,41.43,39.634594,1403500
87,2016-05-09,41.509998,41.779999,41.290001,41.330002,39.538933,1741500
88,2016-05-10,41.5,42.0,41.349998,42.0,40.179886,2094300
89,2016-05-11,42.189999,43.200001,42.119999,42.459999,40.619961,3329000
90,2016-05-12,42.59,42.939999,42.419998,42.73,40.878235,2504900
91,2016-05-13,42.549999,42.93,42.389999,42.619999,40.773026,2430600
92,2016-05-16,42.610001,43.07,42.5,42.939999,41.079147,3979300
93,2016-05-17,44.959999,45.34,43.630001,44.41,42.485451,7130400
94,2016-05-18,44.450001,44.740002,43.990002,44.32,42.399353,3476500
95,2016-05-19,44.07,44.82,43.98,44.560001,42.628952,3659500
96,2016-05-20,44.860001,45.220001,44.689999,44.889999,42.944645,2567400
97,2016-05-23,44.889999,44.959999,44.529999,44.57,42.638512,1689700
98,2016-05-24,44.759998,45.290001,44.700001,45.029999,43.078579,3236300
99,2016-05-25,45.119999,45.610001,45.119999,45.419998,43.451679,2352400
100,2016-05-26,45.580002,45.599998,45.200001,45.509998,43.537777,2569600
101,2016-05-27,45.549999,45.849998,45.369999,45.82,43.834343,1822700
102,2016-05-31,45.790001,46.0,45.580002,45.889999,43.901306,2256400
103,2016-06-01,45.75,46.099998,45.450001,45.950001,43.958717,1733600
104,2016-06-02,45.91,46.150002,45.82,45.900002,43.910885,2209400
105,2016-06-03,45.73,45.849998,45.189999,45.720001,43.738686,2395100
106,2016-06-06,45.720001,46.009998,45.720001,45.860001,43.872608,2359000
107,2016-06-07,45.810001,45.950001,45.610001,45.75,43.767372,1500400
108,2016-06-08,45.75,46.18,45.709999,46.150002,44.150032,1552100
109,2016-06-09,45.98,46.18,45.880001,46.09,44.092648,1203900
110,2016-06-10,45.73,45.779999,45.189999,45.360001,43.394272,1261700
111,2016-06-13,45.32,45.52,44.91,44.919998,42.973339,1272800
112,2016-06-14,44.700001,44.950001,44.560001,44.91,42.963779,1624100
113,2016-06-15,45.110001,45.380001,44.900002,44.939999,42.992474,2029200
114,2016-06-16,44.720001,45.43,44.59,45.369999,43.403851,1784700
115,2016-06-17,45.419998,45.419998,44.869999,45.360001,43.394272,3434800
116,2016-06-20,45.57,46.349998,45.57,46.139999,44.140491,3161300
117,2016-06-21,46.209999,46.330002,45.759998,46.16,44.159615,2112900
118,2016-06-22,46.150002,46.470001,45.950001,46.029999,44.03524,2411900
119,2016-06-23,46.5,46.68,46.389999,46.68,44.657082,1487900
120,2016-06-24,44.560001,45.07,43.919998,44.119999,42.208015,5263600
121,2016-06-27,43.630001,43.709999,41.98,42.259998,40.428612,4328100
122,2016-06-28,42.669998,43.110001,42.16,43.110001,41.241783,4300800
123,2016-06-29,43.549999,43.98,43.189999,43.759998,41.863613,2402600
124,2016-06-30,43.68,44.400002,43.59,44.360001,42.549438,2181100
125,2016-07-01,44.360001,44.799999,44.310001,44.599998,42.779633,1591500
126,2016-07-05,44.310001,44.349998,43.630001,43.75,41.964325,1813500
127,2016-07-06,43.650002,44.549999,43.360001,44.470001,42.654942,2312100
128,2016-07-07,44.470001,44.740002,44.18,44.419998,42.606979,1860700
129,2016-07-08,44.860001,45.549999,44.860001,45.48,43.623722,1838100
130,2016-07-11,45.610001,45.77,45.349998,45.400002,43.546982,1094700
131,2016-07-12,45.77,46.66,45.639999,46.529999,44.630863,2237700
132,2016-07-13,46.639999,46.82,46.330002,46.41,44.515762,1852400
133,2016-07-14,46.860001,46.98,46.689999,46.799999,44.889851,1192500
134,2016-07-15,46.959999,46.959999,46.549999,46.669998,44.765152,1202100
135,2016-07-18,46.599998,46.880001,46.34,46.799999,44.889851,1362900
136,2016-07-19,46.669998,47.0,46.490002,46.98,45.062496,2583900
137,2016-07-20,46.959999,47.18,46.82,47.009998,45.091263,2124600
138,2016-07-21,46.98,47.139999,46.470001,46.669998,44.765152,1218400
139,2016-07-22,46.720001,46.790001,46.419998,46.580002,44.678825,1512400
140,2016-07-25,46.490002,46.52,45.919998,46.139999,44.256786,1719800
141,2016-07-26,46.209999,46.950001,45.790001,46.950001,45.033726,1792700
142,2016-07-27,47.0,47.459999,46.73,47.259998,45.331074,1572600
143,2016-07-28,47.189999,47.75,47.02,47.509998,45.570862,1944800
144,2016-07-29,47.490002,48.18,47.360001,48.110001,46.146374,1881400
145,2016-08-01,48.110001,48.110001,47.619999,47.869999,45.916172,1604600
146,2016-08-02,47.709999,47.75,46.970001,47.18,45.25433,1595900
147,2016-08-03,47.099998,47.18,46.900002,47.09,45.168003,1508900
148,2016-08-04,47.16,47.330002,46.740002,46.830002,44.918629,1700200
149,2016-08-05,47.099998,47.540001,47.099998,47.490002,45.551685,1250700
150,2016-08-08,47.57,47.669998,47.139999,47.23,45.302292,1311700
151,2016-08-09,47.110001,47.630001,47.110001,47.450001,45.513317,1006200
152,2016-08-10,47.509998,47.580002,47.209999,47.509998,45.570862,754100
153,2016-08-11,47.619999,48.189999,47.470001,48.130001,46.165562,1377000
154,2016-08-12,47.970001,48.200001,47.700001,48.139999,46.175152,1538600
155,2016-08-15,48.169998,48.619999,48.119999,48.439999,46.462914,2323500
156,2016-08-16,48.27,48.540001,48.119999,48.279999,46.309437,3176000
157,2016-08-17,48.630001,48.630001,48.080002,48.43,46.453316,3154900
158,2016-08-18,46.880001,47.34,46.09,46.720001,44.813107,4660000
159,2016-08-19,46.580002,47.790001,46.57,47.619999,45.676373,3340400
160,2016-08-22,47.630001,47.849998,47.380001,47.580002,45.638004,1626800
161,2016-08-23,47.73,48.09,47.68,47.82,45.868217,1645100
162,2016-08-24,47.740002,47.82,46.630001,46.700001,44.793919,2634700
163,2016-08-25,46.669998,47.419998,46.610001,47.259998,45.331074,2160100
164,2016-08-26,47.41,47.790001,47.07,47.32,45.388615,1581200
165,2016-08-29,47.450001,47.889999,47.310001,47.619999,45.676373,1333000
166,2016-08-30,47.66,47.810001,47.080002,47.139999,45.215965,2231200
167,2016-08-31,47.119999,47.189999,46.810001,46.98,45.062496,1676600
168,2016-09-01,47.029999,47.220001,46.810001,46.990002,45.072086,1257900
169,2016-09-02,47.23,47.389999,46.889999,47.0,45.081684,1424500
170,2016-09-06,46.900002,47.110001,46.720001,46.950001,45.033726,1460900
171,2016-09-07,47.07,47.169998,46.860001,47.110001,45.187191,1542400
172,2016-09-08,47.07,47.16,46.939999,47.02,45.100861,884700
173,2016-09-09,46.509998,46.529999,44.869999,44.880001,43.048214,2507000
174,2016-09-12,44.59,45.810001,44.470001,45.75,43.882694,1835400
175,2016-09-13,45.360001,45.419998,44.610001,44.900002,43.067398,3461800
176,2016-09-14,45.009998,45.099998,44.599998,44.860001,43.02903,1604800
177,2016-09-15,44.860001,45.68,44.810001,45.439999,43.585346,1734000
178,2016-09-16,45.389999,45.389999,44.740002,44.790001,42.961887,2592900
179,2016-09-19,44.900002,45.48,44.860001,44.950001,43.115356,1927900
180,2016-09-20,45.330002,45.950001,45.150002,45.709999,43.84433,2333000
181,2016-09-21,45.98,46.25,45.41,46.040001,44.16087,1612600
182,2016-09-22,46.380001,46.700001,46.290001,46.669998,44.765152,1306400
183,2016-09-23,46.43,46.869999,46.310001,46.610001,44.7076,1957000
184,2016-09-26,46.459999,46.77,46.16,46.57,44.669235,2639100
185,2016-09-27,46.529999,46.709999,46.23,46.700001,44.793919,1587100
186,2016-09-28,46.900002,47.259998,46.52,47.18,45.25433,1502500
187,2016-09-29,47.049999,47.27,46.139999,46.41,44.515762,1938200
188,2016-09-30,46.5,47.32,46.299999,47.09,45.280201,1754300
189,2016-10-03,46.82,47.23,46.82,47.139999,45.328293,1538800
190,2016-10-04,47.07,47.299999,46.669998,46.830002,45.030216,1764000
191,2016-10-05,47.040001,47.310001,46.93,47.150002,45.337914,1431900
192,2016-10-06,47.009998,47.43,46.880001,47.299999,45.48214,1772800
193,2016-10-07,47.330002,47.490002,46.990002,47.380001,45.559067,1663100
194,2016-10-10,47.580002,48.150002,47.549999,47.689999,45.857147,1544900
195,2016-10-11,47.189999,47.189999,45.419998,45.689999,43.934021,2912500
196,2016-10-12,45.779999,45.82,45.419998,45.470001,43.722469,1736100
197,2016-10-13,44.84,45.32,44.759998,45.16,43.424385,1336000
198,2016-10-14,45.380001,45.619999,45.080002,45.080002,43.347462,997100
199,2016-10-17,45.080002,45.470001,45.0,45.150002,43.414768,1160300
200,2016-10-18,45.700001,45.830002,45.27,45.439999,43.693619,1949100
201,2016-10-19,45.41,46.150002,45.34,46.02,44.251335,1769000
202,2016-10-20,46.0,46.220001,45.650002,46.049999,44.280182,1493600
203,2016-10-21,45.669998,45.669998,45.290001,45.57,43.818623,1011300
204,2016-10-24,45.880001,45.950001,45.639999,45.849998,44.087868,1666400
205,2016-10-25,45.259998,45.59,43.169998,43.509998,41.837791,3949500
206,2016-10-26,43.419998,43.82,43.240002,43.369999,41.703182,2146200
207,2016-10-27,43.970001,44.189999,43.349998,43.380001,41.712803,2392800
208,2016-10-28,43.380001,43.869999,43.110001,43.220001,41.558956,1470500
209,2016-10-31,43.330002,43.700001,43.18,43.57,41.895493,1556800
210,2016-11-01,43.73,44.110001,43.139999,43.490002,41.818577,2133100
211,2016-11-02,43.470001,43.73,43.240002,43.259998,41.597397,2240300
212,2016-11-03,43.330002,44.0,43.18,43.66,41.982029,2510100
213,2016-11-04,43.689999,44.919998,43.689999,44.32,42.616669,2220900
214,2016-11-07,44.990002,45.759998,44.950001,45.709999,43.953243,1724000
215,2016-11-08,45.48,45.959999,45.32,45.619999,43.866703,2136700
216,2016-11-09,45.41,46.09,44.490002,45.939999,44.174408,3501200
217,2016-11-10,46.599998,47.380001,46.34,47.029999,45.222523,2558700
218,2016-11-11,46.77,46.869999,46.209999,46.369999,44.587887,2219300
219,2016-11-14,46.66,46.73,45.18,45.330002,43.587856,3443200
