,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,16.450001,16.49,16.25,16.43,14.816886,114888000
1,2016-01-05,16.52,16.59,16.23,16.43,14.816886,66670000
2,2016-01-06,16.190001,16.290001,16.02,16.08,14.501251,102760800
3,2016-01-07,15.73,15.9,15.44,15.5,13.978197,116255900
4,2016-01-08,15.94,15.94,15.16,15.2,13.70765,124782400
5,2016-01-11,15.26,15.37,14.94,15.31,13.806849,104611700
6,2016-01-12,15.54,15.58,15.06,15.31,13.806849,100023500
7,2016-01-13,15.47,15.52,14.85,14.9,13.437105,119413000
8,2016-01-14,15.01,15.2,14.65,14.99,13.518268,125920000
9,2016-01-15,14.41,14.66,14.13,14.46,13.040304,172296100
10,2016-01-19,14.69,14.79,14.01,14.24,12.841902,185727400
11,2016-01-20,13.79,14.0,13.27,13.69,12.345901,250537600
12,2016-01-21,13.67,13.84,13.25,13.36,12.048303,188976000
13,2016-01-22,13.65,13.72,13.47,13.56,12.228668,169999800
14,2016-01-25,13.54,13.55,12.94,12.96,11.687575,186419100
15,2016-01-26,13.07,13.35,13.04,13.31,12.003211,124246900
16,2016-01-27,13.2,13.73,13.19,13.36,12.048303,124095800
17,2016-01-28,13.59,13.71,13.26,13.53,12.201612,110996200
18,2016-01-29,13.66,14.15,13.59,14.14,12.75172,159984100
19,2016-02-01,14.05,14.09,13.8,13.96,12.589393,105739400
20,2016-02-02,13.74,13.75,13.13,13.23,11.931065,147101200
21,2016-02-03,13.28,13.29,12.52,13.03,11.750703,257664600
22,2016-02-04,12.89,13.59,12.89,13.25,11.9491,179394400
23,2016-02-05,13.32,13.39,12.89,12.95,11.678557,125842800
24,2016-02-08,12.67,12.7,12.13,12.27,11.065317,221363600
25,2016-02-09,11.99,12.43,11.96,12.2,11.002191,247349000
26,2016-02-10,12.42,12.54,11.91,11.98,10.803793,227530000
27,2016-02-11,11.46,11.55,10.99,11.16,10.0643,375088700
28,2016-02-12,11.48,12.03,11.4,11.95,10.776738,245388400
29,2016-02-16,12.38,12.39,12.11,12.25,11.047282,194306700
30,2016-02-17,12.57,12.69,12.47,12.56,11.326847,221859400
31,2016-02-18,12.71,12.74,12.1,12.24,11.038263,161539400
32,2016-02-19,12.22,12.24,11.98,12.13,10.939066,121045600
33,2016-02-22,12.13,12.54,12.13,12.54,11.308812,88865500
34,2016-02-23,12.47,12.48,12.1,12.16,10.966121,104498700
35,2016-02-24,11.96,12.15,11.65,12.13,10.939066,159552800
36,2016-02-25,12.14,12.33,12.09,12.32,11.110409,103054600
37,2016-02-26,12.49,12.95,12.4,12.7,11.453102,160314400
38,2016-02-29,12.7,12.86,12.51,12.52,11.290775,123661100
39,2016-03-01,12.64,13.21,12.62,13.19,11.894994,153558200
40,2016-03-02,13.2,13.51,13.13,13.41,12.139409,139622500
41,2016-03-03,13.38,13.55,13.25,13.5,12.220884,105082700
42,2016-03-04,13.76,13.89,13.49,13.54,12.257092,171410900
43,2016-03-07,13.45,13.62,13.37,13.53,12.24804,97650300
44,2016-03-08,13.4,13.47,13.05,13.06,11.822573,125894800
45,2016-03-09,13.17,13.27,13.0,13.14,11.894993,92253800
46,2016-03-10,13.23,13.4,13.0,13.27,12.012675,123016200
47,2016-03-11,13.44,13.84,13.37,13.79,12.483406,120400600
48,2016-03-14,13.72,13.74,13.49,13.64,12.347619,87746800
49,2016-03-15,13.51,13.6,13.39,13.57,12.284251,80404000
50,2016-03-16,13.51,13.81,13.09,13.31,12.048886,149645400
51,2016-03-17,13.22,13.48,13.05,13.4,12.130358,122212300
52,2016-03-18,13.68,13.88,13.55,13.79,12.483406,146616200
53,2016-03-21,13.8,14.03,13.72,13.84,12.528666,104695700
54,2016-03-22,13.67,13.84,13.63,13.76,12.456248,83252100
55,2016-03-23,13.77,13.83,13.6,13.62,12.329511,95789700
56,2016-03-24,13.41,13.69,13.27,13.68,12.383828,94836500
57,2016-03-28,13.73,13.74,13.54,13.62,12.329511,54498500
58,2016-03-29,13.54,13.54,13.26,13.42,12.148463,101606800
59,2016-03-30,13.49,13.66,13.46,13.48,12.202776,85897000
60,2016-03-31,13.49,13.71,13.45,13.52,12.238989,79592100
61,2016-04-01,13.47,13.65,13.32,13.56,12.275197,73130900
62,2016-04-04,13.54,13.65,13.41,13.51,12.229937,59709600
