,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,29.84,31.08,29.76,30.65,26.219767,6343700
1,2016-01-05,30.719999,31.200001,30.49,31.15,26.647493,4731200
2,2016-01-06,30.530001,30.73,29.74,29.950001,25.620947,8342600
3,2016-01-07,29.559999,30.67,29.379999,30.23,25.860476,5962200
4,2016-01-08,29.74,29.780001,28.639999,28.950001,24.765491,7062700
5,2016-01-11,29.08,29.59,28.969999,29.43,25.176107,5847700
6,2016-01-12,29.610001,30.33,29.389999,30.129999,25.774927,4754900
7,2016-01-13,30.15,30.32,29.09,29.26,25.030682,6172500
8,2016-01-14,27.08,27.24,25.610001,26.43,22.609735,20096900
9,2016-01-15,25.35,27.360001,25.309999,27.110001,23.191452,15113200
10,2016-01-19,27.049999,27.1,25.4,25.870001,22.130684,10110500
11,2016-01-20,25.700001,26.9,25.42,26.530001,22.695288,7797100
12,2016-01-21,26.610001,27.690001,26.459999,27.280001,23.33688,6318800
13,2016-01-22,27.68,28.0,27.07,27.27,23.328318,4389200
14,2016-01-25,27.200001,27.43,26.92,27.07,23.157234,5654300
15,2016-01-26,27.139999,28.129999,27.02,28.040001,23.987024,4160500
16,2016-01-27,27.959999,28.43,27.200001,27.27,23.328318,5797500
17,2016-01-28,27.34,27.559999,26.9,26.969999,23.071686,5499800
18,2016-01-29,27.200001,28.139999,27.17,27.93,23.892927,5835100
19,2016-02-01,27.84,28.700001,27.66,28.57,24.44042,4632600
20,2016-02-02,28.43,28.639999,27.92,28.309999,24.217997,4024300
21,2016-02-03,28.290001,28.450001,27.51,28.33,24.235106,3926200
22,2016-02-04,27.82,28.530001,27.5,28.360001,24.260767,4899500
23,2016-02-05,28.280001,28.66,27.77,28.200001,24.123898,4411400
24,2016-02-08,27.98,28.83,27.950001,28.620001,24.483194,6393400
25,2016-02-09,28.48,28.83,27.51,27.92,23.884369,5332100
26,2016-02-10,27.940001,28.200001,27.200001,27.299999,23.353985,6427600
27,2016-02-11,26.969999,27.4,26.719999,26.93,23.037466,6681600
28,2016-02-12,26.4,28.190001,26.1,28.120001,24.055462,6537500
29,2016-02-16,28.34,29.58,28.02,29.5,25.235991,6455500
30,2016-02-17,29.799999,30.33,29.690001,30.049999,25.706491,5140800
31,2016-02-18,29.690001,30.91,29.58,30.75,26.305315,6295300
32,2016-02-19,29.799999,30.27,29.35,29.950001,25.620947,8596900
33,2016-02-22,30.040001,31.200001,30.040001,30.73,26.288204,5461200
34,2016-02-23,30.969999,31.450001,30.67,30.92,26.450743,5160500
35,2016-02-24,30.27,31.59,29.389999,31.469999,26.921242,8066900
36,2016-02-25,32.200001,32.459999,30.48,32.240002,27.579948,10234800
37,2016-02-26,32.119999,32.66,31.379999,32.450001,27.759594,6971300
38,2016-02-29,32.5,32.830002,32.07,32.389999,27.708263,4335000
39,2016-03-01,32.75,33.07,32.34,33.040001,28.264307,4975500
40,2016-03-02,33.060001,33.240002,32.439999,33.099998,28.315632,4226300
41,2016-03-03,33.27,33.560001,32.709999,33.52,28.674925,4396300
42,2016-03-04,33.360001,33.970001,33.18,33.57,28.717701,4125600
43,2016-03-07,33.389999,34.599998,33.25,34.349998,29.384956,3888400
