,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,96.169998,96.57,95.370003,96.459999,83.042831,5911000
1,2016-01-05,96.389999,97.150002,95.900002,96.739998,83.283882,5414800
2,2016-01-06,95.529999,96.459999,95.07,95.559998,82.268021,5901400
3,2016-01-07,94.5,95.690002,93.919998,94.18,81.079979,6309700
4,2016-01-08,94.589996,96.0,93.279999,93.559998,80.546219,5634400
5,2016-01-11,93.830002,95.300003,93.589996,94.919998,81.717049,6243400
6,2016-01-12,95.639999,96.190002,94.690002,95.690002,82.379951,5333500
7,2016-01-13,95.839996,96.629997,93.949997,94.110001,81.019714,6270900
8,2016-01-14,94.110001,96.339996,94.110001,95.510002,82.224968,4986800
9,2016-01-15,93.510002,95.110001,92.949997,93.900002,80.838898,7556600
10,2016-01-19,94.870003,95.559998,94.339996,95.059998,81.837578,6258600
11,2016-01-20,93.360001,95.0,92.349998,94.120003,81.392212,7107700
12,2016-01-21,94.550003,95.309998,93.510002,94.480003,81.703545,4845700
13,2016-01-22,95.800003,96.089996,94.379997,95.639999,82.706688,4376900
14,2016-01-25,95.559998,95.800003,93.989998,94.07,81.348976,5734900
15,2016-01-26,94.129997,94.510002,93.419998,94.040001,81.323029,4529000
16,2016-01-27,94.129997,95.309998,93.480003,94.339996,81.582458,3905600
17,2016-01-28,95.269997,95.269997,93.080002,93.489998,80.847412,4074700
18,2016-01-29,94.209999,96.589996,93.209999,96.589996,83.528198,6245300
19,2016-02-01,95.889999,97.889999,95.559998,97.32,84.159477,3915200
20,2016-02-02,96.150002,96.410004,94.730003,94.940002,82.101334,4437800
21,2016-02-03,95.57,96.029999,93.860001,95.370003,82.473183,5070200
22,2016-02-04,95.050003,95.550003,93.910004,94.629997,81.833252,4686800
23,2016-02-05,94.550003,94.790001,92.559998,93.099998,80.510147,6353500
24,2016-02-08,92.220001,92.379997,89.239998,89.650002,77.52668,9664800
25,2016-02-09,87.019997,91.959999,86.5,90.510002,78.270386,11876900
26,2016-02-10,91.199997,94.349998,91.059998,93.110001,80.518799,7471500
27,2016-02-11,91.830002,94.389999,91.480003,93.870003,81.176033,8835600
28,2016-02-12,94.669998,95.970001,94.029999,95.860001,82.896912,4701700
29,2016-02-16,96.940002,97.629997,96.339996,96.940002,83.830887,5943300
30,2016-02-17,97.400002,98.25,96.970001,97.690002,84.479446,5626600
31,2016-02-18,97.5,97.730003,96.379997,96.889999,83.787621,4093200
32,2016-02-19,96.400002,97.660004,96.059998,97.589996,84.39296,4349700
33,2016-02-22,98.040001,98.790001,97.0,97.459999,84.280548,4200400
34,2016-02-23,97.370003,97.5,95.889999,96.75,83.666557,4486900
35,2016-02-24,96.290001,97.099998,94.93,96.879997,83.778969,6380600
36,2016-02-25,97.360001,98.43,97.099998,98.400002,85.093414,4619700
37,2016-02-26,98.580002,98.779999,96.389999,97.660004,84.453499,6130100
38,2016-02-29,97.330002,98.339996,97.139999,97.169998,84.029778,4840800
39,2016-03-01,98.160004,98.440002,97.580002,98.300003,85.006966,3483400
40,2016-03-02,98.190002,98.889999,97.889999,98.629997,85.29232,3372100
41,2016-03-03,98.400002,99.480003,98.099998,99.379997,85.940918,3656000
42,2016-03-04,99.360001,99.75,98.660004,99.279999,85.854416,3709500
43,2016-03-07,98.540001,99.169998,98.120003,98.419998,85.110748,4531100
44,2016-03-08,98.0,99.75,98.0,99.040001,85.646904,4355000
45,2016-03-09,99.419998,100.599998,99.110001,100.519997,86.926743,5153200
46,2016-03-10,100.82,100.900002,98.610001,99.339996,85.906319,4876600
47,2016-03-11,100.0,100.470001,99.599998,100.360001,86.788399,3585100
48,2016-03-14,100.330002,101.239998,99.830002,101.019997,87.359123,3054400
49,2016-03-15,100.230003,101.589996,100.150002,101.18,87.497475,3129700
50,2016-03-16,101.18,101.349998,100.300003,100.980003,87.324562,3846700
51,2016-03-17,101.080002,101.489998,100.040001,101.110001,87.436974,4516800
52,2016-03-18,101.260002,102.669998,100.959999,101.580002,87.843422,7216200
53,2016-03-21,101.160004,102.440002,101.150002,101.739998,87.981773,3572800
