,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,79.5,79.669998,78.419998,79.139999,66.448586,1408300
1,2016-01-05,78.959999,80.099998,78.010002,79.949997,67.128677,1259100
2,2016-01-06,79.370003,80.07,79.129997,79.589996,66.826393,2098600
3,2016-01-07,78.779999,79.489998,78.489998,78.720001,66.095932,1421400
4,2016-01-08,78.720001,79.160004,78.25,78.379997,65.810448,1581300
5,2016-01-11,78.589996,79.370003,78.580002,79.150002,66.45697,1846500
6,2016-01-12,79.769997,79.769997,78.459999,79.599998,66.834801,1526200
7,2016-01-13,80.419998,81.18,80.010002,80.25,67.380569,1830800
8,2016-01-14,80.190002,81.82,79.870003,81.32,68.278954,1152600
9,2016-01-15,80.290001,81.199997,79.82,80.540001,67.624077,1471700
10,2016-01-19,81.260002,82.43,80.870003,82.230003,69.04303,1704300
11,2016-01-20,81.709999,82.389999,79.529999,80.190002,67.330193,2033400
12,2016-01-21,80.18,80.760002,78.720001,79.25,66.540947,1446400
13,2016-01-22,79.940002,81.419998,79.379997,81.330002,68.287384,1372700
14,2016-01-25,81.370003,81.43,80.529999,80.760002,67.808769,862300
15,2016-01-26,81.110001,82.269997,80.849998,81.699997,68.59803,953800
16,2016-01-27,81.260002,82.540001,81.040001,82.0,68.849922,988200
17,2016-01-28,82.0,83.900002,81.589996,83.25,69.899467,770300
18,2016-01-29,84.0,85.18,82.809998,85.010002,71.377213,1528200
19,2016-02-01,84.510002,85.839996,84.290001,85.309998,71.629112,1089200
20,2016-02-02,85.150002,86.309998,84.980003,86.220001,72.393158,1255400
21,2016-02-03,86.669998,87.839996,86.099998,87.089996,73.12365,1776200
22,2016-02-04,86.940002,87.559998,86.440002,86.610001,72.720634,1388300
23,2016-02-05,86.18,86.860001,85.040001,86.449997,72.586296,1776500
24,2016-02-08,86.839996,87.809998,85.239998,86.220001,72.393158,1758000
25,2016-02-09,86.029999,87.120003,85.790001,86.849998,72.922127,1460700
26,2016-02-10,85.629997,86.779999,83.800003,85.790001,72.03215,2244400
27,2016-02-11,85.93,86.449997,84.029999,84.080002,70.596367,1503100
28,2016-02-12,83.739998,84.510002,82.93,83.720001,70.29409,1005100
29,2016-02-16,83.639999,84.629997,83.230003,84.540001,70.982605,1353700
30,2016-02-17,84.550003,84.830002,83.57,84.220001,70.713905,1315100
31,2016-02-18,84.370003,85.690002,84.040001,85.139999,71.486366,997900
32,2016-02-19,84.949997,85.209999,84.110001,84.720001,71.133728,873500
33,2016-02-22,85.019997,85.75,84.690002,85.389999,71.696289,800000
34,2016-02-23,84.970001,86.050003,84.720001,85.760002,72.00695,664000
35,2016-02-24,85.690002,86.389999,85.199997,86.059998,72.258827,685700
36,2016-02-25,86.330002,87.040001,86.0,86.970001,73.022903,568900
37,2016-02-26,86.459999,86.730003,84.260002,84.290001,70.772675,1152800
38,2016-02-29,84.199997,85.010002,84.010002,84.120003,70.629951,1250100
39,2016-03-01,84.610001,84.800003,83.150002,83.830002,70.386467,1358800
40,2016-03-02,83.459999,84.150002,81.75,84.059998,70.579559,1067100
41,2016-03-03,84.25,84.25,82.599998,84.010002,70.537605,1183800
42,2016-03-04,83.580002,85.080002,83.269997,84.860001,71.251289,918500
43,2016-03-07,84.529999,86.18,84.389999,86.169998,72.351196,1258400
44,2016-03-08,86.220001,87.599998,85.730003,87.260002,73.266396,1489700
45,2016-03-09,88.330002,88.580002,87.589996,87.93,73.828934,1117000
46,2016-03-10,87.699997,88.32,87.190002,88.0,73.887741,810900
47,2016-03-11,88.480003,88.830002,87.849998,88.25,74.097626,951800
48,2016-03-14,88.150002,88.529999,87.629997,88.059998,73.93811,603600
49,2016-03-15,87.75,88.720001,87.690002,88.370003,74.19838,692500
50,2016-03-16,87.959999,89.720001,87.32,89.480003,75.130386,1148700
51,2016-03-17,89.099998,89.709999,88.309998,89.459999,75.731438,1432100
52,2016-03-18,89.669998,89.790001,88.620003,88.910004,75.265831,2058900
53,2016-03-21,88.489998,89.309998,87.720001,88.910004,75.265831,687800
54,2016-03-22,88.800003,89.309998,88.260002,88.370003,74.808693,846900
