,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,66.5,66.660004,65.120003,66.629997,57.028236,1415500
1,2016-01-05,67.129997,68.110001,66.099998,67.110001,57.439075,1335200
2,2016-01-06,65.93,66.720001,65.18,65.809998,56.326408,1458900
3,2016-01-07,64.529999,65.760002,63.919998,64.739998,55.410599,1699100
4,2016-01-08,64.970001,65.730003,63.470001,63.66,54.486237,1304600
5,2016-01-11,63.880001,64.18,61.740002,62.25,53.279427,1510800
6,2016-01-12,63.099998,63.48,61.439999,63.009998,53.929897,1002400
7,2016-01-13,63.580002,63.990002,62.34,62.709999,53.673134,1187400
8,2016-01-14,62.889999,64.239998,62.169998,63.959999,54.743,1225100
9,2016-01-15,62.25,62.880001,60.709999,61.740002,52.842915,1525200
10,2016-01-19,62.59,62.740002,60.310001,61.189999,52.372169,1433000
11,2016-01-20,60.049999,61.43,58.849998,60.779999,52.021248,1433800
12,2016-01-21,60.700001,62.490002,60.029999,61.25,52.423527,1491100
13,2016-01-22,62.689999,63.98,62.0,62.560001,53.54475,1134800
14,2016-01-25,62.130001,62.619999,60.630001,60.759998,52.004139,1021000
15,2016-01-26,60.91,62.73,60.630001,62.669998,53.638893,1522200
16,2016-01-27,62.220001,63.23,61.43,61.990002,53.056889,1337400
17,2016-01-28,63.34,63.779999,62.419998,63.060001,53.972698,1697400
18,2016-01-29,57.860001,61.43,56.029999,61.209999,52.389286,5854600
19,2016-02-01,58.82,61.380001,58.5,60.459999,51.747364,2574700
20,2016-02-02,59.200001,59.459999,58.139999,58.740002,50.275234,1943700
21,2016-02-03,59.360001,61.540001,58.07,61.299999,52.466316,1817600
22,2016-02-04,61.43,62.509998,61.029999,61.360001,52.517677,2667600
23,2016-02-05,60.82,62.099998,60.009998,60.389999,51.687458,1889300
24,2016-02-08,59.82,60.27,58.110001,58.77,50.300907,2043400
25,2016-02-09,57.740002,59.09,57.09,58.43,50.009907,2323500
26,2016-02-10,58.619999,59.779999,57.93,58.650002,50.198204,1221700
