,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,80.790001,80.870003,79.209999,79.900002,57.181335,1727900
1,2016-01-05,80.150002,81.760002,80.0,81.5,58.32637,1379100
2,2016-01-06,80.760002,81.5,80.309998,80.730003,57.775326,1407100
3,2016-01-07,79.559998,80.949997,79.559998,80.480003,57.596405,1675600
4,2016-01-08,81.059998,81.129997,78.690002,78.82,56.408421,1481200
5,2016-01-11,79.150002,80.150002,78.82,79.779999,57.095451,1786200
6,2016-01-12,80.860001,80.959999,79.5,79.940002,57.209957,2004100
7,2016-01-13,80.089996,81.07,79.080002,79.169998,56.658905,1561000
8,2016-01-14,79.330002,79.93,78.489998,78.57,56.2295,2233600
9,2016-01-15,77.139999,78.809998,76.639999,78.580002,56.236671,2136000
10,2016-01-19,78.669998,79.720001,78.32,79.18,56.666054,1647400
11,2016-01-20,78.43,78.669998,75.410004,76.400002,54.676533,2210600
12,2016-01-21,76.779999,77.419998,76.040001,76.440002,54.705139,1654200
13,2016-01-22,77.370003,78.050003,76.769997,77.720001,55.621197,1927000
14,2016-01-25,77.610001,79.199997,77.150002,78.199997,55.96471,1843100
15,2016-01-26,78.349998,79.900002,78.099998,79.739998,57.066826,1744300
16,2016-01-27,79.650002,79.650002,77.610001,78.269997,56.014793,1638300
17,2016-01-28,78.120003,78.379997,75.669998,75.790001,54.239956,2731900
18,2016-01-29,76.629997,77.230003,74.93,77.089996,55.170326,3139600
19,2016-02-01,76.190002,77.800003,75.790001,76.730003,54.912682,2142600
20,2016-02-02,77.0,77.220001,74.790001,75.599998,54.103973,2787600
21,2016-02-03,75.800003,75.919998,73.400002,75.68,54.161232,3099900
22,2016-02-04,75.269997,76.93,74.480003,76.269997,54.583473,2278200
23,2016-02-05,75.940002,76.150002,73.309998,73.589996,52.665504,2222800
24,2016-02-08,73.279999,73.589996,70.910004,72.230003,51.692204,2786900
25,2016-02-09,71.949997,72.440002,71.199997,71.339996,51.055271,2110500
26,2016-02-10,71.860001,72.949997,71.410004,71.769997,51.363007,1222400
27,2016-02-11,70.709999,71.129997,69.870003,70.720001,50.611561,2265600
28,2016-02-12,71.669998,71.669998,70.639999,71.290001,51.019489,1907700
29,2016-02-16,72.029999,72.309998,71.150002,72.18,51.656433,1524600
30,2016-02-17,72.330002,72.879997,72.099998,72.440002,51.842487,2213000
31,2016-02-18,72.32,73.190002,71.889999,72.970001,52.221817,1838800
32,2016-02-19,72.949997,73.739998,72.489998,73.120003,52.329159,1482500
33,2016-02-22,73.68,74.620003,73.629997,74.199997,53.102055,1718700
34,2016-02-23,74.860001,75.230003,73.510002,73.809998,52.822952,1660500
35,2016-02-24,73.5,74.059998,72.160004,73.230003,52.407848,1875900
36,2016-02-25,73.870003,74.550003,73.57,74.5,53.316753,2096400
37,2016-02-26,74.489998,74.900002,73.540001,74.550003,53.352551,3067300
38,2016-02-29,74.660004,75.410004,74.290001,74.489998,53.309601,3181500
39,2016-03-01,67.160004,68.669998,66.620003,68.620003,55.017372,3162900
40,2016-03-02,68.57,70.349998,68.57,70.019997,56.139858,2643300
41,2016-03-03,70.029999,71.0,69.790001,70.970001,56.901512,2169400
42,2016-03-04,70.970001,71.519997,70.459999,71.470001,57.302422,2064500
43,2016-03-07,70.989998,71.830002,70.660004,71.660004,57.454754,1208800
44,2016-03-08,71.709999,71.93,70.839996,70.970001,56.901512,2019900
45,2016-03-09,71.0,72.110001,70.830002,71.68,57.470783,1654100
46,2016-03-10,72.389999,72.720001,70.699997,71.059998,56.973686,2870200
47,2016-03-11,71.970001,72.980003,70.790001,72.900002,58.448933,2515200
48,2016-03-14,72.709999,73.199997,72.190002,72.589996,58.200378,1331800
49,2016-03-15,72.510002,72.900002,72.07,72.690002,58.280563,1272700
