,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,27.48,28.0,27.33,27.969999,23.038174,7318200
1,2016-01-05,27.879999,28.190001,27.42,28.16,23.194672,5588400
2,2016-01-06,27.889999,28.280001,27.76,28.190001,23.219381,6714500
3,2016-01-07,27.82,28.190001,27.67,27.84,22.931097,5509700
4,2016-01-08,27.9,27.98,27.450001,27.82,22.914619,7965800
5,2016-01-11,27.950001,28.360001,27.82,28.059999,23.112307,8189500
6,2016-01-12,28.18,28.18,27.57,27.940001,23.013464,6826900
7,2016-01-13,27.959999,28.16,27.35,27.540001,22.684,8058300
8,2016-01-14,27.530001,28.1,27.18,27.91,22.988754,9442100
9,2016-01-15,27.360001,27.969999,26.959999,27.459999,22.618101,10234500
10,2016-01-19,27.629999,27.93,27.469999,27.639999,22.766361,8888300
11,2016-01-20,27.41,27.450001,26.26,26.780001,22.058002,10755100
12,2016-01-21,26.879999,27.530001,26.58,27.42,22.585152,9040000
13,2016-01-22,27.51,28.09,27.459999,28.030001,23.087599,7102600
14,2016-01-25,28.0,28.1,27.139999,27.16,22.370996,8437100
15,2016-01-26,27.24,28.0,27.219999,27.84,22.931097,6930000
16,2016-01-27,27.969999,28.42,27.639999,28.049999,23.104071,6107400
17,2016-01-28,28.059999,28.940001,27.85,28.709999,23.64769,6801600
18,2016-01-29,29.0,29.67,28.959999,29.57,24.356054,11951200
19,2016-02-01,29.4,30.110001,29.26,30.0,24.710232,9496300
20,2016-02-02,29.700001,30.16,29.41,30.139999,24.825546,9865600
21,2016-02-03,30.24,31.73,30.15,31.610001,26.036346,15097400
22,2016-02-04,31.66,32.419998,31.610001,32.25,26.563499,14215700
23,2016-02-05,32.459999,32.950001,32.029999,32.900002,27.09889,10945400
24,2016-02-08,32.759998,33.119999,32.110001,32.360001,26.654108,10060600
25,2016-02-09,32.110001,32.400002,31.77,31.940001,26.308165,9553500
26,2016-02-10,31.0,31.42,30.549999,31.120001,25.883972,11043000
27,2016-02-11,30.780001,31.08,30.0,30.309999,25.210255,9973400
28,2016-02-12,30.299999,30.620001,29.98,30.459999,25.335018,8523700
29,2016-02-16,30.790001,31.139999,30.450001,31.02,25.800795,9254100
30,2016-02-17,31.129999,31.280001,30.74,31.09,25.85902,7477400
31,2016-02-18,31.1,31.639999,31.059999,31.450001,26.158447,7686700
32,2016-02-19,31.32,31.360001,30.940001,31.24,25.983778,7164000
33,2016-02-22,31.49,31.73,31.219999,31.690001,26.358067,6908500
34,2016-02-23,31.09,31.620001,31.0,31.190001,25.9422,8711300
35,2016-02-24,31.200001,31.85,31.08,31.75,26.407972,8639000
36,2016-02-25,31.74,31.98,31.559999,31.98,26.599274,6092600
37,2016-02-26,31.860001,32.139999,31.16,31.73,26.391336,12901100
38,2016-02-29,31.73,32.139999,31.450001,31.49,26.191719,9706300
39,2016-03-01,31.77,31.959999,31.209999,31.77,26.42461,9942300
40,2016-03-02,31.610001,32.349998,30.870001,32.32,26.882069,7379200
41,2016-03-03,32.369999,33.099998,32.02,33.080002,27.514194,9165400
42,2016-03-04,32.860001,33.630001,32.720001,33.360001,27.747087,8438600
43,2016-03-07,33.48,34.049999,33.299999,33.919998,28.212858,6904600
44,2016-03-08,33.900002,34.32,33.389999,34.23,28.470703,8925800
45,2016-03-09,34.07,34.360001,33.950001,34.169998,28.420799,7158500
46,2016-03-10,34.25,34.849998,34.110001,34.73,28.88657,7670700
47,2016-03-11,34.93,34.98,34.439999,34.73,28.88657,5709500
48,2016-03-14,34.669998,34.869999,34.490002,34.650002,28.820034,4753100
49,2016-03-15,34.509998,34.75,34.27,34.5,28.695274,5020900
50,2016-03-16,34.389999,34.849998,34.040001,34.779999,28.928165,4999900
51,2016-03-17,34.860001,35.0,34.549999,34.91,29.036297,5451500
52,2016-03-18,34.98,35.110001,34.66,34.84,28.978067,10125300
53,2016-03-21,34.75,35.080002,34.669998,34.880001,29.011339,5840400
54,2016-03-22,34.849998,35.200001,34.630001,35.0,29.111153,3895800
55,2016-03-23,34.98,35.5,34.509998,34.720001,28.878267,11565300
56,2016-03-24,34.720001,35.360001,34.349998,35.310001,29.368992,6011200
57,2016-03-28,35.27,35.490002,34.950001,35.16,29.244232,4532600
58,2016-03-29,35.240002,35.77,34.849998,35.689999,29.685057,7564300
59,2016-03-30,35.75,35.759998,35.41,35.43,29.468801,4239900
60,2016-03-31,35.540001,35.950001,35.540001,35.860001,29.826454,7228500
61,2016-04-01,35.740002,35.950001,35.349998,35.66,29.660105,7634500
62,2016-04-04,35.689999,35.77,35.400002,35.509998,29.535337,4469000
63,2016-04-05,35.330002,35.34,34.549999,34.599998,28.778452,6124000
64,2016-04-06,34.5,34.610001,34.09,34.310001,28.537247,8075900
65,2016-04-07,34.310001,34.599998,34.23,34.349998,28.570515,4498700
66,2016-04-08,34.57,35.040001,34.57,34.700001,28.861628,4889700
67,2016-04-11,34.720001,35.049999,34.490002,34.540001,28.72854,3712100
68,2016-04-12,34.52,35.130001,34.419998,35.080002,29.177687,6072300
69,2016-04-13,35.09,35.09,34.610001,34.759998,28.911524,3613900
70,2016-04-14,34.759998,35.119999,34.709999,34.939999,29.061249,3804300
71,2016-04-15,34.939999,34.939999,34.360001,34.369999,28.587147,10508700
72,2016-04-18,34.16,34.529999,33.869999,34.43,28.637054,5020000
73,2016-04-19,34.59,34.970001,34.419998,34.799999,28.944799,6451700
74,2016-04-20,34.799999,34.900002,33.75,33.830002,28.138006,4683800
75,2016-04-21,33.75,33.830002,33.18,33.360001,27.747087,5733700
76,2016-04-22,33.57,34.16,33.529999,34.09,28.354261,4671300
77,2016-04-25,33.889999,34.23,33.75,34.169998,28.420799,4263700
78,2016-04-26,34.310001,34.73,34.23,34.619999,28.795086,5578400
79,2016-04-27,34.720001,35.599998,34.689999,35.349998,29.402258,5210000
80,2016-04-28,35.029999,35.52,34.889999,35.16,29.244232,4237900
81,2016-04-29,34.889999,35.189999,34.599998,35.09,29.186008,5351900
82,2016-05-02,35.259998,35.380001,34.82,35.09,29.186008,3817100
83,2016-05-03,35.009998,35.189999,34.549999,34.779999,28.928165,6374300
84,2016-05-04,34.759998,35.509998,34.75,35.259998,29.3274,5857900
85,2016-05-05,35.189999,35.810001,35.139999,35.380001,29.427216,6663400
86,2016-05-06,35.169998,35.950001,35.150002,35.68,29.676739,5876000
87,2016-05-09,35.68,35.779999,35.200001,35.25,29.319092,4962900
88,2016-05-10,35.32,35.41,35.040001,35.200001,29.277496,5166700
89,2016-05-11,34.900002,35.41,34.779999,35.34,29.661915,4084000
90,2016-05-12,35.330002,35.580002,34.970001,35.459999,29.762632,4991600
91,2016-05-13,35.360001,35.389999,34.790001,34.939999,29.326181,3297800
92,2016-05-16,34.84,35.02,34.529999,34.720001,29.141533,4656100
93,2016-05-17,34.720001,34.830002,34.139999,34.34,28.822582,4522100
94,2016-05-18,34.200001,34.32,33.66,33.849998,28.41131,6337100
95,2016-05-19,33.599998,34.259998,33.549999,34.18,28.688286,4812300
96,2016-05-20,34.279999,34.310001,33.98,34.27,28.763832,3775000
97,2016-05-23,34.32,34.389999,33.700001,33.73,28.310591,4264200
98,2016-05-24,33.709999,33.990002,33.700001,33.990002,28.52882,5451900
99,2016-05-25,33.66,34.029999,33.27,33.880001,28.436487,7127900
100,2016-05-26,33.91,34.299999,33.82,34.169998,28.679897,3546000
101,2016-05-27,34.209999,34.360001,34.07,34.330002,28.814194,3249000
102,2016-05-31,34.34,34.41,33.959999,34.27,28.763832,6070200
103,2016-06-01,34.279999,34.490002,34.189999,34.41,28.881338,4429700
104,2016-06-02,34.299999,34.73,34.189999,34.720001,29.141533,4468600
105,2016-06-03,34.93,35.310001,34.91,34.959999,29.342966,6505400
106,2016-06-06,35.049999,35.25,34.82,35.02,29.393324,3349100
107,2016-06-07,35.080002,35.099998,34.610001,34.720001,29.141533,2934600
108,2016-06-08,34.77,35.07,34.689999,35.049999,29.418505,2616900
109,2016-06-09,35.040001,35.200001,34.599998,35.139999,29.494043,4182000
110,2016-06-10,35.049999,35.200001,34.330002,34.599998,29.04081,6099300
111,2016-06-13,34.669998,34.84,34.400002,34.400002,28.872942,3840600
112,2016-06-14,34.400002,34.439999,33.610001,33.849998,28.41131,7535300
113,2016-06-15,33.91,34.529999,33.84,34.189999,28.696682,6146700
114,2016-06-16,34.18,34.419998,34.029999,34.209999,28.71347,3648200
115,2016-06-17,34.080002,34.650002,34.0,34.650002,29.082775,7031900
116,2016-06-20,34.740002,34.830002,34.419998,34.439999,28.906517,4645700
117,2016-06-21,34.470001,34.939999,34.23,34.759998,29.175093,3564900
118,2016-06-22,34.84,34.880001,34.389999,34.43,28.898125,3011200
119,2016-06-23,34.560001,34.950001,34.380001,34.950001,29.33457,4466200
120,2016-06-24,34.450001,35.009998,34.169998,34.389999,28.864548,9643200
121,2016-06-27,34.27,34.709999,33.93,34.59,29.032417,7964400
122,2016-06-28,34.720001,34.889999,34.400002,34.880001,29.27582,6935600
123,2016-06-29,35.0,35.25,34.799999,35.119999,29.477255,7386900
124,2016-06-30,35.209999,36.369999,34.919998,36.360001,30.518032,8834900
125,2016-07-01,36.450001,36.459999,36.049999,36.41,30.559996,4526000
126,2016-07-05,36.049999,36.330002,35.880001,36.209999,30.392128,4415900
127,2016-07-06,36.220001,36.68,35.990002,36.630001,30.744648,5411700
128,2016-07-07,36.450001,36.529999,35.580002,35.700001,29.964071,4205400
129,2016-07-08,35.75,36.139999,35.369999,36.110001,30.308199,4925300
130,2016-07-11,36.060001,36.43,35.77,36.400002,30.551607,4174800
131,2016-07-12,36.400002,36.68,36.310001,36.43,30.576784,6280500
132,2016-07-13,36.599998,36.77,36.27,36.75,30.845371,5766900
133,2016-07-14,36.540001,36.669998,36.27,36.389999,30.543211,5638400
134,2016-07-15,36.470001,36.599998,36.32,36.490002,30.62714,3234700
135,2016-07-18,36.490002,36.849998,36.380001,36.669998,30.778223,4696900
136,2016-07-19,36.560001,36.650002,36.400002,36.580002,30.70269,2813900
137,2016-07-20,36.549999,36.599998,36.240002,36.25,30.425701,3166500
138,2016-07-21,36.299999,36.509998,36.25,36.459999,30.601963,5175400
139,2016-07-22,36.599998,37.459999,36.59,37.41,31.399328,5397000
140,2016-07-25,37.330002,37.5,37.18,37.5,31.474869,4605200
141,2016-07-26,37.5,37.549999,37.0,37.09,31.130739,2768700
142,2016-07-27,36.860001,37.02,36.27,36.59,30.711073,4032300
143,2016-07-28,36.560001,36.939999,36.43,36.860001,30.937696,3151900
144,2016-07-29,36.82,37.400002,36.700001,37.279999,31.290213,4709500
145,2016-08-01,37.200001,37.700001,37.080002,37.459999,31.441286,6175900
146,2016-08-02,37.240002,37.299999,36.720001,36.779999,30.870544,5497700
147,2016-08-03,36.82,36.919998,36.43,36.57,30.694288,4390200
148,2016-08-04,36.560001,36.810001,36.25,36.330002,30.492844,4137900
149,2016-08-05,36.299999,36.400002,36.029999,36.139999,30.333374,5256300
150,2016-08-08,36.279999,36.32,35.98,36.110001,30.308199,5399400
151,2016-08-09,36.41,36.48,35.830002,35.849998,30.089968,4428300
152,2016-08-10,35.990002,36.099998,35.130001,35.529999,29.821381,7980100
153,2016-08-11,35.209999,35.419998,34.599998,34.810001,29.480932,10155500
154,2016-08-12,35.099998,35.470001,34.919998,34.939999,29.591028,8397600
155,2016-08-15,34.900002,35.080002,34.619999,34.630001,29.328482,4053000
156,2016-08-16,34.490002,34.599998,34.220001,34.23,28.989717,5527400
157,2016-08-17,34.189999,34.66,33.779999,34.580002,29.286142,6249000
158,2016-08-18,34.459999,34.810001,34.330002,34.709999,29.396235,6161600
159,2016-08-19,34.630001,34.650002,34.139999,34.369999,29.108284,4797100
160,2016-08-22,34.490002,34.540001,34.259998,34.43,29.159105,2267300
161,2016-08-23,34.540001,34.84,34.540001,34.59,29.294611,4157000
162,2016-08-24,34.540001,34.790001,34.450001,34.709999,29.396235,3634900
163,2016-08-25,34.720001,34.73,34.459999,34.509998,29.226851,2707000
164,2016-08-26,34.560001,34.84,33.880001,33.900002,28.710238,3669700
165,2016-08-29,34.049999,34.200001,33.880001,34.049999,28.837275,3441500
166,2016-08-30,34.049999,34.099998,33.689999,33.810001,28.63402,3169400
167,2016-08-31,33.790001,34.02,33.610001,34.0,28.79493,3947500
168,2016-09-01,33.91,34.02,33.740002,33.810001,28.63402,4717400
169,2016-09-02,33.779999,34.209999,33.720001,34.07,28.854212,3300100
170,2016-09-06,34.27,34.450001,34.220001,34.450001,29.176041,3509100
171,2016-09-07,34.41,34.66,34.299999,34.560001,29.269197,2936800
172,2016-09-08,34.490002,34.990002,34.459999,34.84,29.50633,3388000
173,2016-09-09,34.52,34.549999,33.389999,33.400002,28.286783,5267200
174,2016-09-12,33.349998,33.77,33.310001,33.630001,28.481575,6809100
175,2016-09-13,33.490002,33.560001,32.860001,33.049999,27.990362,5951600
176,2016-09-14,33.130001,33.459999,32.900002,33.119999,28.04965,5006400
177,2016-09-15,33.040001,33.740002,33.02,33.650002,28.498512,4998600
178,2016-09-16,33.599998,33.959999,33.369999,33.830002,28.650951,7247800
179,2016-09-19,33.880001,34.209999,33.880001,34.16,28.930433,2903300
180,2016-09-20,34.25,34.419998,33.84,33.91,28.718708,6034500
181,2016-09-21,34.060001,34.860001,34.009998,34.849998,29.514803,5209300
182,2016-09-22,34.970001,35.27,34.84,35.220001,29.828161,4484000
183,2016-09-23,35.169998,35.220001,34.77,34.799999,29.472458,3946700
184,2016-09-26,34.779999,34.959999,34.610001,34.82,29.489397,3545700
185,2016-09-27,34.830002,34.970001,34.119999,34.18,28.947369,4765700
186,2016-09-28,34.240002,34.330002,33.669998,34.009998,28.803398,4405800
187,2016-09-29,33.919998,33.919998,33.189999,33.290001,28.193623,5315200
188,2016-09-30,33.490002,33.650002,33.009998,33.290001,28.193623,5529900
189,2016-10-03,33.25,33.25,32.57,32.77,27.753229,5005900
190,2016-10-04,32.700001,32.709999,31.68,31.860001,26.982544,5729100
191,2016-10-05,31.93,32.34,31.75,32.130001,27.21121,7851500
192,2016-10-06,32.02,32.209999,31.77,32.060001,27.15193,3880500
193,2016-10-07,32.330002,32.630001,32.169998,32.18,27.253557,4578600
194,2016-10-10,32.389999,32.580002,32.209999,32.5,27.524569,2473500
195,2016-10-11,32.419998,32.549999,32.099998,32.150002,27.228151,4751400
196,2016-10-12,32.209999,32.549999,32.139999,32.509998,27.533039,4361800
197,2016-10-13,32.470001,33.25,32.43,32.849998,27.820988,6366600
198,2016-10-14,32.830002,33.189999,32.68,32.700001,27.693949,4521000
199,2016-10-17,32.799999,33.009998,32.700001,32.75,27.736292,3133900
200,2016-10-18,33.049999,33.27,32.549999,33.09,28.024242,3726300
201,2016-10-19,33.009998,33.099998,32.740002,32.880001,27.84639,3761200
202,2016-10-20,32.939999,33.02,32.66,32.84,27.812515,3584900
203,2016-10-21,32.639999,32.849998,32.389999,32.5,27.524569,3905400
204,2016-10-24,32.619999,32.75,32.299999,32.650002,27.651602,3727700
205,2016-10-25,32.5,32.98,32.439999,32.900002,27.863333,4430500
