,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,31.52,31.629999,31.219999,31.5,24.922508,4524900
1,2016-01-05,31.629999,31.639999,30.940001,31.540001,24.954153,5204200
2,2016-01-06,31.32,32.009998,31.18,31.85,25.199427,3822700
3,2016-01-07,31.52,31.77,30.889999,31.0,24.526911,4218400
4,2016-01-08,31.02,31.77,30.98,31.59,24.993713,5032000
5,2016-01-11,31.700001,32.25,31.610001,32.07,25.373487,5003400
6,2016-01-12,32.200001,32.290001,31.59,32.18,25.46052,5130600
7,2016-01-13,32.209999,32.400002,31.41,31.5,24.922508,3781000
8,2016-01-14,31.6,32.799999,31.34,32.560001,25.761173,4568100
9,2016-01-15,32.169998,32.470001,31.389999,31.83,25.183601,5544400
10,2016-01-19,31.92,32.580002,31.709999,32.490002,25.705788,4446500
11,2016-01-20,32.259998,32.34,30.67,31.120001,24.621855,5776800
12,2016-01-21,31.15,31.639999,30.620001,31.299999,24.764267,5237200
13,2016-01-22,31.58,32.380001,31.35,32.279999,25.539637,3477500
14,2016-01-25,32.279999,32.32,31.780001,31.82,25.175694,3435700
15,2016-01-26,31.860001,32.52,31.77,32.080002,25.381397,2931400
16,2016-01-27,31.959999,32.34,31.6,31.92,25.254808,2282400
17,2016-01-28,31.950001,32.400002,31.790001,32.139999,25.428867,4022000
18,2016-01-29,32.419998,33.110001,32.349998,33.060001,26.156763,4361600
19,2016-02-01,32.990002,33.279999,32.900002,33.049999,26.148851,4077500
20,2016-02-02,32.700001,33.119999,32.610001,32.970001,26.085558,4781800
21,2016-02-03,32.82,33.720001,32.619999,33.52,26.813494,5704900
22,2016-02-04,33.540001,33.610001,33.200001,33.25,26.597513,3988200
23,2016-02-05,33.080002,34.209999,32.91,33.700001,26.957474,5779700
24,2016-02-08,33.509998,33.900002,32.68,33.200001,26.557512,5823700
25,2016-02-09,33.040001,33.5,32.73,33.32,26.653505,3205700
26,2016-02-10,33.18,33.799999,32.860001,33.630001,26.901484,2842400
27,2016-02-11,33.310001,33.57,32.560001,32.810001,26.245544,2849200
28,2016-02-12,32.849998,33.110001,32.529999,32.880001,26.301538,3537200
29,2016-02-16,33.09,33.470001,32.790001,33.459999,26.765488,3599900
30,2016-02-17,33.200001,33.349998,32.169998,32.27,25.813581,5985400
31,2016-02-18,32.509998,34.130001,32.369999,33.93,27.141462,6542400
32,2016-02-19,33.82,33.82,32.799999,32.970001,26.373533,5481600
33,2016-02-22,33.150002,33.419998,32.93,33.330002,26.661507,3127700
34,2016-02-23,33.32,33.59,32.93,33.040001,26.429523,3624000
35,2016-02-24,33.0,33.169998,32.400002,32.700001,26.157555,5005900
36,2016-02-25,32.93,33.990002,32.779999,33.950001,27.157459,4621300
37,2016-02-26,33.939999,34.060001,32.650002,32.82,26.253544,4848200
38,2016-02-29,32.82,33.720001,32.650002,33.470001,26.773497,4294600
39,2016-03-01,33.580002,33.790001,33.27,33.450001,26.757496,3581400
40,2016-03-02,33.299999,33.740002,32.57,33.709999,26.965475,2619300
41,2016-03-03,33.66,34.130001,33.34,33.98,27.181454,2634200
42,2016-03-04,33.73,34.740002,33.529999,34.560001,27.645416,2739400
43,2016-03-07,34.43,35.139999,34.34,35.110001,28.085371,2645900
44,2016-03-08,35.119999,35.77,34.709999,35.560001,28.445337,3952800
45,2016-03-09,35.52,36.450001,35.490002,35.799999,28.637318,4088700
46,2016-03-10,35.68,36.23,35.599998,35.970001,28.773304,3787000
47,2016-03-11,36.080002,36.360001,35.689999,35.700001,28.557331,3409600
48,2016-03-14,35.709999,35.759998,35.43,35.59,28.469339,2420900
49,2016-03-15,35.52,35.700001,35.25,35.59,28.469339,2849500
50,2016-03-16,35.419998,36.16,35.220001,35.900002,28.71731,3759100
51,2016-03-17,36.040001,36.349998,35.84,36.169998,28.933283,2665800
52,2016-03-18,36.16,36.200001,35.75,35.759998,28.605318,4883900
53,2016-03-21,35.73,36.07,35.41,35.849998,28.677317,3416800
54,2016-03-22,35.880001,36.18,35.610001,35.759998,28.605318,3058000
55,2016-03-23,35.73,36.080002,35.52,35.98,28.781307,2830700
56,2016-03-24,35.849998,36.25,35.779999,36.16,28.925289,2968400
57,2016-03-28,36.16,36.349998,35.669998,35.740002,28.589327,2097100
58,2016-03-29,35.830002,36.380001,35.639999,36.34,29.069283,4563900
59,2016-03-30,36.41,36.540001,35.77,35.790001,28.629316,5504800
60,2016-03-31,35.939999,36.52,35.509998,35.970001,28.773304,7360500
61,2016-04-01,35.98,36.290001,35.66,36.029999,28.821301,6258400
62,2016-04-04,35.990002,36.130001,35.580002,35.68,28.541328,4869600
63,2016-04-05,35.57,35.689999,34.849998,35.07,28.053371,5229400
64,2016-04-06,35.029999,35.09,34.549999,34.59,27.669411,5030400
65,2016-04-07,34.560001,35.040001,34.52,34.759998,27.805399,4113900
66,2016-04-08,34.889999,35.689999,34.880001,35.119999,28.09337,4890800
67,2016-04-11,35.330002,35.810001,35.290001,35.360001,28.285353,3686200
68,2016-04-12,35.52,36.0,35.400002,35.75,28.597324,3634200
69,2016-04-13,35.779999,35.799999,35.490002,35.650002,28.517334,2968300
70,2016-04-14,35.599998,35.799999,35.389999,35.41,28.32535,2719100
71,2016-04-15,35.389999,35.77,35.23,35.66,28.52533,3247500
72,2016-04-18,35.57,35.889999,35.48,35.849998,28.677317,2505600
73,2016-04-19,35.950001,36.029999,35.34,35.5,28.397343,4850200
74,2016-04-20,35.509998,35.700001,34.740002,34.759998,27.805399,4538800
75,2016-04-21,34.73,34.84,33.580002,33.91,27.12546,6653200
76,2016-04-22,34.16,34.650002,34.0,34.470001,27.573414,4620700
77,2016-04-25,34.310001,34.529999,34.080002,34.450001,27.557421,4145200
78,2016-04-26,34.540001,34.869999,34.369999,34.389999,27.509426,4329700
79,2016-04-27,34.860001,36.32,34.669998,36.049999,28.837294,11943200
80,2016-04-28,36.049999,36.049999,31.68,32.470001,25.97357,19368800
81,2016-04-29,32.450001,33.099998,32.209999,32.59,26.069559,8463000
82,2016-05-02,32.68,33.240002,32.619999,33.049999,26.437521,6075200
83,2016-05-03,33.139999,34.02,33.139999,33.560001,26.845484,8498700
84,2016-05-04,33.130001,33.77,32.869999,33.650002,27.209354,4849400
85,2016-05-05,33.689999,33.939999,33.32,33.509998,27.096153,2972400
86,2016-05-06,33.439999,33.439999,32.959999,33.09,26.756538,4061600
87,2016-05-09,33.189999,33.650002,33.07,33.549999,27.128494,3735400
88,2016-05-10,33.599998,34.049999,33.57,33.889999,27.403427,3728500
89,2016-05-11,34.02,34.169998,33.75,33.950001,27.451937,3427800
90,2016-05-12,33.919998,34.189999,33.75,33.970001,27.468107,4641100
91,2016-05-13,33.830002,33.970001,33.400002,33.48,27.071896,4770000
92,2016-05-16,33.549999,33.619999,33.310001,33.349998,26.966776,3553400
93,2016-05-17,33.279999,33.389999,32.860001,32.98,26.667593,3978900
94,2016-05-18,32.740002,33.040001,31.92,32.150002,25.99646,5244400
95,2016-05-19,31.959999,32.369999,31.83,32.349998,26.158175,3386300
96,2016-05-20,32.459999,32.459999,32.099998,32.290001,26.109661,2342400
97,2016-05-23,32.369999,32.400002,32.040001,32.060001,25.923689,3186300
98,2016-05-24,32.119999,32.360001,31.940001,32.09,25.947941,2562900
99,2016-05-25,31.74,32.259998,31.370001,32.110001,25.964113,4992900
100,2016-05-26,32.200001,32.490002,32.07,32.349998,26.158175,3806900
101,2016-05-27,32.450001,32.610001,32.27,32.48,26.2633,2556000
102,2016-05-31,32.52,32.860001,32.419998,32.810001,26.530134,3454900
103,2016-06-01,32.91,33.200001,32.799999,33.07,26.740368,2949800
104,2016-06-02,32.970001,33.380001,32.900002,33.310001,26.934435,2780100
105,2016-06-03,33.57,33.860001,33.419998,33.82,27.346815,2509500
106,2016-06-06,33.740002,33.939999,33.529999,33.779999,27.314478,3216600
107,2016-06-07,33.740002,34.220001,33.689999,34.07,27.548965,3685800
108,2016-06-08,34.040001,34.209999,33.880001,34.130001,27.59749,2913600
109,2016-06-09,34.110001,34.290001,33.970001,34.25,27.694515,2242500
110,2016-06-10,34.240002,34.349998,33.580002,33.700001,27.249784,2934900
111,2016-06-13,33.68,33.860001,33.529999,33.66,27.217443,2504700
112,2016-06-14,33.720001,33.790001,33.470001,33.75,27.29022,2264300
113,2016-06-15,33.790001,33.880001,33.580002,33.650002,27.209354,2157800
114,2016-06-16,33.689999,34.07,33.610001,33.990002,27.484276,1999800
115,2016-06-17,33.98,34.290001,33.860001,34.290001,27.726858,3059100
116,2016-06-20,34.299999,34.380001,33.700001,33.740002,27.282131,4193500
