,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-13,38.599998,39.299999,38.0,39.200001,37.86224,306000
1,2019-03-14,39.5,40.650002,39.32,39.959999,38.596306,279700
2,2019-03-15,40.549999,41.049999,40.5,41.02,39.620132,164200
3,2019-03-18,41.73,41.73,40.470001,40.860001,39.465591,581700
4,2019-03-19,41.400002,41.400002,39.049999,39.549999,38.200298,2540200
5,2019-03-20,39.849998,39.851002,37.459999,37.599998,36.316841,5147900
6,2019-03-21,38.0,38.91,37.84,38.880001,37.553162,8865500
7,2019-03-22,38.759998,38.84,36.549999,37.459999,36.181622,4902500
8,2019-03-25,37.57,37.810001,36.349998,36.450001,35.206089,4035100
9,2019-03-26,36.459999,37.349998,36.459999,36.709999,35.457214,3350900
10,2019-03-27,36.75,37.169998,36.060001,36.200001,34.964622,2871300
11,2019-03-28,36.139999,36.470001,35.549999,35.669998,34.452702,2220600
12,2019-03-29,35.880001,36.169998,35.389999,35.880001,34.655548,2679200
13,2019-04-01,36.169998,36.34,35.939999,36.150002,34.916325,4338400
14,2019-04-02,36.209999,36.459999,35.209999,35.700001,34.481686,1491200
15,2019-04-03,35.779999,35.889999,35.299999,35.5,34.288509,2831600
16,2019-04-04,35.560001,36.07,35.389999,36.029999,34.800423,2223200
17,2019-04-05,35.990002,37.09,35.939999,36.98,35.718002,2116200
18,2019-04-08,36.939999,36.939999,36.650002,36.849998,35.592442,1929000
19,2019-04-09,36.810001,37.07,36.59,36.889999,35.631069,1793900
20,2019-04-10,36.91,37.049999,35.860001,35.93,34.703838,843600
21,2019-04-11,35.98,36.5,35.529999,36.41,35.167454,978200
22,2019-04-12,36.470001,37.080002,35.919998,36.950001,35.689026,3175200
23,2019-04-15,36.91,36.990002,36.470001,36.98,35.718002,891200
24,2019-04-16,37.110001,37.279999,36.93,37.209999,35.940151,1869000
25,2019-04-17,37.18,38.25,37.18,38.209999,36.906025,2122100
26,2019-04-18,38.34,38.369999,37.919998,37.919998,36.625927,2315200
27,2019-04-22,37.84,37.880001,37.110001,37.240002,35.969131,1665000
28,2019-04-23,37.220001,37.82,37.07,37.599998,36.316841,5455100
29,2019-04-24,37.509998,37.759998,37.330002,37.450001,36.171963,1230800
30,2019-04-25,37.48,37.68,37.040001,37.639999,36.355476,1422800
31,2019-04-26,37.799999,37.939999,37.400002,37.91,36.616268,2505700
32,2019-04-29,37.740002,38.91,37.689999,38.73,37.408283,1716800
33,2019-04-30,38.59,38.779999,37.889999,38.5,37.186131,1810000
34,2019-05-01,38.66,38.799999,38.09,38.740002,37.417938,1475000
35,2019-05-02,38.75,38.799999,36.5,36.84,35.582779,2627700
36,2019-05-03,36.860001,37.259998,36.639999,37.02,35.756638,1229700
37,2019-05-06,36.720001,37.400002,36.470001,37.310001,36.036747,1533900
38,2019-05-07,36.970001,37.220001,36.575001,36.700001,35.447559,1412300
39,2019-05-08,36.560001,37.080002,36.27,36.82,35.563461,2108700
40,2019-05-09,38.080002,38.630001,36.950001,37.970001,36.674217,3458200
41,2019-05-10,37.900002,38.25,36.98,38.049999,36.751488,1633500
42,2019-05-13,37.48,38.150002,37.220001,37.5,36.220257,1598400
43,2019-05-14,37.540001,38.025002,37.404999,37.48,36.200939,1663100
44,2019-05-15,37.240002,37.48,37.130001,37.23,35.959473,873900
45,2019-05-16,37.279999,37.599998,36.279999,36.32,35.080528,2680000
46,2019-05-17,36.080002,37.07,36.080002,36.830002,35.799828,1084400
47,2019-05-20,36.540001,37.139999,36.540001,36.68,35.654022,996400
48,2019-05-21,36.82,37.525002,36.639999,37.18,36.140034,1272400
49,2019-05-22,37.099998,37.290001,36.619999,36.669998,35.644299,830200
50,2019-05-23,36.389999,36.630001,36.18,36.509998,35.488777,1860100
51,2019-05-24,36.509998,36.759998,36.400002,36.450001,35.430458,828100
52,2019-05-28,36.59,36.950001,36.110001,36.16,35.148567,2384600
53,2019-05-29,36.0,36.16,35.279999,35.299999,34.312622,1437600
54,2019-05-30,35.360001,35.695,34.689999,34.810001,33.83633,1079700
55,2019-05-31,34.549999,34.810001,34.25,34.709999,33.739128,1736500
56,2019-06-03,34.610001,34.810001,33.32,33.779999,32.835136,2219500
57,2019-06-04,34.029999,34.810001,33.75,34.09,33.136471,2276200
58,2019-06-05,34.240002,34.57,33.900002,34.02,33.068424,1346900
59,2019-06-06,34.009998,34.23,33.599998,33.740002,32.796257,1209100
60,2019-06-07,33.84,34.049999,33.66,33.68,32.737934,925100
61,2019-06-10,33.860001,34.037998,33.560001,33.740002,32.796257,1142800
62,2019-06-11,33.77,34.040001,33.650002,33.830002,32.883739,1201800
63,2019-06-12,33.810001,34.735001,33.799999,34.700001,33.729408,2240300
64,2019-06-13,34.959999,35.119999,34.599998,34.939999,33.962688,1315400
65,2019-06-14,34.990002,35.16,34.560001,34.959999,33.982132,2414700
66,2019-06-17,35.18,35.965,35.040001,35.799999,34.798641,2288000
67,2019-06-18,36.09,36.720001,35.709999,35.830002,34.827801,2680900
68,2019-06-19,35.880001,36.080002,35.349998,35.740002,34.740314,2011500
69,2019-06-20,36.150002,36.150002,35.310001,35.349998,34.361221,1879700
70,2019-06-21,35.360001,37.0,35.040001,35.880001,34.8764,4338300
71,2019-06-24,35.720001,35.790001,35.389999,35.540001,34.54591,1621000
72,2019-06-25,35.450001,35.52,34.900002,35.189999,34.205696,1853700
73,2019-06-26,35.459999,35.889999,35.16,35.310001,34.322346,2271900
74,2019-06-27,35.360001,36.119999,35.060001,35.75,34.750038,2880900
75,2019-06-28,35.889999,36.639999,35.669998,36.529999,35.508217,4921100
76,2019-07-01,36.82,36.869999,35.715,35.959999,34.954159,2608800
77,2019-07-02,35.959999,36.57,35.959999,36.529999,35.508217,1431200
78,2019-07-03,36.700001,36.77,36.310001,36.349998,35.333252,918900
79,2019-07-05,36.279999,36.77,36.07,36.560001,35.537384,1190600
80,2019-07-08,36.360001,36.935001,36.049999,36.130001,35.119404,910700
81,2019-07-09,35.98,36.290001,35.790001,36.009998,35.002762,1661300
82,2019-07-10,36.110001,36.41,36.029999,36.139999,35.129124,1177600
83,2019-07-11,36.130001,36.369999,35.849998,36.310001,35.294373,1206500
84,2019-07-12,36.32,37.009998,36.32,36.959999,35.926189,1582900
85,2019-07-15,37.119999,37.209999,36.610001,37.040001,36.003952,1344900
86,2019-07-16,37.080002,37.110001,36.610001,36.689999,35.663742,1613100
87,2019-07-17,36.619999,36.720001,36.092999,36.169998,35.158283,1892200
88,2019-07-18,36.099998,36.759998,36.0,36.610001,35.585979,3001300
89,2019-07-19,36.709999,36.759998,36.200001,36.450001,35.430458,1934300
90,2019-07-22,36.470001,36.639999,36.279999,36.32,35.304089,1557800
91,2019-07-23,36.349998,36.75,35.990002,36.509998,35.488777,2003200
92,2019-07-24,36.459999,37.080002,36.439999,36.889999,35.858147,1233500
93,2019-07-25,36.91,37.540001,36.900002,37.43,36.383045,1411800
94,2019-07-26,37.369999,38.029999,37.330002,37.490002,36.441364,915600
95,2019-07-29,37.439999,37.84,37.34,37.689999,36.635769,885800
96,2019-07-30,37.5,38.060001,37.5,37.849998,36.791294,1825500
