,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,39.66,40.349998,39.189999,40.240002,33.100029,3328900
1,2016-01-05,40.240002,41.290001,40.150002,41.110001,33.815662,3342700
2,2016-01-06,40.330002,40.82,38.610001,38.82,31.931988,4133100
3,2016-01-07,37.98,38.950001,37.759998,38.75,31.87442,3745900
4,2016-01-08,38.880001,39.02,37.5,37.540001,30.87911,2787400
5,2016-01-11,37.669998,38.330002,37.150002,38.07,31.315065,2803400
6,2016-01-12,38.68,39.0,36.98,38.459999,31.63587,2602500
7,2016-01-13,38.43,38.599998,35.16,35.25,28.995434,4088900
8,2016-01-14,35.5,36.630001,33.98,36.290001,29.850903,3980800
9,2016-01-15,34.740002,35.330002,33.900002,33.98,27.950768,6274900
10,2016-01-19,34.380001,35.18,33.439999,33.860001,27.852062,3541500
11,2016-01-20,32.970001,33.779999,32.419998,33.369999,27.449007,4111000
12,2016-01-21,33.23,34.169998,32.540001,33.040001,27.177561,3047800
13,2016-01-22,34.119999,36.759998,34.049999,36.150002,29.735748,4606100
14,2016-01-25,35.849998,36.029999,33.709999,33.84,27.835613,2842700
15,2016-01-26,34.200001,34.59,33.299999,34.52,28.394964,2601600
16,2016-01-27,34.639999,34.639999,32.529999,32.889999,27.054178,2653400
17,2016-01-28,33.959999,34.349998,33.07,33.540001,27.588844,2512800
18,2016-01-29,33.560001,35.049999,33.389999,34.970001,28.76512,3188300
19,2016-02-01,34.75,36.040001,34.299999,35.740002,29.398491,3095000
20,2016-02-02,34.669998,34.82,33.099998,33.360001,27.440783,2467200
21,2016-02-03,33.529999,33.619999,31.040001,31.83,26.182261,5050900
22,2016-02-04,32.02,32.98,31.49,32.360001,26.618217,3411700
23,2016-02-05,32.0,32.080002,30.57,31.01,25.507753,3656800
24,2016-02-08,30.280001,31.120001,29.549999,30.82,25.351465,3633100
25,2016-02-09,30.41,31.67,30.0,31.040001,25.532433,3906400
26,2016-02-10,31.17,31.620001,30.16,30.41,25.014212,3313600
27,2016-02-11,29.799999,30.32,29.0,29.940001,24.627607,3606000
28,2016-02-12,30.5,30.860001,30.120001,30.709999,25.260983,2058500
29,2016-02-16,31.049999,31.370001,29.92,30.870001,25.392593,2955800
30,2016-02-17,31.1,31.84,30.860001,31.07,25.557108,3557000
31,2016-02-18,31.42,31.5,29.77,30.030001,24.701639,3815600
32,2016-02-19,29.629999,30.76,29.35,30.76,25.302113,2205600
33,2016-02-22,31.219999,32.290001,30.950001,31.629999,26.017742,2776600
34,2016-02-23,31.25,31.809999,30.360001,30.389999,24.997765,3078700
35,2016-02-24,30.67,33.860001,29.77,33.82,27.819162,4858300
36,2016-02-25,33.27,33.919998,32.099998,33.860001,27.852062,4076700
37,2016-02-26,34.130001,34.52,32.849998,32.889999,27.054178,2886100
38,2016-02-29,32.990002,33.959999,32.689999,33.82,27.819162,2948400
39,2016-03-01,33.82,34.919998,33.150002,34.560001,28.427862,3101300
40,2016-03-02,33.82,34.189999,32.549999,33.150002,27.530924,3610900
41,2016-03-03,33.349998,35.650002,33.349998,35.580002,29.549034,3676000
42,2016-03-04,35.73,36.029999,34.5,34.889999,28.975994,3114500
43,2016-03-07,34.84,36.169998,34.610001,35.830002,29.756647,3224500
44,2016-03-08,35.799999,36.450001,34.889999,35.099998,29.150391,3804100
45,2016-03-09,35.540001,36.849998,35.389999,36.610001,30.40444,2854200
46,2016-03-10,36.610001,36.610001,34.900002,35.389999,29.391232,2434200
47,2016-03-11,35.93,36.290001,35.049999,36.25,30.105455,2011600
48,2016-03-14,35.849998,36.150002,35.029999,35.380001,29.382929,2595600
49,2016-03-15,34.68,35.32,34.27,35.23,29.258362,1971300
50,2016-03-16,34.900002,35.950001,34.84,35.619999,29.582245,2547800
51,2016-03-17,35.549999,35.959999,34.849998,35.709999,29.65699,2450000
52,2016-03-18,35.700001,36.48,35.509998,36.110001,29.989195,4327400
53,2016-03-21,36.18,36.57,35.810001,35.919998,29.831396,1520600
54,2016-03-22,35.799999,39.169998,35.610001,38.360001,31.857803,5256300
55,2016-03-23,37.189999,37.599998,34.959999,35.07,29.125475,3978000
56,2016-03-24,34.970001,35.790001,34.75,35.330002,29.341404,2311900
57,2016-03-28,35.599998,36.490002,35.07,35.709999,29.65699,2165500
58,2016-03-29,35.279999,35.810001,34.639999,35.52,29.499201,1966300
59,2016-03-30,35.880001,36.029999,34.349998,34.389999,28.56074,2193800
60,2016-03-31,34.43,35.709999,34.049999,35.32,29.333099,2746200
61,2016-04-01,34.490002,34.580002,33.700001,34.200001,28.402946,1902800
62,2016-04-04,33.880001,35.200001,33.75,34.549999,28.693613,1838800
63,2016-04-05,34.34,35.02,33.919998,33.959999,28.20363,2411400
64,2016-04-06,34.049999,34.25,32.91,34.07,28.294979,2470200
65,2016-04-07,33.990002,34.689999,33.689999,34.279999,28.469385,2685400
66,2016-04-08,34.68,36.0,34.25,35.310001,29.324799,2110700
67,2016-04-11,35.68,35.68,34.23,34.619999,28.751759,2346000
68,2016-04-12,34.669998,35.98,34.299999,35.32,29.333099,2067600
69,2016-04-13,35.580002,36.07,34.93,35.93,29.839699,1545400
70,2016-04-14,36.060001,36.16,35.349998,35.439999,29.432758,1311900
71,2016-04-15,35.119999,35.57,33.919998,34.09,28.311596,2011800
72,2016-04-18,33.560001,34.880001,33.23,34.759998,28.868017,2084000
73,2016-04-19,34.830002,35.43,34.110001,34.830002,28.926155,1745100
74,2016-04-20,34.740002,35.59,33.889999,35.290001,29.308184,2238600
75,2016-04-21,35.290001,36.209999,34.939999,36.049999,29.939362,1784300
76,2016-04-22,36.16,36.959999,35.82,36.220001,30.080551,1792500
77,2016-04-25,36.200001,36.68,35.689999,36.669998,30.454264,1868900
78,2016-04-26,36.990002,37.349998,36.650002,37.119999,30.827991,1465900
79,2016-04-27,37.200001,37.98,37.049999,37.380001,31.043919,1978800
80,2016-04-28,37.279999,37.68,36.330002,36.380001,30.213432,1673500
81,2016-04-29,36.25,36.48,34.860001,35.599998,29.565643,2093900
82,2016-05-02,35.490002,35.619999,34.16,35.490002,29.474289,2496800
83,2016-05-03,34.810001,34.889999,33.57,34.419998,28.585649,3049200
84,2016-05-04,33.310001,33.509998,30.809999,31.16,25.878237,5198500
85,2016-05-05,31.33,31.48,29.68,30.040001,24.948084,4362300
86,2016-05-06,29.620001,30.700001,29.6,29.879999,24.815203,3505000
87,2016-05-09,29.68,29.74,27.84,28.049999,23.295399,4928200
88,2016-05-10,28.450001,29.120001,28.280001,29.02,24.100975,4921100
89,2016-05-11,29.02,29.559999,28.49,29.25,24.291988,4117300
90,2016-05-12,29.360001,29.799999,27.950001,28.0,23.253874,2961400
91,2016-05-13,27.98,28.66,27.59,28.120001,23.353533,2781300
92,2016-05-16,28.299999,28.299999,26.82,27.74,23.037943,4501300
93,2016-05-17,27.74,28.639999,27.459999,27.93,23.195744,2754500
94,2016-05-18,28.379999,29.25,28.18,28.51,23.677427,3121600
95,2016-05-19,28.35,28.639999,27.209999,27.52,22.855236,2690000
96,2016-05-20,27.530001,27.85,27.01,27.84,23.120995,2242200
97,2016-05-23,27.6,28.110001,27.35,27.360001,22.722359,1995700
98,2016-05-24,27.66,27.93,27.209999,27.860001,23.137604,2162200
99,2016-05-25,27.67,28.049999,26.99,27.280001,22.927494,2506100
100,2016-05-26,27.370001,27.43,26.469999,26.610001,22.364391,2438200
101,2016-05-27,26.48,26.959999,25.799999,26.959999,22.658541,2883200
102,2016-05-31,26.99,27.309999,26.549999,26.76,22.490456,3516700
103,2016-06-01,26.610001,28.68,26.610001,28.15,23.658688,7481500
104,2016-06-02,27.83,28.49,27.389999,27.950001,23.490591,5327300
105,2016-06-03,28.040001,28.200001,26.969999,27.120001,22.793016,3023400
106,2016-06-06,27.34,27.52,26.370001,27.110001,22.78462,2989500
107,2016-06-07,27.280001,27.67,27.059999,27.530001,23.137606,2673300
108,2016-06-08,27.76,27.790001,26.610001,26.780001,22.507271,3298400
109,2016-06-09,26.540001,27.120001,26.110001,26.84,22.557695,3457900
110,2016-06-10,26.459999,27.280001,26.190001,27.030001,22.717381,4009600
111,2016-06-13,26.799999,26.83,24.950001,24.98,20.994455,4982300
112,2016-06-14,24.940001,25.549999,24.17,24.67,20.733915,4056900
113,2016-06-15,24.27,25.98,24.110001,25.09,21.086906,4504200
114,2016-06-16,24.76,25.0,24.41,24.76,20.809553,3209500
115,2016-06-17,24.780001,25.41,23.959999,24.1,20.254858,6378600
116,2016-06-20,24.530001,24.889999,24.09,24.219999,20.355713,3515300
117,2016-06-21,24.290001,24.75,23.67,24.4,20.506994,4492900
118,2016-06-22,24.43,24.77,24.17,24.26,20.389332,3134400
119,2016-06-23,24.610001,24.83,24.450001,24.799999,20.843172,3304100
120,2016-06-24,23.98,24.51,23.67,24.16,20.305286,4280300
121,2016-06-27,23.85,23.92,22.530001,22.92,19.263132,4333400
122,2016-06-28,23.129999,23.969999,23.0,23.9,20.086771,3651000
123,2016-06-29,23.9,24.41,23.66,23.959999,20.137196,4257600
124,2016-06-30,23.959999,24.030001,22.85,23.77,19.977512,4835000
125,2016-07-01,23.73,24.280001,23.559999,24.23,20.364115,3562800
126,2016-07-05,24.0,24.25,22.75,23.15,19.456429,4495800
127,2016-07-06,22.959999,22.99,22.07,22.950001,19.288342,6554000
128,2016-07-07,23.120001,23.99,22.17,22.309999,18.75045,5758600
129,2016-07-08,22.51,23.059999,22.209999,22.719999,19.095036,4979900
130,2016-07-11,22.860001,23.26,22.129999,23.129999,19.439619,4374200
131,2016-07-12,23.32,23.530001,23.01,23.32,19.599304,3214600
132,2016-07-13,23.32,24.65,23.200001,24.41,20.515398,7472800
133,2016-07-14,24.65,25.360001,24.65,24.98,20.994455,9190900
134,2016-07-15,25.059999,25.190001,24.01,24.02,20.18762,4308100
135,2016-07-18,24.0,24.43,23.08,24.32,20.439756,3683600
136,2016-07-19,24.26,24.379999,24.049999,24.360001,20.473377,2187100
137,2016-07-20,24.389999,24.43,23.879999,23.99,20.162413,3272800
138,2016-07-21,24.02,24.379999,23.940001,23.99,20.162413,2330100
139,2016-07-22,24.059999,24.16,23.58,24.120001,20.271669,2786000
140,2016-07-25,23.99,24.540001,23.77,24.16,20.305286,2634600
141,2016-07-26,24.16,25.34,24.01,25.27,21.238186,2679700
142,2016-07-27,25.43,25.950001,24.42,24.549999,20.63306,4032600
143,2016-07-28,24.59,24.98,24.219999,24.620001,20.691896,3209500
144,2016-07-29,24.5,25.52,24.200001,25.42,21.364254,4866200
145,2016-08-01,25.32,25.389999,24.57,24.700001,20.75913,3525800
146,2016-08-02,25.01,26.0,24.870001,25.58,21.498726,5360400
