,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,24.85,25.23,24.780001,25.110001,15.279011,4939000
1,2016-01-05,25.110001,25.190001,24.77,24.99,15.205992,4283500
2,2016-01-06,24.68,24.9,24.559999,24.719999,15.041702,4083400
3,2016-01-07,24.41,24.700001,24.17,24.219999,14.73746,4902800
4,2016-01-08,24.370001,24.549999,23.9,23.969999,14.585338,4337600
5,2016-01-11,24.18,24.32,23.83,24.120001,14.676613,4971400
6,2016-01-12,24.35,24.370001,23.299999,23.4,14.238504,6017400
7,2016-01-13,23.5,23.68,23.0,23.02,14.007279,6916600
8,2016-01-14,23.1,23.98,23.02,23.889999,14.536663,7178700
9,2016-01-15,23.280001,23.6,22.76,23.290001,14.171571,6894100
10,2016-01-19,23.540001,23.6,23.07,23.219999,14.128978,4501100
11,2016-01-20,22.77,22.9,21.940001,22.24,13.532666,8295900
12,2016-01-21,22.370001,23.07,22.370001,22.620001,13.763889,10569800
13,2016-01-22,23.07,23.83,23.07,23.799999,14.481892,6316100
14,2016-01-25,23.67,24.17,23.49,23.76,14.457561,7626700
15,2016-01-26,23.83,24.73,23.82,24.559999,14.944345,5288700
16,2016-01-27,24.379999,25.040001,24.23,24.629999,14.986938,6427000
17,2016-01-28,24.84,25.0,24.34,24.82,15.102551,4887000
18,2016-01-29,24.91,25.43,24.85,25.42,15.467639,4860100
19,2016-02-01,25.200001,26.07,25.01,25.9,15.759713,4773300
20,2016-02-02,25.65,25.65,24.91,25.209999,15.339858,4314800
21,2016-02-03,25.41,26.219999,25.129999,26.08,15.869236,4881100
22,2016-02-04,26.17,26.700001,26.120001,26.540001,16.149141,5722200
23,2016-02-05,26.450001,27.040001,26.360001,26.610001,16.191736,8633800
24,2016-02-08,26.280001,26.5,25.370001,25.629999,15.595418,9290100
25,2016-02-09,25.309999,25.5,24.549999,24.809999,15.096467,10292100
26,2016-02-10,25.059999,25.58,24.5,24.59,14.9626,7047300
27,2016-02-11,26.1,27.75,25.370001,27.290001,16.605503,15041000
28,2016-02-12,27.5,28.73,27.280001,28.610001,17.408699,10675000
29,2016-02-16,28.9,29.15,28.389999,28.92,17.597332,5918800
30,2016-02-17,29.15,29.84,28.75,29.73,18.090204,7100600
31,2016-02-18,29.84,30.809999,29.690001,30.32,18.449203,8243800
32,2016-02-19,30.32,30.35,29.440001,29.73,18.090204,6510900
33,2016-02-22,30.120001,30.18,29.719999,29.99,18.248407,5476000
34,2016-02-23,29.700001,29.75,29.030001,29.25,17.798132,6814100
35,2016-02-24,29.08,30.129999,28.85,30.01,18.260576,7120800
36,2016-02-25,30.15,30.610001,29.809999,30.41,18.503971,4700700
37,2016-02-26,30.49,30.49,29.799999,30.17,18.357933,4829800
38,2016-02-29,30.17,30.82,30.02,30.59,18.613497,6387800
39,2016-03-01,30.9,31.370001,30.690001,31.120001,18.935991,6917700
40,2016-03-02,30.42,31.629999,30.33,31.15,19.28895,6450400
41,2016-03-03,31.190001,31.620001,31.09,31.370001,19.425182,5372400
42,2016-03-04,31.379999,32.02,31.190001,31.59,19.561415,6292700
43,2016-03-07,31.440001,31.9,31.26,31.77,19.672874,5096600
44,2016-03-08,31.99,31.99,30.959999,31.51,19.511877,5550500
45,2016-03-09,31.6,31.68,30.92,31.530001,19.524261,4206900
46,2016-03-10,31.549999,32.02,31.34,31.709999,19.635717,6562100
47,2016-03-11,31.950001,31.98,31.379999,31.870001,19.734797,4128300
48,2016-03-14,31.83,32.060001,31.68,31.950001,19.784336,3527400
49,2016-03-15,31.76,31.93,31.07,31.32,19.394222,5593900
50,2016-03-16,31.41,32.200001,31.1,32.169998,19.920567,5314400
51,2016-03-17,31.59,31.610001,30.75,31.299999,19.381838,7928400
52,2016-03-18,31.459999,31.73,31.33,31.700001,19.629532,7913700
53,2016-03-21,31.700001,32.009998,31.530001,31.700001,19.629532,3569600
54,2016-03-22,31.700001,32.09,31.6,31.620001,19.579992,4077900
55,2016-03-23,31.58,31.620001,30.889999,31.02,19.208456,5105000
56,2016-03-24,30.870001,31.16,30.68,31.16,19.295143,5416800
57,2016-03-28,31.309999,31.34,30.790001,31.08,19.245609,3157800
58,2016-03-29,31.1,31.629999,30.879999,31.59,19.561415,3393100
59,2016-03-30,31.35,32.040001,31.35,31.870001,19.734797,3661000
60,2016-03-31,31.91,32.490002,31.690001,31.959999,19.790527,6807700
61,2016-04-01,31.82,32.200001,31.370001,32.18,19.926756,6219600
62,2016-04-04,32.200001,32.700001,32.150002,32.23,19.957722,5186800
63,2016-04-05,32.220001,32.419998,31.790001,32.099998,19.877222,5271200
64,2016-04-06,32.150002,32.52,31.940001,32.490002,20.118721,3832600
65,2016-04-07,32.369999,32.459999,31.76,31.870001,19.734797,5704500
66,2016-04-08,32.139999,32.27,31.73,31.879999,19.740988,3873200
