,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,43.939999,44.049999,41.400002,41.540001,37.372089,33530100.0
1,2016-01-08,41.860001,41.900002,40.099998,41.099998,36.976238,35727500.0
2,2016-01-15,39.849998,41.32,39.080002,39.48,35.742935,39831500.0
3,2016-01-22,40.200001,41.490002,36.0,36.709999,33.23513,53594700.0
4,2016-01-29,36.689999,38.73,36.169998,38.009998,34.412079,52027000.0
5,2016-02-05,38.23,38.349998,36.02,36.34,32.90015,37877200.0
6,2016-02-12,36.700001,38.889999,36.400002,38.310001,34.683678,26361700.0
7,2016-02-19,38.32,39.639999,37.970001,39.630001,35.878738,31488700.0
8,2016-02-26,39.48,39.880001,38.09,38.82,35.145405,47913000.0
9,2016-03-04,38.849998,39.880001,38.799999,39.029999,35.335518,35992100.0
10,2016-03-11,39.25,40.68,39.080002,40.290001,36.476261,34286300.0
11,2016-03-18,40.360001,41.34,40.139999,40.75,36.892723,29199600.0
12,2016-03-25,40.77,42.0,40.610001,41.830002,37.870487,16056400.0
13,2016-04-01,41.529999,43.16,41.360001,42.610001,38.57666,26125700.0
14,2016-04-08,42.779999,43.66,42.119999,43.509998,39.391464,21228700.0
15,2016-04-15,43.529999,44.580002,43.18,43.880001,39.969131,30540800.0
16,2016-04-22,43.720001,44.25,39.990002,40.419998,36.817513,71764100.0
17,2016-04-29,40.369999,40.380001,38.0,38.5,35.06863,100687000.0
18,2016-05-06,38.220001,38.580002,37.52,38.0,34.613201,54778000.0
19,2016-05-13,37.860001,38.41,36.889999,37.240002,33.920933,46697800.0
20,2016-05-20,37.549999,38.950001,37.27,38.889999,35.42387,52199400.0
21,2016-05-27,39.040001,39.669998,38.919998,39.529999,36.006832,52539700.0
22,2016-06-03,39.52,39.540001,38.650002,38.869999,35.405651,49428100.0
23,2016-06-10,38.669998,38.700001,36.880001,37.5,34.157757,46589000.0
24,2016-06-17,37.400002,39.630001,37.23,39.630001,36.097919,48072000.0
25,2016-06-24,38.369999,39.310001,36.759998,39.310001,35.806438,56498300.0
26,2016-07-01,39.310001,41.57,39.16,41.360001,37.673729,47735500.0
27,2016-07-08,41.599998,42.650002,41.560001,42.279999,38.511719,45322400.0
28,2016-07-15,42.400002,43.419998,41.599998,43.040001,39.445488,48823400.0
29,2016-07-22,43.049999,45.16,42.810001,44.450001,40.737724,63868100.0
30,2016-07-29,44.380001,45.790001,44.259998,44.810001,41.067654,50294900.0
31,2016-08-05,45.0,45.41,44.68,45.049999,41.287609,32481600.0
32,2016-08-12,44.82,45.23,44.25,44.360001,40.655228,35975400.0
33,2016-08-19,44.169998,44.419998,42.27,42.84,39.262192,69505200.0
34,2016-08-26,42.720001,43.57,41.740002,42.299999,38.767277,63254900.0
35,2016-09-02,42.360001,42.450001,41.650002,41.849998,38.354855,33045200.0
36,2016-09-09,41.560001,41.580002,40.48,41.119999,37.685833,39475200.0
37,2016-09-16,40.950001,42.490002,40.830002,42.220001,38.693962,39500600.0
38,2016-09-23,42.25,42.529999,41.259998,41.439999,37.979095,31269400.0
39,2016-09-30,41.740002,43.049999,41.689999,42.970001,39.381325,33738000.0
40,2016-10-07,43.0,43.779999,40.41,40.98,37.557518,52379600.0
41,2016-10-14,41.169998,41.529999,39.939999,40.740002,37.574924,53702100.0
42,2016-10-21,40.41,40.919998,39.759998,40.290001,37.159878,34653500.0
43,2016-10-28,40.25,40.599998,38.299999,38.380001,35.398266,42692400.0
44,2016-11-04,38.450001,41.529999,38.41,40.610001,37.455021,44680600.0
45,2016-11-11,40.380001,40.5,39.049999,40.389999,37.252113,41663800.0
46,2016-11-18,40.310001,40.419998,37.810001,38.98,35.951645,41441200.0
47,2016-11-25,39.080002,39.220001,37.380001,37.599998,34.678864,39724600.0
48,2016-12-02,37.68,38.790001,37.419998,38.68,35.674957,40839100.0
49,2016-12-09,38.82,39.790001,38.27,38.93,35.90554,43571000.0
50,2016-12-16,39.02,39.330002,37.900002,38.290001,35.315254,49425400.0
51,2016-12-23,38.330002,38.939999,38.080002,38.310001,35.33371,25138600.0
52,2016-12-30,38.330002,39.75,38.25,39.700001,36.615711,54847500.0
53,2017-01-06,39.700001,41.619999,39.66,40.720001,37.556477,54210500.0
54,2017-01-13,40.75,41.360001,40.240002,40.400002,37.502026,32161300.0
55,2017-01-20,40.509998,41.119999,39.25,40.959999,38.021851,47334000.0
56,2017-01-27,41.110001,42.790001,40.599998,42.75,39.683456,56949100.0
57,2017-02-03,42.939999,43.130001,42.23,42.540001,39.488514,40944500.0
58,2017-02-10,42.740002,44.209999,42.48,44.200001,41.029446,34745500.0
