,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,17.67,17.940001,15.68,16.58,15.431693,39155200.0
1,2016-01-08,16.780001,17.34,14.88,16.309999,15.18039,55070600.0
2,2016-01-15,15.47,18.959999,15.39,18.65,17.358324,48948800.0
3,2016-01-22,19.360001,20.469999,18.379999,19.389999,18.04707,52116100.0
4,2016-01-29,19.68,21.48,19.6,20.9,19.472534,54278700.0
5,2016-02-05,20.790001,22.25,18.73,19.870001,18.512886,50661900.0
6,2016-02-12,20.209999,20.540001,18.48,19.549999,18.214739,32104000.0
7,2016-02-19,19.35,21.940001,18.73,19.41,18.084307,123904600.0
8,2016-02-26,20.129999,22.549999,19.01,22.17,20.655798,55928500.0
9,2016-03-04,22.52,22.700001,19.77,21.91,20.413555,66368300.0
10,2016-03-11,22.41,23.309999,21.469999,22.76,21.2055,30023800.0
11,2016-03-18,22.889999,22.92,20.93,21.969999,20.469456,32643500.0
12,2016-03-25,22.0,22.9,21.41,22.709999,21.158916,22009800.0
13,2016-04-01,22.26,23.34,21.969999,23.27,21.680666,30742500.0
14,2016-04-08,23.709999,23.99,22.52,22.809999,21.252083,29731400.0
15,2016-04-15,22.6,23.940001,22.200001,22.83,21.270714,25842200.0
16,2016-04-22,23.0,24.17,21.9,23.58,21.969494,43400000.0
17,2016-04-29,23.709999,24.74,22.780001,24.190001,22.537825,34163100.0
18,2016-05-06,23.790001,25.040001,23.33,24.4,22.73349,21955300.0
19,2016-05-13,24.190001,24.67,22.700001,23.190001,21.623793,26474200.0
20,2016-05-20,23.379999,24.24,22.84,23.690001,22.090023,16375100.0
21,2016-05-27,23.690001,24.790001,23.48,24.74,23.069107,19787700.0
22,2016-06-03,24.790001,26.08,23.969999,25.9,24.150763,26164000.0
23,2016-06-10,25.559999,25.85,24.200001,24.4,22.752069,20971400.0
24,2016-06-17,24.66,25.59,24.459999,25.25,23.544662,18751200.0
25,2016-06-24,24.530001,26.440001,23.790001,25.74,24.001566,27405900.0
26,2016-07-01,25.809999,26.209999,24.610001,25.42,23.70318,17535900.0
27,2016-07-08,25.85,26.530001,25.07,25.209999,23.50736,18407900.0
28,2016-07-15,25.450001,25.530001,24.17,24.209999,22.5749,18758300.0
29,2016-07-22,24.41,24.690001,23.280001,23.85,22.239212,32846500.0
30,2016-07-29,23.559999,25.35,23.26,24.42,22.77072,34953400.0
31,2016-08-05,24.459999,25.59,23.92,24.559999,22.901258,25676400.0
32,2016-08-12,24.719999,26.32,24.459999,26.059999,24.319759,22221200.0
33,2016-08-19,25.950001,26.219999,25.32,25.4,23.703833,19702300.0
34,2016-08-26,25.51,25.85,24.209999,24.459999,22.826601,30343600.0
35,2016-09-02,24.690001,26.559999,24.32,26.5,24.730377,25591600.0
36,2016-09-09,26.219999,26.74,24.780001,25.040001,23.367876,26812500.0
37,2016-09-16,24.709999,25.790001,24.02,25.57,23.862478,27577700.0
38,2016-09-23,25.719999,25.959999,24.219999,25.469999,23.769157,32419800.0
39,2016-09-30,25.58,25.93,25.08,25.52,23.815817,24170000.0
40,2016-10-07,25.549999,25.67,22.190001,22.75,21.230795,61551700.0
41,2016-10-14,23.040001,23.370001,21.0,22.059999,20.586874,46282700.0
42,2016-10-21,21.889999,22.059999,20.18,21.65,20.20425,39732900.0
43,2016-10-28,20.700001,21.959999,20.030001,20.139999,18.795086,40515300.0
44,2016-11-04,20.139999,22.309999,20.02,21.5,20.064268,35736600.0
45,2016-11-11,21.32,22.870001,21.059999,21.629999,20.205235,28508500.0
46,2016-11-18,21.780001,23.4,21.57,23.299999,21.765226,19824500.0
47,2016-11-25,23.040001,24.49,21.860001,22.83,21.326187,31691300.0
48,2016-12-02,22.719999,24.459999,22.549999,24.459999,22.84882,40986800.0
49,2016-12-09,24.639999,24.75,22.309999,22.639999,21.148697,30211600.0
50,2016-12-16,22.65,22.75,21.389999,22.299999,20.831099,30135800.0
51,2016-12-23,22.4,23.48,22.290001,22.74,21.242115,16396700.0
52,2016-12-30,22.809999,23.5,21.74,22.639999,21.148697,47437400.0
53,2017-01-06,22.74,23.17,21.780001,22.27,20.803074,28879300.0
54,2017-01-13,22.209999,22.549999,21.5,22.48,20.999243,23760400.0
55,2017-01-20,22.719999,23.17,22.059999,23.16,21.634449,25451500.0
56,2017-01-27,23.08,23.09,20.549999,21.450001,20.055174,30733500.0
57,2017-02-03,21.280001,24.299999,21.139999,24.23,22.654396,59688700.0
58,2017-02-10,24.17,24.35,23.040001,23.120001,21.616579,22235500.0
59,2017-02-17,23.01,23.25,22.200001,22.530001,21.064947,19389900.0
60,2017-02-24,22.6,23.18,21.700001,22.360001,20.905998,35296800.0
61,2017-03-03,22.459999,23.4,22.23,22.870001,21.382837,29243000.0
62,2017-03-10,23.040001,23.15,22.08,22.27,20.821854,27777600.0
63,2017-03-17,22.389999,23.02,22.040001,22.85,21.364132,28318700.0
64,2017-03-24,22.879999,24.27,22.83,23.24,21.728777,45998000.0
65,2017-03-31,23.469999,25.129999,23.35,24.99,23.364979,32088300.0
66,2017-04-07,24.92,25.040001,23.93,24.0,22.439348,20352900.0
67,2017-04-14,24.0,24.74,23.91,24.469999,22.878792,17182200.0
68,2017-04-21,24.389999,24.889999,23.66,24.120001,22.55155,36290100.0
69,2017-04-28,24.66,24.67,23.1,23.48,21.953169,40755400.0
70,2017-05-05,23.65,25.32,23.379999,24.809999,23.196678,36948900.0
71,2017-05-12,24.889999,24.959999,22.98,23.07,21.569826,31109800.0
72,2017-05-19,23.129999,23.959999,22.309999,22.85,21.408112,31379700.0
73,2017-05-26,22.84,23.09,21.99,22.15,20.752285,21955500.0
74,2017-06-02,22.07,22.65,21.4,22.32,20.911556,35856200.0
75,2017-06-09,22.360001,23.379999,22.299999,23.34,21.867195,32338700.0
76,2017-06-16,23.459999,23.540001,22.01,22.860001,21.41748,39558300.0
77,2017-06-23,22.879999,24.98,22.879999,24.82,23.253798,39536200.0
78,2017-06-30,25.16,25.41,24.02,24.26,22.729141,25598800.0
79,2017-07-07,24.16,25.450001,23.889999,25.42,23.815939,20224700.0
80,2017-07-14,25.43,25.790001,24.530001,25.0,23.42244,27570500.0
81,2017-07-21,24.98,25.459999,24.65,25.18,23.591084,24122500.0
82,2017-07-28,25.1,26.08,24.27,24.57,23.019577,34207800.0
83,2017-08-04,24.57,25.23,24.24,24.58,23.028946,23000500.0
84,2017-08-11,24.48,24.91,24.07,24.530001,23.029348,17892300.0
85,2017-08-18,24.51,25.209999,24.15,24.98,23.45182,22613600.0
86,2017-08-25,25.030001,25.66,24.26,25.549999,23.986948,19954400.0
87,2017-09-01,25.549999,27.139999,25.549999,26.639999,25.010267,26414900.0
88,2017-09-08,26.52,26.879999,25.91,26.74,25.104147,28081400.0
89,2017-09-15,26.75,27.059999,25.959999,26.41,24.794336,28557400.0
90,2017-09-22,26.34,27.09,26.26,26.82,25.179255,26072200.0
91,2017-09-29,26.59,26.83,26.23,26.389999,24.775564,21443000.0
92,2017-10-06,26.190001,26.280001,25.24,26.0,24.40942,23996000.0
93,2017-10-13,26.23,26.389999,25.209999,25.48,23.92123,23033600.0
94,2017-10-20,25.52,25.709999,24.1,24.65,23.14201,22246300.0
95,2017-10-27,25.200001,28.290001,24.610001,28.26,26.531162,44347300.0
96,2017-11-03,28.23,29.030001,27.17,28.559999,26.812809,38897800.0
97,2017-11-10,28.309999,29.26,27.950001,28.74,27.028751,22833700.0
98,2017-11-17,28.91,29.48,28.82,29.440001,27.687077,15114300.0
99,2017-11-24,29.49,29.57,28.58,28.950001,27.226252,18447900.0
100,2017-12-01,29.23,29.540001,27.65,27.780001,26.125919,22510700.0
101,2017-12-08,27.889999,28.629999,27.25,27.26,25.636877,19517700.0
102,2017-12-15,27.459999,27.780001,26.459999,27.719999,26.069485,26697900.0
103,2017-12-22,27.66,28.6,27.42,28.540001,26.840668,15235200.0
104,2017-12-29,28.690001,29.559999,28.190001,28.91,27.188637,20230900.0
105,2018-01-05,28.58,29.24,27.809999,28.4,26.709002,24263100.0
106,2018-01-12,28.299999,28.950001,27.459999,27.57,25.928423,21461600.0
107,2018-01-19,27.57,28.780001,27.26,27.620001,25.975443,19777100.0
108,2018-01-26,27.860001,28.030001,25.870001,26.200001,24.692699,22265400.0
109,2018-02-02,25.82,25.85,23.0,23.01,21.686222,42488200.0
110,2018-02-09,23.190001,24.27,22.6,24.049999,22.666386,32319100.0
111,2018-02-16,23.969999,24.25,23.24,23.879999,22.506166,24762000.0
112,2018-02-23,24.48,25.49,24.01,24.92,23.48634,29327500.0
113,2018-03-02,24.879999,25.65,24.709999,24.950001,23.514612,24655500.0
114,2018-03-09,25.08,25.83,24.82,25.049999,23.608856,23771500.0
115,2018-03-16,25.030001,25.52,23.950001,23.959999,22.581568,50599100.0
116,2018-03-23,24.08,24.299999,23.32,23.98,22.600416,34822500.0
117,2018-03-30,23.85,24.07,22.75,23.940001,22.562719,19713000.0
118,2018-04-06,23.799999,23.92,22.82,23.559999,22.20458,25175000.0
119,2018-04-13,23.549999,24.23,23.4,23.559999,22.20458,32073000.0
120,2018-04-20,23.540001,23.68,22.879999,23.469999,22.119757,25236000.0
121,2018-04-27,24.629999,24.65,22.99,23.08,21.752193,28137400.0
122,2018-05-04,23.09,23.969999,22.559999,22.959999,21.639095,33512400.0
123,2018-05-11,22.99,23.66,22.58,23.35,22.006664,23245800.0
124,2018-05-18,23.33,23.77,22.24,22.379999,21.146988,29123500.0
125,2018-05-25,22.02,23.209999,21.709999,22.85,21.591101,24508500.0
126,2018-06-01,22.93,23.620001,22.209999,23.389999,22.101343,26526000.0
127,2018-06-08,23.35,24.07,23.02,23.610001,22.309225,26616700.0
128,2018-06-15,23.51,24.6,23.41,24.16,22.828922,31775100.0
129,2018-06-22,24.799999,24.799999,22.74,23.66,22.356472,46153500.0
130,2018-06-29,23.68,24.209999,23.23,23.440001,22.14859,14943800.0
131,2018-07-06,23.42,24.059999,23.18,23.27,21.987955,23587500.0
132,2018-07-13,23.290001,24.540001,23.190001,24.42,23.074596,22008800.0
133,2018-07-20,24.41,25.23,23.85,24.719999,23.358068,30076000.0
134,2018-07-27,24.0,24.43,22.66,23.08,21.808422,38916300.0
135,2018-08-03,23.1,23.940001,22.99,23.540001,22.24308,24513000.0
136,2018-08-10,23.469999,23.879999,22.85,23.5,22.261456,26295100.0
137,2018-08-17,23.5,24.76,23.41,24.25,22.971926,23937200.0
138,2018-08-24,24.4,24.469999,23.719999,24.15,22.877197,23521800.0
139,2018-08-31,24.07,24.190001,21.75,21.91,20.755255,22384600.0
140,2018-09-07,21.84,22.200001,21.48,22.07,20.906818,23219300.0
141,2018-09-14,22.0,23.02,21.49,22.9,21.693077,25462700.0
142,2018-09-21,22.98,23.57,22.41,22.969999,21.759388,47852800.0
143,2018-09-28,22.82,23.860001,22.15,23.790001,22.536169,33736900.0
144,2018-10-05,23.93,25.16,23.049999,23.190001,21.967793,42399000.0
145,2018-10-12,23.49,24.32,22.969999,23.59,22.346708,26844700.0
146,2018-10-19,23.66,24.16,20.950001,21.4,20.272133,43725200.0
147,2018-10-26,21.370001,24.6,21.309999,24.35,23.066656,51444500.0
148,2018-11-02,24.35,26.25,23.809999,25.23,23.900276,34396000.0
149,2018-11-09,25.09,27.4,24.74,25.639999,24.354261,49878400.0
150,2018-11-16,25.84,26.200001,24.940001,25.780001,24.487242,26159800.0
151,2018-11-23,25.15,25.879999,24.18,24.690001,23.4519,28607500.0
152,2018-11-30,24.559999,25.610001,24.290001,25.209999,23.945824,32058400.0
153,2018-12-07,25.5,25.99,23.969999,24.120001,22.910484,36755200.0
154,2018-12-14,23.790001,23.889999,22.219999,22.43,21.305233,46789500.0
155,2018-12-21,22.360001,23.780001,22.1,23.77,22.578035,28570000.0
156,2018-12-28,23.780001,23.9,21.91,23.379999,22.20759,30344600.0
157,2019-01-04,23.700001,24.75,22.92,24.120001,22.910484,39117100.0
158,2019-01-11,24.0,25.49,23.84,25.26,23.993315,29287900.0
159,2019-01-18,25.49,25.889999,24.75,25.48,24.202286,27658000.0
160,2019-01-25,25.48,26.120001,24.84,24.950001,23.764851,28635900.0
161,2019-02-01,25.02,25.24,23.59,23.719999,22.593273,21246500.0
162,2019-02-08,23.690001,24.91,23.469999,24.719999,23.545774,25485500.0
163,2019-02-15,24.92,25.459999,24.280001,24.540001,23.374327,29767900.0
164,2019-02-22,24.34,25.450001,23.780001,24.620001,23.450529,40835800.0
165,2019-03-01,24.84,25.77,24.84,25.120001,23.926775,27862200.0
166,2019-03-08,24.99,26.389999,24.530001,26.049999,24.812595,25255000.0
167,2019-03-15,25.889999,26.690001,25.700001,26.59,25.326948,30167300.0
168,2019-03-22,26.32,26.76,25.780001,26.360001,25.107874,21868800.0
169,2019-03-29,26.540001,26.559999,25.440001,25.82,24.593523,20116900.0
170,2019-04-05,25.870001,27.57,25.639999,27.07,25.784149,28639000.0
171,2019-04-12,27.5,27.65,26.08,26.129999,24.888798,22595900.0
