,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,20.870001,21.290001,20.18,20.299999,16.876207,10153300.0
1,2016-01-08,20.360001,20.450001,19.389999,19.469999,16.186192,12793800.0
2,2016-01-15,19.17,19.68,18.52,18.950001,15.753902,10294000.0
3,2016-01-22,19.17,19.950001,19.15,19.65,16.33584,14396700.0
4,2016-01-29,19.809999,20.309999,19.51,19.98,16.610176,12546200.0
5,2016-02-05,19.860001,19.959999,18.57,18.76,15.595943,11853200.0
6,2016-02-12,18.91,20.34,18.719999,20.219999,16.967869,9533300.0
7,2016-02-19,20.120001,20.860001,20.1,20.860001,17.504936,10688200.0
8,2016-02-26,20.809999,21.57,20.610001,21.51,18.050396,14495900.0
9,2016-03-04,21.5,21.9,20.780001,21.07,17.681158,10727700.0
10,2016-03-11,21.299999,22.290001,21.110001,22.190001,18.621021,8349000.0
11,2016-03-18,22.15,22.34,21.559999,21.74,18.243401,8274400.0
12,2016-03-25,21.76,22.700001,21.76,22.540001,18.914728,8072800.0
13,2016-04-01,22.389999,22.57,22.040001,22.360001,18.763674,11537900.0
14,2016-04-08,22.51,22.780001,22.120001,22.209999,18.6378,14056600.0
15,2016-04-15,22.190001,22.559999,21.610001,21.700001,18.209833,13892000.0
16,2016-04-22,21.799999,22.65,21.110001,22.209999,18.6378,13584800.0
17,2016-04-29,22.1,22.719999,21.700001,22.700001,19.048994,14140600.0
18,2016-05-06,22.6,23.639999,22.469999,23.389999,19.628014,15589300.0
19,2016-05-13,23.280001,23.68,22.639999,22.889999,19.359152,13382000.0
20,2016-05-20,23.0,23.75,22.92,23.42,19.807404,13580600.0
21,2016-05-27,23.440001,23.879999,23.440001,23.879999,20.196444,9256900.0
22,2016-06-03,24.040001,24.780001,23.92,24.76,20.940699,10260400.0
23,2016-06-10,24.59,25.42,24.43,25.379999,21.465063,12257800.0
24,2016-06-17,25.379999,25.92,25.190001,25.440001,21.515814,16855900.0
25,2016-06-24,24.969999,26.690001,24.74,26.66,22.547623,16894300.0
26,2016-07-01,26.690001,26.790001,26.18,26.389999,22.319267,9725600.0
27,2016-07-08,26.57,27.469999,26.42,27.24,23.038147,11938200.0
28,2016-07-15,27.24,27.58,27.030001,27.450001,23.215763,12891900.0
29,2016-07-22,27.43,28.4,27.110001,28.16,23.81624,13616800.0
30,2016-07-29,28.18,28.99,28.1,28.24,23.8839,11234500.0
31,2016-08-05,28.23,28.459999,27.85,28.190001,23.841616,9968200.0
32,2016-08-12,28.07,28.469999,27.690001,27.84,23.545607,9671600.0
33,2016-08-19,27.790001,28.26,27.65,27.91,23.756498,8997700.0
34,2016-08-26,28.030001,28.27,27.459999,28.01,23.841614,12223200.0
