,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,67.910004,69.160004,66.769997,67.540001,53.897861,5501000.0
1,2016-01-08,67.580002,69.589996,67.050003,69.099998,55.142757,7105400.0
2,2016-01-15,68.589996,69.239998,65.379997,66.68,53.211571,5763200.0
3,2016-01-22,67.260002,70.910004,66.839996,70.559998,56.307854,5229900.0
4,2016-01-29,71.279999,74.480003,70.339996,72.300003,57.696411,7362100.0
5,2016-02-05,72.050003,73.019997,69.339996,70.540001,56.291901,8125700.0
6,2016-02-12,70.32,73.93,69.339996,73.440002,59.311745,7012800.0
7,2016-02-19,73.790001,74.330002,72.0,74.25,59.965912,6508700.0
8,2016-02-26,73.830002,74.580002,70.610001,73.139999,59.069454,5994000.0
9,2016-03-04,72.790001,76.139999,72.220001,75.980003,61.363094,6527500.0
10,2016-03-11,76.220001,79.160004,75.5,78.940002,63.753651,5663500.0
11,2016-03-18,78.919998,79.25,77.43,78.839996,63.67289,6598700.0
12,2016-03-25,78.959999,79.720001,77.940002,79.279999,64.028267,4173700.0
13,2016-04-01,79.339996,80.059998,76.57,77.190002,62.340317,8996300.0
14,2016-04-08,77.5,78.110001,75.650002,75.839996,61.250027,9083100.0
15,2016-04-15,75.800003,76.720001,73.25,73.510002,59.368267,8774900.0
16,2016-04-22,73.830002,75.5,73.519997,74.43,60.111271,8906500.0
17,2016-04-29,74.019997,77.900002,73.620003,76.849998,62.065735,8752900.0
18,2016-05-06,76.699997,77.260002,75.360001,77.07,62.243408,7051200.0
19,2016-05-13,76.870003,77.089996,72.669998,74.32,60.696491,7548800.0
20,2016-05-20,74.57,75.650002,73.529999,75.580002,61.725548,6775700.0
21,2016-05-27,75.470001,76.910004,75.199997,76.889999,62.795387,4788000.0
22,2016-06-03,77.629997,79.300003,77.559998,78.68,64.257278,7415100.0
23,2016-06-10,78.440002,79.309998,77.739998,78.449997,64.069435,6664600.0
24,2016-06-17,78.25,78.989998,77.370003,78.290001,63.938763,5864900.0
25,2016-06-24,77.580002,81.360001,77.540001,81.349998,66.437851,7333200.0
26,2016-07-01,81.43,82.089996,80.169998,80.5,65.743652,4573700.0
27,2016-07-08,80.290001,81.82,79.550003,79.790001,65.163811,6863200.0
28,2016-07-15,79.940002,80.660004,79.290001,80.230003,65.523155,4250800.0
29,2016-07-22,80.260002,81.739998,79.449997,80.519997,65.759979,3340800.0
30,2016-07-29,80.459999,82.0,79.75,80.010002,65.343483,6307600.0
31,2016-08-05,79.870003,80.389999,78.43,79.269997,64.739098,6070500.0
32,2016-08-12,79.519997,80.0,76.599998,79.279999,65.444832,5194300.0
33,2016-08-19,78.93,79.739998,77.669998,79.080002,65.279739,3789400.0
34,2016-08-26,79.07,79.639999,77.190002,77.650002,64.099281,5541600.0
35,2016-09-02,77.790001,81.32,77.769997,80.779999,66.683052,5030600.0
36,2016-09-09,80.330002,80.330002,76.510002,77.629997,64.082756,5789200.0
37,2016-09-16,77.360001,81.809998,77.150002,81.730003,67.46727,5413500.0
38,2016-09-23,81.57,81.830002,77.25,77.330002,63.835114,7160100.0
39,2016-09-30,77.57,77.959999,72.459999,73.809998,60.929401,9627500.0
40,2016-10-07,74.269997,75.510002,73.110001,74.879997,61.812664,8589100.0
41,2016-10-14,74.589996,75.440002,74.0,74.510002,61.50724,5040800.0
42,2016-10-21,74.129997,74.639999,70.900002,71.879997,59.336197,8364900.0
43,2016-10-28,72.040001,73.910004,70.989998,71.389999,58.931721,8565500.0
44,2016-11-04,71.699997,72.449997,66.709999,67.870003,56.02599,9379900.0
45,2016-11-11,67.879997,68.879997,66.730003,68.18,56.975048,7341100.0
46,2016-11-18,68.089996,69.029999,67.400002,68.120003,56.924923,6008000.0
47,2016-11-25,68.32,71.5,67.989998,68.879997,57.560001,8184600.0
48,2016-12-02,69.360001,70.68,67.839996,70.410004,58.83857,7900800.0
49,2016-12-09,70.150002,73.790001,70.040001,72.389999,60.493164,6953500.0
50,2016-12-16,72.230003,73.660004,72.230003,73.18,61.153339,9066500.0
51,2016-12-23,73.169998,73.589996,71.879997,73.5,61.420753,3113000.0
52,2016-12-30,73.650002,73.739998,72.370003,73.0,61.002914,5789200.0
53,2017-01-06,72.739998,73.889999,70.889999,71.830002,60.025208,8267200.0
54,2017-01-13,71.870003,72.639999,70.959999,71.080002,59.398468,4527200.0
55,2017-01-20,71.220001,71.5,70.07,70.529999,58.93885,5057300.0
56,2017-01-27,70.809998,71.980003,70.019997,71.440002,59.699287,6749600.0
57,2017-02-03,71.629997,72.190002,70.400002,71.0,59.331608,5430500.0
58,2017-02-10,70.900002,72.849998,69.629997,72.769997,61.557957,7440900.0
59,2017-02-17,73.0,75.339996,72.860001,75.139999,63.562809,5696900.0
60,2017-02-24,75.540001,76.790001,74.970001,75.540001,63.901173,8427400.0
61,2017-03-03,75.629997,75.709999,72.790001,73.150002,61.879414,7797700.0
62,2017-03-10,73.660004,75.5,73.260002,74.949997,63.402077,6124000.0
63,2017-03-17,74.760002,77.510002,74.760002,76.629997,64.823242,9837800.0
64,2017-03-24,76.050003,77.370003,75.510002,75.849998,64.163406,4539900.0
65,2017-03-31,75.870003,76.32,75.209999,75.879997,64.188812,6705400.0
66,2017-04-07,75.980003,77.160004,75.510002,76.989998,65.127762,6047300.0
67,2017-04-14,77.139999,77.410004,75.43,75.800003,64.121124,3381900.0
68,2017-04-21,75.849998,77.169998,75.739998,76.68,64.865532,7384300.0
69,2017-04-28,76.839996,76.889999,75.510002,76.559998,64.764008,5522100.0
70,2017-05-05,76.760002,77.419998,74.959999,75.379997,63.76582,5431700.0
71,2017-05-12,75.389999,76.449997,74.879997,75.769997,64.826859,4798000.0
72,2017-05-19,75.870003,78.110001,75.129997,77.860001,66.615013,5553600.0
73,2017-05-26,77.989998,80.0,77.529999,79.870003,68.334724,5974400.0
74,2017-06-02,80.120003,80.610001,78.879997,79.309998,67.855606,5856100.0
75,2017-06-09,79.150002,80.120003,78.589996,80.029999,68.471626,4936900.0
76,2017-06-16,80.18,80.199997,78.860001,79.190002,67.752945,4750400.0
77,2017-06-23,79.190002,79.989998,76.519997,76.879997,65.776566,4458000.0
78,2017-06-30,77.150002,77.459999,75.410004,75.519997,64.612976,3766600.0
79,2017-07-07,75.519997,76.25,74.830002,75.059998,64.219391,4737100.0
80,2017-07-14,75.599998,76.599998,75.230003,76.470001,65.425766,4431300.0
81,2017-07-21,76.519997,77.190002,75.160004,76.150002,65.151993,4114600.0
82,2017-07-28,76.160004,77.68,75.760002,76.860001,65.759453,6436600.0
83,2017-08-04,76.550003,77.669998,75.730003,76.839996,65.742332,6429600.0
84,2017-08-11,76.989998,78.339996,75.970001,77.550003,67.112129,4090900.0
85,2017-08-18,77.489998,79.339996,77.300003,78.989998,68.358315,5359500.0
86,2017-08-25,79.360001,80.220001,79.110001,79.169998,68.514091,4476700.0
87,2017-09-01,79.370003,79.93,78.650002,79.220001,68.557365,4320500.0
88,2017-09-08,79.300003,80.489998,77.93,79.139999,68.488121,4642000.0
89,2017-09-15,79.019997,79.400002,77.349998,77.959999,67.466949,5886300.0
90,2017-09-22,78.199997,78.480003,75.980003,76.339996,66.064995,4479900.0
91,2017-09-29,76.279999,79.330002,75.010002,79.089996,68.444847,7383500.0
92,2017-10-06,78.489998,81.82,77.629997,81.800003,70.790092,7098100.0
93,2017-10-13,82.0,85.43,81.870003,85.360001,73.870941,8112800.0
94,2017-10-20,85.25,87.0,84.370003,86.18,74.580589,7738400.0
95,2017-10-27,86.139999,86.839996,85.239998,86.639999,74.978668,6853900.0
96,2017-11-03,86.480003,87.849998,85.599998,86.419998,74.788277,6214400.0
97,2017-11-10,85.949997,87.949997,85.099998,85.900002,75.107933,6348400.0
98,2017-11-17,85.660004,87.220001,84.849998,85.510002,74.766937,3584300.0
99,2017-11-24,85.550003,86.800003,85.25,86.480003,75.615074,5153600.0
100,2017-12-01,86.82,87.089996,82.769997,83.699997,73.184326,7635900.0
101,2017-12-08,83.540001,85.230003,81.849998,82.660004,72.274994,7306700.0
102,2017-12-15,83.019997,84.089996,79.660004,80.120003,70.054115,10093000.0
103,2017-12-22,80.290001,81.169998,79.800003,81.160004,70.963448,3611200.0
104,2017-12-29,81.449997,82.959999,80.43,80.540001,70.421349,5160500.0
105,2018-01-05,80.68,81.019997,78.959999,79.169998,69.223457,5842100.0
106,2018-01-12,78.739998,79.199997,76.860001,77.790001,68.016823,4767800.0
107,2018-01-19,77.949997,78.400002,76.550003,78.080002,68.270409,7059400.0
108,2018-01-26,78.290001,78.980003,76.720001,77.120003,67.431015,7687200.0
109,2018-02-02,76.739998,77.459999,71.949997,72.019997,62.971737,8678900.0
110,2018-02-09,72.330002,76.400002,72.139999,76.309998,67.537697,6072200.0
111,2018-02-16,76.239998,77.0,74.300003,75.029999,66.404846,5249600.0
112,2018-02-23,74.809998,78.360001,73.550003,75.879997,67.157127,8573200.0
113,2018-03-02,75.809998,78.849998,75.660004,76.660004,67.847466,7500000.0
114,2018-03-09,76.82,78.419998,76.190002,77.529999,68.617447,5566200.0
115,2018-03-16,77.790001,80.150002,77.449997,78.349998,69.343193,8688100.0
116,2018-03-23,78.620003,80.110001,77.190002,78.779999,69.723763,5220300.0
117,2018-03-30,78.959999,80.040001,77.889999,79.760002,70.59111,4865700.0
118,2018-04-06,80.019997,80.019997,77.150002,77.349998,68.458145,4925300.0
119,2018-04-13,77.5,80.589996,77.5,80.019997,70.82122,7219100.0
120,2018-04-20,80.010002,81.330002,78.209999,81.290001,71.945213,6619500.0
121,2018-04-27,81.080002,82.629997,80.82,82.349998,72.883369,7470900.0
122,2018-05-04,82.32,82.620003,77.57,78.959999,69.883072,5182000.0
123,2018-05-11,79.150002,79.220001,76.019997,76.260002,68.258575,4924300.0
124,2018-05-18,76.300003,79.550003,75.449997,79.480003,71.140709,6091400.0
125,2018-05-25,79.480003,81.129997,79.190002,80.910004,72.420677,6458400.0
126,2018-06-01,80.68,80.779999,75.830002,76.629997,68.589737,10800200.0
127,2018-06-08,76.830002,77.519997,75.910004,76.709999,68.661346,13937900.0
128,2018-06-15,76.730003,80.82,76.169998,79.839996,71.462944,14087300.0
129,2018-06-22,80.230003,82.139999,79.699997,81.260002,72.733948,11297300.0
130,2018-06-29,80.949997,82.0,80.209999,81.959999,73.360497,6197500.0
131,2018-07-06,81.940002,82.779999,79.550003,82.18,73.557426,8357400.0
132,2018-07-13,81.970001,82.370003,80.290001,81.0,72.501221,7124200.0
133,2018-07-20,81.019997,81.169998,77.589996,80.43,71.991043,8959100.0
134,2018-07-27,80.540001,83.379997,79.839996,82.760002,74.076576,10224600.0
135,2018-08-03,83.190002,84.290001,82.029999,83.330002,74.586754,7641500.0
136,2018-08-10,83.559998,85.169998,83.019997,85.139999,77.030251,10622200.0
137,2018-08-17,84.970001,85.620003,84.010002,84.629997,76.568832,5439200.0
138,2018-08-24,84.550003,85.199997,82.860001,84.330002,76.297409,6182200.0
139,2018-08-31,84.209999,85.809998,83.269997,85.529999,77.38311,4408300.0
140,2018-09-07,84.879997,85.620003,83.480003,84.220001,76.197884,6262200.0
141,2018-09-14,84.099998,84.580002,81.169998,82.489998,74.632668,5463500.0
142,2018-09-21,82.260002,82.919998,78.989998,79.93,72.316513,7789000.0
143,2018-09-28,80.169998,82.139999,79.57,81.199997,73.465538,4623000.0
144,2018-10-05,81.290001,84.57,80.980003,81.199997,73.465538,6805300.0
145,2018-10-12,81.120003,83.330002,80.040001,82.610001,74.741226,8844800.0
146,2018-10-19,82.730003,86.0,82.559998,83.5,75.546463,8269500.0
147,2018-10-26,84.0,84.93,81.019997,83.010002,75.103142,10147200.0
148,2018-11-02,83.230003,85.57,82.080002,85.129997,77.021202,6555200.0
149,2018-11-09,85.089996,87.309998,84.419998,85.970001,78.618736,7935600.0
150,2018-11-16,86.980003,87.849998,85.059998,85.349998,78.051758,5210500.0
151,2018-11-23,85.519997,86.610001,85.010002,85.870003,78.52729,5182900.0
152,2018-11-30,86.160004,89.43,85.870003,88.25,80.703773,8114600.0
153,2018-12-07,88.190002,90.760002,87.309998,90.459999,82.7248,7167700.0
154,2018-12-14,90.400002,90.790001,85.809998,87.339996,79.871582,10162900.0
155,2018-12-21,86.739998,88.739998,82.059998,85.339996,78.042595,6770800.0
156,2018-12-28,85.410004,86.169998,83.400002,84.169998,76.972656,5033100.0
157,2019-01-04,83.610001,86.940002,83.610001,86.629997,79.222298,7525000.0
