,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,20.120001,20.280001,19.325001,19.525,16.696741,27511400.0
1,2016-01-08,19.639999,19.885,19.0,19.625,16.782255,40692600.0
2,2016-01-15,17.555,19.365,17.549999,18.57,15.880075,59001600.0
3,2016-01-22,18.865,19.700001,18.379999,19.67,16.820734,38251000.0
4,2016-01-29,19.74,22.219999,19.24,21.764999,18.760294,52842600.0
5,2016-02-05,21.645,22.125,20.48,21.004999,18.105217,50467600.0
6,2016-02-12,21.280001,22.555,20.950001,22.280001,19.204205,20665800.0
7,2016-02-19,22.09,22.825001,21.715,22.535,19.424,22031400.0
8,2016-02-26,22.620001,23.58,22.450001,23.5,20.255777,32383400.0
9,2016-03-04,22.995001,23.565001,22.355,23.495001,20.251467,30274200.0
10,2016-03-11,23.625,24.594999,22.59,24.469999,21.091871,25397000.0
11,2016-03-18,24.584999,24.995001,24.215,24.450001,21.074625,26456200.0
12,2016-03-25,24.525,24.645,24.030001,24.5,21.117722,17021200.0
13,2016-04-01,24.15,24.48,23.065001,23.360001,20.135107,34515200.0
14,2016-04-08,23.605,23.809999,22.5,22.885,19.725683,39912000.0
15,2016-04-15,22.885,23.33,22.65,22.790001,19.643799,18171200.0
16,2016-04-22,22.575001,23.995001,22.575001,23.635,20.372141,31492400.0
17,2016-04-29,23.440001,23.625,22.645,23.275,20.194759,32968200.0
18,2016-05-06,23.205,23.415001,22.785,22.82,19.799971,22473800.0
19,2016-05-13,22.82,23.049999,22.225,22.254999,19.309742,22311000.0
20,2016-05-20,22.355,23.1,22.049999,23.040001,19.990858,19464400.0
21,2016-05-27,23.049999,23.27,22.735001,23.254999,20.177406,16988800.0
22,2016-06-03,23.25,23.299999,22.485001,22.674999,19.674164,24967400.0
23,2016-06-10,22.43,22.559999,21.764999,22.15,19.218639,21964800.0
24,2016-06-17,22.15,22.815001,21.915001,22.780001,19.765266,22418600.0
25,2016-06-24,21.959999,22.209999,21.09,22.195,19.257689,30706200.0
26,2016-07-01,22.165001,22.705,21.75,22.360001,19.40085,19917200.0
27,2016-07-08,22.51,22.915001,21.540001,21.65,18.784807,44474600.0
28,2016-07-15,21.780001,21.82,20.85,20.92,18.151424,36876600.0
29,2016-07-22,20.775,21.295,20.735001,21.25,18.437748,36216400.0
30,2016-07-29,21.235001,21.620001,20.825001,21.200001,18.527208,31850400.0
31,2016-08-05,21.254999,21.815001,21.129999,21.719999,18.981647,16453000.0
32,2016-08-12,21.66,21.995001,21.584999,21.945,19.178284,11870600.0
33,2016-08-19,21.875,22.285,21.715,21.865,19.108374,11738400.0
34,2016-08-26,21.93,22.115,21.225,21.41,18.71073,15081000.0
35,2016-09-02,21.565001,21.799999,20.805,21.084999,18.426706,14021400.0
36,2016-09-09,20.885,21.105,19.995001,20.405001,17.832438,35718800.0
37,2016-09-16,20.225,20.370001,19.924999,20.275,17.718826,23273400.0
38,2016-09-23,20.200001,20.629999,20.01,20.42,17.845549,15595400.0
39,2016-09-30,20.5,21.395,20.459999,21.365,18.671406,22964200.0
40,2016-10-07,21.245001,21.385,18.965,19.17,16.753143,48506800.0
41,2016-10-14,19.065001,19.565001,18.85,19.405001,16.958519,27506800.0
42,2016-10-21,19.16,19.690001,18.98,19.225,16.80121,17862000.0
43,2016-10-28,19.23,19.565001,19.045,19.299999,16.998146,18288400.0
44,2016-11-04,19.35,22.65,19.34,22.459999,19.78126,39638200.0
45,2016-11-11,22.385,22.715,21.719999,22.48,19.798876,33654000.0
46,2016-11-18,22.459999,23.254999,22.365,23.120001,20.362551,16665000.0
47,2016-11-25,23.105,24.184999,22.985001,23.745001,20.913004,27214800.0
48,2016-12-02,23.775,24.655001,23.6,24.565001,21.635206,41965800.0
49,2016-12-09,24.584999,24.639999,23.98,24.215,21.326948,24132600.0
50,2016-12-16,24.26,24.459999,23.84,24.014999,21.150803,18345400.0
51,2016-12-23,24.02,24.334999,23.565001,23.605,20.789701,9211600.0
52,2016-12-30,23.745001,23.995001,23.16,23.309999,20.529884,18928400.0
53,2017-01-06,23.32,24.08,23.049999,24.0,21.13759,24715200.0
54,2017-01-13,24.07,25.780001,23.5,25.275,22.260527,35731400.0
55,2017-01-20,25.415001,25.754999,25.110001,25.184999,22.181259,32181200.0
56,2017-01-27,25.205,25.205,24.344999,24.5,21.577957,24237800.0
57,2017-02-03,24.629999,25.59,24.440001,25.125,22.270462,23703200.0
58,2017-02-10,25.219999,25.415001,24.93,25.305,22.430014,12136600.0
59,2017-02-17,25.219999,25.620001,24.83,24.895,22.066597,12373000.0
60,2017-02-24,24.82,25.700001,24.700001,25.315001,22.438881,17225200.0
61,2017-03-03,25.325001,26.32,24.969999,25.09,22.239441,25091600.0
62,2017-03-10,25.26,25.9,25.145,25.625,22.713655,15703000.0
63,2017-03-17,25.77,26.035,25.459999,25.504999,22.607292,20026000.0
64,2017-03-24,25.575001,25.719999,24.754999,25.66,22.74468,17232800.0
65,2017-03-31,25.620001,26.370001,25.375,25.475,22.5807,23657800.0
66,2017-04-07,25.5,25.565001,22.764999,22.77,20.183023,53649800.0
67,2017-04-14,22.799999,22.965,22.115,22.735001,20.152002,39954000.0
68,2017-04-21,22.799999,23.165001,22.555,22.690001,20.112116,27638000.0
69,2017-04-28,22.695,23.299999,21.93,22.764999,20.320755,32688400.0
70,2017-05-05,22.745001,22.995001,22.184999,22.49,20.075283,22703000.0
71,2017-05-12,22.434999,22.514999,20.955,21.469999,19.164797,35264400.0
72,2017-05-19,21.495001,22.235001,21.415001,21.645,19.321007,24355400.0
73,2017-05-26,21.65,21.91,21.184999,21.805,19.463833,24477000.0
74,2017-06-02,22.915001,22.915001,20.934999,21.209999,18.932718,43703200.0
75,2017-06-09,21.209999,22.280001,21.209999,21.825001,19.481682,31158200.0
76,2017-06-16,21.605,22.51,21.275,21.395,19.097851,25030800.0
77,2017-06-23,21.43,21.67,20.995001,21.264999,18.98181,29513600.0
78,2017-06-30,21.48,22.355,21.32,22.035,19.669136,18585000.0
79,2017-07-07,22.065001,23.299999,20.530001,21.584999,19.267447,74735400.0
80,2017-07-14,21.700001,21.985001,20.940001,21.535,19.222824,42222800.0
81,2017-07-21,21.365,22.219999,21.105,21.9,19.548634,39166600.0
82,2017-07-28,21.860001,21.985001,21.139999,21.285,19.144114,28144800.0
83,2017-08-04,21.450001,21.975,21.105,21.18,19.049671,22896200.0
84,2017-08-11,21.219999,21.68,20.795,20.805,18.712393,19054000.0
85,2017-08-18,20.780001,20.84,19.895,20.575001,18.505526,35232000.0
86,2017-08-25,20.674999,21.434999,20.530001,21.334999,19.189087,22010600.0
87,2017-09-01,21.445,21.530001,20.379999,20.965,18.856298,22470600.0
88,2017-09-08,20.950001,21.975,20.805,21.780001,19.589325,20438600.0
89,2017-09-15,21.790001,22.584999,21.68,22.245001,20.007559,23125600.0
90,2017-09-22,22.045,22.98,21.879999,22.865,20.565191,23653400.0
91,2017-09-29,22.805,23.084999,22.57,23.02,20.704605,21683000.0
92,2017-10-06,23.129999,23.275,21.254999,22.969999,20.65963,44651800.0
93,2017-10-13,23.094999,24.440001,23.035,24.129999,21.702955,32531800.0
94,2017-10-20,24.25,24.485001,22.98,23.745001,21.35668,25289800.0
95,2017-10-27,23.610001,23.995001,23.200001,23.790001,21.538042,16279600.0
96,2017-11-03,23.74,24.25,23.360001,23.77,21.519939,16537600.0
97,2017-11-10,23.625,24.32,23.455,24.235001,21.940922,17086400.0
98,2017-11-17,24.225,24.780001,23.889999,24.375,22.067663,12279000.0
99,2017-11-24,24.434999,26.445,24.209999,26.195,23.715385,23879400.0
100,2017-12-01,26.084999,27.674999,25.459999,26.92,24.371758,32994200.0
101,2017-12-08,27.025,27.325001,26.195,26.27,23.783289,18632200.0
102,2017-12-15,26.645,27.190001,26.200001,27.055,24.49398,22175400.0
103,2017-12-22,27.059999,27.59,26.735001,27.57,24.960226,9963600.0
104,2017-12-29,27.530001,27.725,26.959999,27.389999,24.797268,14913000.0
105,2018-01-05,27.52,27.959999,26.540001,27.545,24.937595,22255200.0
106,2018-01-12,27.67,28.075001,25.75,26.645,24.122787,40846600.0
107,2018-01-19,26.709999,28.84,26.615,28.549999,25.847458,38310400.0
108,2018-01-26,28.584999,28.91,26.995001,27.25,24.670519,29081800.0
109,2018-02-02,27.02,27.18,25.665001,26.075001,23.76244,36902000.0
110,2018-02-09,26.280001,27.934999,25.77,27.834999,25.366346,28207600.0
111,2018-02-16,27.76,27.860001,26.98,27.094999,24.691977,13308200.0
112,2018-02-23,27.309999,28.254999,26.785,26.895,24.509714,16773800.0
113,2018-03-02,26.725,28.445,26.360001,28.26,25.753656,23730000.0
114,2018-03-09,28.434999,29.23,28.379999,28.805,26.250319,19744200.0
115,2018-03-16,28.9,29.370001,27.615,27.639999,25.188639,24660200.0
116,2018-03-23,27.74,27.82,26.25,27.295,24.874239,32262000.0
117,2018-03-30,27.025,28.014999,26.184999,27.795,25.329897,20456600.0
118,2018-04-06,27.565001,27.775,24.875,25.355,23.106297,59645000.0
119,2018-04-13,25.434999,25.67,24.745001,25.290001,23.047058,38366600.0
120,2018-04-20,25.215,25.514999,24.26,24.93,22.718985,26859400.0
121,2018-04-27,24.825001,25.58,24.094999,24.745001,22.71727,29476600.0
122,2018-05-04,24.525,25.959999,24.405001,25.665001,23.56188,19583800.0
123,2018-05-11,25.715,26.73,25.540001,26.434999,24.26878,18945000.0
124,2018-05-18,26.485001,26.985001,25.915001,26.4,24.23665,18730600.0
125,2018-05-25,26.370001,26.674999,25.879999,26.615,24.434031,15837800.0
126,2018-06-01,26.785,27.48,25.565001,26.469999,24.300909,28602000.0
127,2018-06-08,26.514999,26.895,25.955,26.395,24.232058,19348400.0
128,2018-06-15,26.450001,26.450001,25.34,25.440001,23.355314,22612200.0
129,2018-06-22,25.545,25.790001,24.155001,24.375,22.377586,25571400.0
130,2018-06-29,24.459999,24.795,23.684999,24.040001,22.07004,28290600.0
131,2018-07-06,24.025,28.209999,23.92,27.66,25.393394,90606800.0
132,2018-07-13,27.76,28.67,27.360001,28.41,26.081942,33385800.0
133,2018-07-20,28.35,29.235001,28.120001,28.375,26.049807,26100400.0
134,2018-07-27,28.375,28.565001,27.575001,28.209999,26.078489,22750600.0
135,2018-08-03,27.674999,29.275,27.674999,28.754999,26.58231,15157800.0
136,2018-08-10,28.674999,29.870001,28.469999,29.655001,27.414307,17957000.0
137,2018-08-17,29.629999,30.57,29.344999,30.174999,27.895018,16544000.0
138,2018-08-24,30.209999,30.219999,28.934999,29.084999,26.887375,23367400.0
139,2018-08-31,29.035,29.764999,29.025,29.504999,27.27564,16676000.0
140,2018-09-07,29.455,29.775,28.385,29.5,27.271019,21491800.0
141,2018-09-14,29.535,29.690001,28.445,29.355,27.136974,21116400.0
142,2018-09-21,29.525,29.75,28.49,29.035,26.841156,17721400.0
143,2018-09-28,29.004999,29.360001,28.09,28.395,26.24951,25339800.0
144,2018-10-05,28.43,28.615,25.365,25.625,23.688808,66197000.0
145,2018-10-12,26.035,26.65,25.445,26.27,24.285074,39047000.0
146,2018-10-19,26.280001,26.5,24.290001,24.655001,22.792103,30893600.0
147,2018-10-26,24.24,26.01,24.004999,25.905001,24.134966,31066000.0
148,2018-11-02,26.08,27.620001,26.045,27.565001,25.681538,27245200.0
149,2018-11-09,27.305,28.615,26.995001,28.504999,26.55731,41505000.0
150,2018-11-16,28.545,29.145,27.51,28.365,26.426872,38761000.0
151,2018-11-23,27.92,29.92,27.700001,29.629999,27.605442,29950800.0
152,2018-11-30,29.725,30.225,27.725,28.65,26.692404,25761000.0
153,2018-12-07,28.535,28.860001,26.790001,27.365,25.495201,25604800.0
154,2018-12-14,27.035,27.445,24.99,25.285,23.557325,30285800.0
155,2018-12-21,25.485001,26.065001,24.605,26.065001,24.284027,21367200.0
156,2018-12-28,26.135,26.375,24.844999,24.975,23.268507,20226800.0
157,2019-01-04,25.455,27.34,25.344999,27.24,25.378746,26474400.0
158,2019-01-11,27.139999,28.795,27.0,28.67,26.711035,33083400.0
159,2019-01-18,28.995001,29.889999,28.809999,29.405001,27.395817,32040400.0
160,2019-01-25,29.639999,30.43,29.195,30.23,28.164444,39584400.0
161,2019-02-01,30.365,31.059999,30.014999,30.375,28.50392,23500800.0
162,2019-02-08,30.190001,31.645,29.905001,31.184999,29.264021,24793800.0
163,2019-02-15,31.475,31.57,30.855,31.225,29.301561,17498200.0
164,2019-02-22,31.405001,31.860001,31.09,31.469999,29.531466,15690200.0
165,2019-03-01,31.684999,31.815001,30.5,30.76,28.865204,20060800.0
166,2019-03-08,30.545,31.405001,30.290001,31.094999,29.179567,15994400.0
167,2019-03-15,31.08,31.985001,31.014999,31.940001,29.972511,17361600.0
168,2019-03-22,31.735001,31.895,30.780001,31.754999,29.79891,12181600.0
169,2019-03-29,31.995001,33.294998,31.915001,33.16,31.117365,17276800.0
170,2019-04-05,33.299999,34.599998,32.049999,34.240002,32.130836,28075200.0
171,2019-04-12,34.384998,35.555,34.110001,35.540001,33.350761,24091400.0
172,2019-04-19,35.57,35.939999,34.759998,35.48,33.294456,16317200.0
173,2019-04-26,35.514999,35.849998,34.389999,34.924999,32.975914,22847600.0
174,2019-05-03,35.119999,35.494999,32.455002,33.005001,31.163069,31259200.0
175,2019-05-10,32.794998,33.025002,31.575001,32.305,30.502136,21788000.0
176,2019-05-17,32.115002,32.779999,31.02,31.34,29.590986,18736000.0
177,2019-05-24,31.5,31.65,30.110001,30.719999,29.005587,21171700.0
178,2019-05-31,30.34,32.59,29.98,31.959999,30.176386,25874200.0
179,2019-06-07,32.040001,33.029999,31.889999,32.73,30.903416,14434800.0
180,2019-06-14,32.669998,33.240002,31.129999,33.240002,31.384954,19853000.0
181,2019-06-21,33.009998,33.119999,31.84,32.209999,30.412436,20222800.0
182,2019-06-28,32.34,33.09,31.790001,32.259998,30.459642,14368700.0
183,2019-07-05,32.09,32.18,29.440001,30.360001,28.66568,37423400.0
184,2019-07-12,30.360001,31.389999,30.040001,30.299999,28.60903,25979600.0
185,2019-07-19,30.530001,32.080002,30.34,31.440001,29.68541,21772000.0
186,2019-07-26,31.48,31.83,29.51,29.629999,28.171997,23419000.0
187,2019-08-02,29.379999,29.870001,28.379999,29.74,28.276585,28438600.0
188,2019-08-09,29.700001,30.93,29.01,29.280001,27.83922,21202100.0
189,2019-08-16,29.52,31.02,29.309999,30.73,29.217869,14156600.0
190,2019-08-23,30.559999,30.75,29.26,30.540001,29.037218,16542600.0
191,2019-08-30,30.790001,31.43,29.52,31.059999,29.531631,14333800.0
192,2019-09-06,31.280001,33.990002,31.190001,33.630001,31.975176,22026300.0
193,2019-09-13,33.77,34.09,32.360001,32.400002,30.805693,18885600.0
194,2019-09-20,32.41,32.639999,31.48,31.99,30.415871,20103800.0
195,2019-09-27,32.240002,33.16,30.379999,31.01,29.484089,23360500.0
196,2019-10-04,31.209999,31.85,30.139999,31.02,29.493601,22833500.0
197,2019-10-11,34.099998,36.580002,34.040001,36.02,34.247562,55835300.0
198,2019-10-18,36.0,37.799999,35.810001,37.18,35.350487,24586000.0
199,2019-10-25,37.099998,37.549999,35.470001,35.939999,34.372295,23334700.0
200,2019-11-01,36.299999,37.91,36.200001,37.139999,35.519951,23077200.0
201,2019-11-08,37.119999,37.139999,35.73,36.200001,34.620949,14094500.0
202,2019-11-15,36.43,36.59,34.919998,35.139999,33.607193,17512900.0
203,2019-11-22,35.360001,36.209999,34.950001,35.790001,34.228836,11842100.0
204,2019-11-29,35.66,36.48,34.029999,35.279999,33.741081,17644000.0
205,2019-12-06,35.580002,37.740002,35.580002,37.650002,36.007706,17225400.0
206,2019-12-13,37.490002,37.939999,36.549999,36.799999,35.194775,16094400.0
207,2019-12-20,37.240002,37.43,36.68,36.939999,35.328674,11704600.0
208,2019-12-27,37.0,37.330002,36.650002,37.23,35.606022,9463200.0
209,2020-01-03,36.669998,36.82,35.650002,36.220001,34.640083,18952100.0
210,2020-01-10,36.220001,37.34,35.900002,37.310001,35.682541,22530000.0
211,2020-01-17,36.369999,37.599998,35.290001,36.060001,34.487057,25963900.0
212,2020-01-24,36.119999,36.540001,34.630001,36.139999,34.563568,22300000.0
213,2020-01-31,35.830002,38.240002,34.73,37.900002,36.500984,20127900.0
214,2020-02-07,37.66,38.470001,36.689999,38.240002,36.828434,17351000.0
215,2020-02-14,38.23,39.310001,37.880001,39.02,37.579639,10041100.0
216,2020-02-21,38.84,39.18,34.759998,35.02,33.727291,27380200.0
217,2020-02-28,33.810001,36.389999,33.310001,34.84,33.55394,36251500.0
218,2020-03-06,33.5,34.290001,29.790001,30.870001,29.730484,48306100.0
219,2020-03-13,32.799999,35.459999,30.0,32.299999,31.107698,46799900.0
220,2020-03-20,32.360001,32.549999,26.719999,32.310001,31.117332,37667000.0
221,2020-03-27,31.17,32.279999,29.92,30.65,29.518608,31612800.0
222,2020-04-03,30.5,33.709999,30.01,33.619999,32.378975,27676800.0
223,2020-04-10,32.610001,35.52,31.870001,35.43,34.122162,23252700.0
224,2020-04-17,36.310001,36.919998,33.959999,34.919998,33.630981,21052300.0
225,2020-04-24,35.150002,37.970001,34.84,36.220001,34.882999,21589100.0
226,2020-05-01,35.790001,38.610001,35.169998,38.18,37.027565,20098200.0
227,2020-05-08,38.43,39.959999,37.720001,38.68,37.512474,19436800.0
228,2020-05-15,38.299999,40.459999,38.049999,38.709999,37.541573,22579500.0
