,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,31.52,32.009998,30.889999,31.0,24.526911,17770200.0
1,2016-01-08,31.02,32.799999,30.98,32.560001,25.761173,23515100.0
2,2016-01-15,32.169998,32.580002,30.620001,31.299999,24.764267,21004900.0
3,2016-01-22,31.58,32.52,31.35,32.139999,25.428867,16149000.0
4,2016-01-29,32.419998,33.720001,32.349998,33.25,26.307091,22914000.0
5,2016-02-05,33.080002,34.209999,32.560001,32.810001,26.245544,20500700.0
6,2016-02-12,32.849998,34.130001,32.169998,33.93,27.141462,19664900.0
7,2016-02-19,33.82,33.990002,32.400002,33.950001,27.157459,21860500.0
8,2016-02-26,33.939999,34.130001,32.57,33.98,27.181454,17977700.0
9,2016-03-04,33.73,36.450001,33.529999,35.970001,28.773304,17213800.0
10,2016-03-11,36.080002,36.360001,35.220001,36.169998,28.933283,15104900.0
11,2016-03-18,36.16,36.25,35.41,36.16,28.925289,17157800.0
12,2016-03-25,36.16,36.540001,35.509998,35.970001,28.773304,19526300.0
13,2016-04-01,35.98,36.290001,34.52,34.759998,27.805399,25501700.0
14,2016-04-08,34.889999,36.0,34.880001,35.41,28.32535,17898600.0
15,2016-04-15,35.389999,36.029999,33.580002,33.91,27.12546,21795300.0
16,2016-04-22,34.16,36.32,31.68,32.470001,25.97357,44407600.0
17,2016-04-29,32.450001,34.02,32.209999,33.509998,26.805489,30858700.0
18,2016-05-06,33.439999,34.189999,32.959999,33.970001,27.468107,19594400.0
19,2016-05-13,33.830002,33.970001,31.83,32.349998,26.158175,20933000.0
20,2016-05-20,32.459999,32.490002,31.370001,32.349998,26.158175,16891400.0
21,2016-05-27,32.450001,33.380001,32.27,33.310001,26.934435,11740800.0
22,2016-06-03,33.57,34.290001,33.419998,34.25,27.694515,14568000.0
23,2016-06-10,34.240002,34.349998,33.470001,33.990002,27.484276,11861500.0
24,2016-06-17,33.98,34.380001,32.84,33.16,26.813143,19505400.0
25,2016-06-24,32.75,34.919998,32.599998,34.91,28.228189,20476000.0
26,2016-07-01,35.02,35.689999,34.830002,35.330002,28.567804,12931900.0
27,2016-07-08,35.259998,36.490002,35.009998,35.849998,28.988276,20726300.0
28,2016-07-15,35.919998,36.349998,35.740002,35.959999,29.077215,14020600.0
29,2016-07-22,35.959999,36.599998,34.84,35.369999,28.600147,23919000.0
30,2016-07-29,35.220001,35.25,32.77,32.93,26.627169,22203400.0
31,2016-08-05,32.91,33.220001,32.369999,32.880001,26.877213,15151800.0
32,2016-08-12,33.029999,33.349998,32.150002,33.119999,27.073402,19326500.0
33,2016-08-19,33.060001,33.25,32.509998,32.93,26.918085,12083600.0
34,2016-08-26,33.07,33.349998,32.119999,32.450001,26.525715,16935200.0
35,2016-09-02,32.490002,33.669998,32.490002,33.639999,27.498461,10439000.0
36,2016-09-09,33.279999,33.470001,32.459999,32.84,26.844513,17275900.0
37,2016-09-16,32.630001,34.959999,32.459999,34.84,28.479383,16626900.0
38,2016-09-23,34.619999,34.869999,33.07,33.169998,27.114271,19164000.0
39,2016-09-30,33.360001,33.5,31.16,31.469999,25.724632,29850400.0
40,2016-10-07,31.68,31.950001,30.290001,31.559999,25.798197,26817700.0
41,2016-10-14,31.52,33.419998,31.43,32.849998,26.852688,27174300.0
42,2016-10-21,32.700001,34.029999,32.630001,33.900002,27.710995,18502600.0
43,2016-10-28,33.950001,34.5,32.66,33.290001,27.21236,24325200.0
44,2016-11-04,33.279999,34.830002,31.790001,31.85,26.319281,28649600.0
45,2016-11-11,31.879999,32.419998,31.08,31.959999,26.410175,22457300.0
46,2016-11-18,31.93,32.099998,31.27,31.49,26.021786,14977800.0
47,2016-11-25,31.59,32.75,30.83,30.99,25.608618,18098600.0
48,2016-12-02,31.0,31.24,29.33,30.530001,25.228493,30404000.0
49,2016-12-09,30.6,32.299999,30.540001,31.32,25.881313,25629000.0
50,2016-12-16,31.299999,31.98,31.049999,31.219999,25.798677,27349300.0
51,2016-12-23,31.33,31.42,30.82,31.120001,25.716045,10091100.0
52,2016-12-30,31.17,31.290001,30.43,30.85,25.492928,13470000.0
53,2017-01-06,30.709999,31.24,30.120001,30.68,25.352448,25012800.0
54,2017-01-13,30.639999,31.360001,30.24,30.309999,25.046696,15982800.0
55,2017-01-20,30.35,30.52,29.51,29.82,24.641787,23479100.0
56,2017-01-27,29.889999,30.370001,29.610001,29.950001,24.74921,22535400.0
57,2017-02-03,29.67,30.15,29.58,29.879999,24.691364,18770700.0
58,2017-02-10,29.860001,30.719999,29.809999,30.620001,25.610706,18650900.0
59,2017-02-17,30.66,31.620001,30.35,31.389999,26.254738,22172900.0
60,2017-02-24,31.559999,32.540001,31.389999,31.639999,26.463839,27334300.0
61,2017-03-03,31.68,32.529999,30.469999,31.1,26.012184,20853500.0
62,2017-03-10,31.209999,31.709999,30.780001,31.129999,26.037273,17789000.0
63,2017-03-17,31.219999,31.809999,30.809999,31.200001,26.095825,24523900.0
64,2017-03-24,31.4,31.85,31.07,31.370001,26.238012,15611300.0
65,2017-03-31,31.42,31.93,31.190001,31.76,26.564209,19203200.0
66,2017-04-07,31.889999,31.940001,31.200001,31.27,26.154369,17722100.0
67,2017-04-14,31.299999,31.57,30.57,30.66,25.644167,15515100.0
68,2017-04-21,30.639999,31.15,30.16,30.52,25.527067,23802300.0
69,2017-04-28,30.68,30.9,28.209999,28.870001,24.146999,36955900.0
70,2017-05-05,28.91,29.200001,28.610001,28.809999,24.399389,23619400.0
71,2017-05-12,28.860001,29.059999,28.139999,28.16,23.8489,18130300.0
72,2017-05-19,28.15,28.969999,27.93,28.860001,24.44174,17361300.0
73,2017-05-26,28.889999,29.42,28.65,29.389999,24.890596,11873400.0
74,2017-06-02,29.59,29.629999,28.66,28.870001,24.450207,16275100.0
75,2017-06-09,28.85,29.809999,28.690001,29.790001,25.229364,18554800.0
76,2017-06-16,29.85,30.299999,29.120001,29.18,24.712748,27055900.0
77,2017-06-23,29.15,30.209999,28.719999,28.82,24.407862,25987400.0
78,2017-06-30,28.870001,29.440001,28.83,29.309999,24.822844,16817300.0
79,2017-07-07,29.309999,29.860001,29.110001,29.66,25.119261,21013600.0
80,2017-07-14,29.91,31.379999,29.860001,31.23,26.448908,30751100.0
81,2017-07-21,31.16,31.84,30.66,31.25,26.465845,29086700.0
82,2017-07-28,31.129999,32.349998,31.059999,32.060001,27.151842,29460200.0
83,2017-08-04,31.83,32.18,31.57,32.040001,27.44161,18177000.0
84,2017-08-11,31.91,33.0,31.790001,32.650002,27.964062,18643300.0
85,2017-08-18,32.630001,33.080002,32.490002,32.669998,27.981186,14012300.0
86,2017-08-25,32.75,32.98,32.509998,32.580002,27.904108,15770900.0
87,2017-09-01,32.650002,32.740002,32.060001,32.119999,27.510122,13010900.0
88,2017-09-08,32.139999,32.580002,31.139999,31.639999,27.099012,21069500.0
89,2017-09-15,31.299999,31.700001,30.85,31.15,26.67934,19917300.0
90,2017-09-22,31.24,31.290001,29.809999,30.07,25.754337,19681900.0
91,2017-09-29,30.16,31.530001,30.1,31.33,26.833509,22366200.0
92,2017-10-06,31.219999,32.560001,30.98,32.450001,27.792761,18957600.0
93,2017-10-13,32.509998,32.810001,31.790001,32.299999,27.664293,20767000.0
94,2017-10-20,32.240002,32.279999,31.34,31.780001,27.218924,15599400.0
95,2017-10-27,32.099998,33.119999,31.620001,32.599998,27.921234,22016400.0
96,2017-11-03,32.560001,33.990002,32.389999,33.599998,28.77771,21008500.0
97,2017-11-10,33.369999,35.220001,33.369999,34.639999,29.998203,20552400.0
98,2017-11-17,34.57,35.02,34.119999,34.240002,29.651808,13451400.0
99,2017-11-24,34.27,34.419998,33.369999,34.139999,29.565203,22115400.0
100,2017-12-01,34.290001,34.330002,32.139999,32.720001,28.335487,26470300.0
101,2017-12-08,32.709999,33.27,31.92,32.119999,27.815886,20533100.0
102,2017-12-15,32.220001,32.41,30.26,30.59,26.49091,24499400.0
103,2017-12-22,30.629999,30.790001,30.18,30.450001,26.369669,8755600.0
104,2017-12-29,30.48,31.01,30.219999,30.32,26.25709,13376000.0
105,2018-01-05,30.34,30.57,29.66,30.24,26.187811,25946000.0
106,2018-01-12,30.18,30.360001,29.35,29.559999,25.598928,19048000.0
107,2018-01-19,29.65,34.130001,29.34,32.09,27.789909,92280900.0
108,2018-01-26,32.490002,33.0,31.76,32.619999,28.248888,72448200.0
109,2018-02-02,32.490002,32.740002,30.129999,30.639999,26.534208,35887100.0
