,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,24.120001,26.799999,23.860001,26.74,22.428637,40256500.0
1,2016-01-08,25.040001,25.290001,22.26,23.219999,19.659237,46570400.0
2,2016-01-15,22.620001,23.709999,21.57,23.0,19.472975,24871900.0
3,2016-01-22,23.34,24.290001,22.940001,24.01,20.328091,24411800.0
4,2016-01-29,24.26,25.059999,23.67,23.9,20.234961,30462200.0
5,2016-02-05,23.82,24.76,22.030001,22.43,18.990381,37188800.0
6,2016-02-12,22.68,26.190001,22.58,26.18,22.165325,21740600.0
7,2016-02-19,25.75,27.690001,25.16,27.6,23.367567,34745600.0
8,2016-02-26,27.1,28.58,26.200001,28.540001,24.163418,30773900.0
9,2016-03-04,28.59,30.309999,28.549999,29.59,25.052402,36341400.0
10,2016-03-11,30.040001,30.389999,28.65,29.9,25.314863,25255900.0
11,2016-03-18,30.040001,30.49,28.23,28.76,24.349684,27954800.0
12,2016-03-25,28.940001,30.0,28.860001,29.4,24.891541,18043400.0
13,2016-04-01,29.24,30.1,27.6,27.68,23.435303,31226800.0
14,2016-04-08,27.68,27.68,23.24,23.709999,20.232048,62070000.0
15,2016-04-15,23.74,24.379999,23.4,23.83,20.33445,21242000.0
16,2016-04-22,23.77,24.040001,23.16,23.530001,20.078459,17425000.0
17,2016-04-29,23.530001,23.530001,21.690001,21.870001,18.661957,28860200.0
18,2016-05-06,21.73,22.139999,17.629999,17.860001,15.240173,70632100.0
19,2016-05-13,17.610001,18.299999,17.0,17.280001,14.745252,42853500.0
20,2016-05-20,17.41,18.73,17.309999,18.059999,15.41083,56259700.0
21,2016-05-27,18.1,18.48,17.719999,18.33,15.641226,34950500.0
22,2016-06-03,19.0,19.59,18.700001,19.309999,16.477474,31172300.0
23,2016-06-10,18.82,19.790001,18.559999,19.34,16.503069,24313900.0
24,2016-06-17,19.389999,21.07,19.379999,20.93,17.859838,39334500.0
25,2016-06-24,20.120001,21.24,19.33,21.219999,18.107298,34529800.0
26,2016-07-01,20.969999,21.889999,20.73,21.629999,18.457159,35430500.0
27,2016-07-08,22.76,23.540001,22.610001,23.209999,20.022411,35769100.0
28,2016-07-15,23.32,24.49,23.209999,24.23,20.90233,23786000.0
29,2016-07-22,24.24,25.950001,23.92,25.23,21.764988,36458200.0
30,2016-07-29,25.25,25.799999,22.950001,25.200001,21.739117,40409400.0
31,2016-08-05,25.299999,25.870001,23.790001,24.98,21.549328,33310700.0
32,2016-08-12,25.030001,26.0,24.860001,25.879999,22.325724,29463400.0
33,2016-08-19,25.9,27.190001,25.700001,26.389999,22.765684,40154400.0
34,2016-08-26,26.5,26.780001,24.35,24.549999,21.178385,28327900.0
35,2016-09-02,24.0,24.35,23.24,23.719999,20.462374,25665000.0
36,2016-09-09,23.6,23.950001,22.809999,23.57,20.332972,24203700.0
37,2016-09-16,23.459999,23.67,22.18,22.58,19.478935,28091800.0
38,2016-09-23,22.549999,22.950001,21.700001,21.700001,18.719795,19914500.0
39,2016-09-30,21.870001,22.889999,21.57,22.780001,19.65147,26324900.0
40,2016-10-07,24.26,26.940001,24.25,26.540001,23.134335,53222100.0
41,2016-10-14,26.540001,26.77,25.74,26.48,23.082026,18697800.0
42,2016-10-21,26.209999,27.34,25.92,26.620001,23.204067,15583700.0
43,2016-10-28,26.58,27.610001,25.48,25.629999,22.341105,28248100.0
44,2016-11-04,25.77,29.129999,25.690001,28.58,24.912554,33538500.0
45,2016-11-11,28.35,30.74,28.18,30.709999,26.769224,27067100.0
46,2016-11-18,28.25,28.379999,24.92,26.18,22.82053,59327700.0
47,2016-11-25,26.389999,26.459999,24.799999,25.049999,21.835531,30838100.0
48,2016-12-02,24.42,26.75,24.01,26.48,23.082026,34456700.0
49,2016-12-09,26.450001,26.610001,25.299999,25.57,22.288805,24613200.0
50,2016-12-16,25.52,25.540001,22.32,22.48,19.595318,28496600.0
51,2016-12-23,22.629999,23.219999,22.43,22.73,19.81324,13541500.0
52,2016-12-30,22.43,24.93,22.25,23.25,20.26651,37106500.0
53,2017-01-06,24.33,24.459999,23.16,24.0,21.134123,39983700.0
54,2017-01-13,24.049999,24.790001,23.459999,23.870001,21.019644,20878700.0
55,2017-01-20,24.1,24.540001,23.51,23.870001,21.019644,22929900.0
56,2017-01-27,23.889999,23.969999,22.030001,22.790001,20.068609,34085800.0
57,2017-02-03,22.91,24.1,22.51,23.969999,21.107702,27487800.0
58,2017-02-10,24.1,24.65,23.440001,24.059999,21.186953,25473800.0
59,2017-02-17,23.9,25.26,23.73,23.969999,21.107702,22766100.0
60,2017-02-24,24.299999,25.440001,23.200001,25.129999,22.129185,39076600.0
61,2017-03-03,25.15,25.309999,23.959999,24.129999,21.248596,24827500.0
62,2017-03-10,24.280001,24.459999,23.219999,23.93,21.072479,18912800.0
63,2017-03-17,24.040001,24.17,22.25,23.299999,20.517706,27781600.0
64,2017-03-24,23.25,24.91,23.02,24.450001,21.530386,27306000.0
