,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,12.99,13.08,12.15,12.18,10.185019,77271700.0
1,2016-01-08,12.29,12.34,11.55,11.83,9.892345,90272500.0
2,2016-01-15,11.36,11.69,10.78,11.17,9.34045,86360300.0
3,2016-01-22,11.36,11.57,10.81,11.08,9.265189,85791100.0
4,2016-01-29,11.15,11.25,10.32,10.91,9.123035,88559800.0
5,2016-02-05,11.02,11.1,9.88,10.0,8.362084,93451200.0
6,2016-02-12,10.19,11.15,10.15,10.64,8.897259,80785700.0
7,2016-02-19,10.56,10.94,10.23,10.69,8.939068,59524100.0
8,2016-02-26,10.79,11.47,10.45,11.47,9.59131,102674000.0
9,2016-03-04,11.57,11.74,10.75,10.96,9.229596,57154900.0
10,2016-03-11,11.09,11.34,10.86,11.13,9.372757,65438000.0
11,2016-03-18,11.23,11.53,11.01,11.19,9.423285,68041600.0
12,2016-03-25,11.22,11.29,10.87,11.04,9.296969,46617900.0
13,2016-04-01,10.96,11.22,10.6,10.66,8.976963,63693300.0
14,2016-04-08,10.8,11.87,10.71,11.73,9.878028,63926000.0
15,2016-04-15,11.8,12.51,11.58,12.29,10.349615,66985000.0
16,2016-04-22,12.32,12.68,12.31,12.42,10.459089,63395600.0
17,2016-04-29,12.31,12.52,11.77,11.87,9.995925,66657500.0
18,2016-05-06,11.76,12.17,11.7,11.88,10.004346,48645600.0
19,2016-05-13,11.86,12.67,11.63,12.39,10.433825,64224800.0
20,2016-05-20,12.44,13.08,12.31,12.75,10.736987,52162700.0
21,2016-05-27,12.78,12.98,12.56,12.96,10.985885,48497400.0
22,2016-06-03,12.42,12.97,12.29,12.44,10.545092,63330000.0
23,2016-06-10,12.31,12.33,11.34,11.53,9.773705,68501000.0
24,2016-06-17,11.48,11.99,11.46,11.99,10.163637,55935300.0
25,2016-06-24,11.28,11.49,10.21,11.05,9.366824,122248700.0
26,2016-07-01,10.97,11.11,10.38,10.94,9.273577,62414100.0
27,2016-07-08,11.17,11.89,11.07,11.78,9.985626,68341300.0
28,2016-07-15,11.86,11.91,11.61,11.68,9.900859,49651600.0
29,2016-07-22,11.72,11.84,11.44,11.65,9.875427,84215700.0
30,2016-07-29,11.57,11.82,11.35,11.73,10.016577,143630000.0
31,2016-08-05,11.91,12.4,11.89,12.12,10.34961,93518100.0
32,2016-08-12,12.01,12.35,11.89,12.21,10.426463,72201700.0
33,2016-08-19,12.19,12.33,12.06,12.26,10.46916,87970500.0
34,2016-08-26,12.29,12.64,12.2,12.44,10.622866,78851100.0
35,2016-09-02,12.5,12.57,12.24,12.4,10.588707,55488500.0
36,2016-09-09,12.36,12.62,12.08,12.37,10.563091,93441600.0
37,2016-09-16,12.24,12.39,12.08,12.34,10.537473,62631500.0
38,2016-09-23,12.3,12.47,11.89,12.05,10.289834,67372200.0
39,2016-09-30,12.12,12.85,12.0,12.73,10.870503,74939300.0
40,2016-10-07,12.71,12.9,12.2,12.31,10.511855,70123800.0
41,2016-10-14,12.53,13.15,12.33,13.02,11.118145,78023900.0
42,2016-10-21,12.91,14.38,12.84,14.27,12.185555,99212500.0
43,2016-10-28,14.29,14.33,13.83,13.96,11.920835,74397900.0
44,2016-11-04,13.98,16.040001,13.85,15.79,13.483525,109894700.0
45,2016-11-11,15.72,17.120001,15.62,17.0,14.516778,139862000.0
46,2016-11-18,17.049999,17.57,16.92,17.52,14.960818,63797200.0
47,2016-11-25,17.41,17.870001,16.940001,17.860001,15.25116,62204700.0
48,2016-12-02,17.879999,18.610001,17.58,18.370001,15.763136,78151700.0
