,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,71.589996,72.68,70.260002,70.370003,59.133171,8687500.0
1,2016-01-08,71.339996,72.389999,70.379997,71.669998,60.225571,9033700.0
2,2016-01-15,70.309998,71.559998,68.730003,69.959999,58.788631,8580300.0
3,2016-01-22,70.660004,73.239998,70.099998,72.790001,61.166748,7720000.0
4,2016-01-29,73.099998,74.139999,71.400002,71.830002,60.360035,10492600.0
5,2016-02-05,72.160004,74.519997,70.330002,73.690002,61.923016,15894700.0
6,2016-02-12,74.330002,76.239998,73.699997,75.790001,63.687695,10459000.0
7,2016-02-19,75.610001,75.760002,73.400002,74.910004,62.948215,13127500.0
8,2016-02-26,74.580002,75.139999,72.900002,74.839996,62.889381,12327400.0
9,2016-03-04,74.839996,75.919998,74.5,75.239998,63.650345,7043100.0
10,2016-03-11,75.5,76.809998,74.220001,76.440002,64.665512,8391200.0
11,2016-03-18,76.529999,76.580002,74.099998,75.440002,63.819565,9582200.0
12,2016-03-25,75.370003,77.050003,75.330002,76.550003,64.758575,6530800.0
13,2016-04-01,75.709999,78.099998,75.529999,77.110001,65.232315,10803800.0
14,2016-04-08,77.209999,77.830002,76.400002,76.459999,64.682426,6714500.0
15,2016-04-15,76.510002,77.849998,74.959999,74.989998,63.438881,8414100.0
16,2016-04-22,75.07,76.910004,74.720001,76.480003,64.699356,6547200.0
17,2016-04-29,76.410004,77.690002,74.879997,75.050003,63.489643,11059800.0
18,2016-05-06,74.910004,77.540001,73.699997,77.309998,65.401505,11240500.0
19,2016-05-13,77.110001,77.940002,74.050003,75.239998,63.650345,11147200.0
20,2016-05-20,75.220001,75.589996,74.110001,75.330002,63.726482,9234000.0
21,2016-05-27,74.980003,75.25,74.010002,74.529999,63.049736,7960500.0
22,2016-06-03,74.57,77.699997,74.330002,77.690002,66.162117,9906800.0
23,2016-06-10,77.349998,78.260002,75.809998,77.029999,65.600029,12351500.0
24,2016-06-17,76.970001,77.830002,75.949997,77.830002,66.281342,7257000.0
25,2016-06-24,76.419998,82.57,75.580002,81.650002,69.534531,19712000.0
26,2016-07-01,81.440002,83.190002,80.639999,82.269997,70.062538,11534200.0
27,2016-07-08,82.580002,85.699997,81.230003,85.32,72.65995,16505600.0
28,2016-07-15,85.470001,87.160004,82.139999,82.480003,70.241364,25756700.0
29,2016-07-22,82.769997,84.029999,81.080002,81.790001,69.653755,9643800.0
30,2016-07-29,81.919998,84.099998,80.57,82.419998,70.190254,10161700.0
31,2016-08-05,82.839996,84.279999,81.940002,83.459999,71.075928,7855900.0
32,2016-08-12,83.5,84.010002,81.760002,83.019997,70.701233,7523900.0
33,2016-08-19,82.849998,83.650002,81.860001,82.82,70.530914,7248500.0
34,2016-08-26,82.790001,83.370003,81.309998,81.690002,69.568573,8170300.0
35,2016-09-02,82.169998,82.779999,79.919998,79.989998,68.549728,6091200.0
36,2016-09-09,79.489998,79.5,77.129997,78.260002,67.067177,12054900.0
37,2016-09-16,77.900002,78.690002,76.900002,78.220001,67.032883,8228300.0
38,2016-09-23,77.900002,78.099998,77.059998,77.260002,66.210197,4779500.0
39,2016-09-30,77.440002,78.019997,75.290001,75.970001,65.104683,8487800.0
40,2016-10-07,76.059998,77.059998,75.110001,75.779999,64.941864,8311400.0
41,2016-10-14,75.989998,76.32,74.040001,74.230003,63.613544,9406600.0
42,2016-10-21,74.019997,74.800003,73.660004,74.160004,63.553532,7776600.0
43,2016-10-28,74.269997,76.040001,73.75,73.970001,63.390724,11519000.0
44,2016-11-04,73.940002,78.370003,72.459999,72.650002,62.259502,10894700.0
45,2016-11-11,72.720001,73.769997,71.830002,73.440002,62.936527,8296800.0
46,2016-11-18,73.349998,74.660004,72.830002,73.389999,62.893677,4737000.0
47,2016-11-25,73.709999,74.580002,70.739998,70.959999,60.811207,6766500.0
48,2016-12-02,71.230003,72.75,70.790001,72.089996,62.217449,7623200.0
49,2016-12-09,72.160004,74.489998,72.080002,73.410004,63.356689,8463200.0
50,2016-12-16,73.459999,74.050003,71.830002,73.660004,63.572437,12738000.0
51,2016-12-23,73.57,74.139999,73.080002,73.959999,63.831367,3408300.0
52,2016-12-30,74.0,74.160004,72.360001,73.110001,63.097763,5415700.0
53,2017-01-06,72.769997,73.419998,71.580002,71.919998,62.070744,6446400.0
54,2017-01-13,71.790001,72.550003,71.050003,71.779999,61.949909,8119900.0
55,2017-01-20,71.910004,72.870003,71.660004,72.089996,62.217449,9438800.0
56,2017-01-27,72.129997,73.43,71.449997,72.769997,62.804325,7634400.0
57,2017-02-03,73.019997,76.690002,72.269997,76.440002,65.971725,10239200.0
58,2017-02-10,76.160004,76.559998,74.370003,74.709999,64.478638,12148000.0
