,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,30.700001,31.700001,28.780001,28.98,25.370459,56795300.0
1,2016-01-08,29.41,29.49,26.23,27.15,23.768383,104288600.0
2,2016-01-15,26.030001,27.129999,24.67,24.780001,21.693579,106321600.0
3,2016-01-22,25.26,26.16,24.940001,25.17,22.035004,91817800.0
4,2016-01-29,25.35,25.93,23.290001,25.01,22.024534,90901600.0
5,2016-02-05,25.09,25.42,21.16,21.690001,19.100847,116731400.0
6,2016-02-12,21.91,24.67,21.860001,23.959999,21.099876,80115400.0
7,2016-02-19,23.780001,24.74,22.68,24.629999,21.689899,77737000.0
8,2016-02-26,25.0,26.290001,24.67,26.139999,23.019646,77391200.0
9,2016-03-04,26.26,26.5,24.440001,24.65,21.707516,88839400.0
10,2016-03-11,25.15,26.09,24.58,25.85,22.764265,96521100.0
11,2016-03-18,26.049999,26.610001,24.290001,24.93,21.954086,73918400.0
12,2016-03-25,24.98,25.540001,24.120001,25.01,22.024534,50461800.0
13,2016-04-01,24.889999,25.68,23.51,23.719999,20.888523,71880500.0
14,2016-04-08,24.01,26.26,23.66,26.17,23.04607,73985400.0
15,2016-04-15,26.309999,27.879999,25.530001,27.26,24.005955,108927100.0
16,2016-04-22,27.32,27.83,27.08,27.23,23.979536,68191000.0
17,2016-04-29,27.01,27.52,26.0,26.17,23.172234,74235100.0
18,2016-05-06,25.99,26.99,25.9,26.23,23.225361,53364800.0
19,2016-05-13,26.190001,27.35,25.85,26.610001,23.561831,69553800.0
20,2016-05-20,26.85,28.290001,26.6,27.42,24.279043,67189000.0
21,2016-05-27,27.450001,27.870001,26.67,27.280001,24.155081,42131900.0
22,2016-06-03,26.6,27.01,25.950001,26.08,23.092543,54890400.0
23,2016-06-10,25.639999,25.85,24.23,25.07,22.198238,75789400.0
24,2016-06-17,25.1,27.290001,25.049999,27.290001,24.163939,81649500.0
25,2016-06-24,25.07,26.0,23.110001,25.98,23.003996,128035300.0
26,2016-07-01,25.77,26.4,24.57,25.690001,22.747221,49774400.0
27,2016-07-08,26.17,28.08,26.030001,28.0,24.792603,71220000.0
