,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,26.16,26.24,23.15,23.370001,20.156349,18925000.0
1,2016-01-08,23.459999,23.57,22.299999,23.219999,20.169907,24543100.0
2,2016-01-15,22.33,22.58,20.66,21.35,18.545544,19429600.0
3,2016-01-22,21.790001,22.24,21.18,21.48,18.658466,19506200.0
4,2016-01-29,21.66,23.15,21.32,22.58,19.613976,20390600.0
5,2016-02-05,22.57,23.08,21.219999,21.73,18.875628,21580500.0
6,2016-02-12,21.18,24.33,20.889999,23.93,20.786646,26237400.0
7,2016-02-19,23.91,25.459999,23.700001,24.629999,21.394691,25255600.0
8,2016-02-26,24.879999,26.17,24.379999,26.07,22.645542,16719400.0
9,2016-03-04,26.139999,27.25,25.559999,26.33,22.871389,20803500.0
10,2016-03-11,26.620001,27.08,25.459999,26.66,23.158037,14873300.0
11,2016-03-18,26.780001,27.51,25.66,26.34,22.880077,13760400.0
12,2016-03-25,26.389999,27.5,26.1,27.290001,23.70529,10502800.0
13,2016-04-01,26.99,27.190001,25.540001,25.719999,22.341518,13794600.0
14,2016-04-08,25.969999,26.700001,25.219999,25.639999,22.42359,11741700.0
15,2016-04-15,25.639999,25.639999,23.440001,24.110001,21.085526,19525400.0
16,2016-04-22,24.139999,24.76,24.09,24.309999,21.260433,12657400.0
17,2016-04-29,24.17,24.17,22.75,22.82,19.957342,15072800.0
18,2016-05-06,22.700001,23.6,22.5,22.99,20.10602,12202900.0
19,2016-05-13,22.879999,23.950001,22.75,23.4,20.464588,11509700.0
20,2016-05-20,23.43,26.309999,23.43,24.9,21.776423,23628500.0
21,2016-05-27,25.07,25.690001,24.040001,24.99,21.855131,17203200.0
22,2016-06-03,24.99,25.33,24.57,24.9,21.776423,12680400.0
23,2016-06-10,24.67,24.84,24.040001,24.469999,21.400362,16282100.0
24,2016-06-17,24.5,26.030001,24.25,26.02,22.755924,15075800.0
25,2016-06-24,24.5,25.290001,22.889999,24.59,21.505306,25677500.0
26,2016-07-01,24.540001,24.860001,23.08,23.940001,20.936848,9382700.0
27,2016-07-08,24.16,25.73,24.07,25.290001,22.117496,13230100.0
28,2016-07-15,25.42,26.1,24.940001,25.99,22.900249,9163200.0
29,2016-07-22,26.09,26.950001,25.77,26.370001,23.235075,10833200.0
30,2016-07-29,26.33,26.780001,25.82,26.450001,23.305565,10097800.0
31,2016-08-05,26.57,28.450001,26.469999,28.110001,24.768221,11055100.0
32,2016-08-12,28.02,33.900002,27.99,33.880001,29.852266,29067700.0
33,2016-08-19,33.57,35.470001,33.360001,35.040001,30.874365,24353500.0
34,2016-08-26,35.099998,35.490002,34.330002,34.93,30.777441,13309900.0
35,2016-09-02,35.16,35.68,34.700001,35.060001,30.891985,10213400.0
36,2016-09-09,34.700001,35.389999,33.880001,35.049999,30.883175,15260600.0
37,2016-09-16,34.919998,36.099998,34.610001,35.959999,31.684994,16759500.0
38,2016-09-23,35.900002,36.049999,34.52,34.73,30.601219,14982900.0
39,2016-09-30,35.16,35.939999,34.639999,34.790001,30.654085,15670600.0
40,2016-10-07,34.849998,35.09,33.290001,33.869999,30.007053,14349200.0
41,2016-10-14,34.049999,34.220001,33.27,33.869999,30.007053,13509600.0
42,2016-10-21,33.66,34.57,33.369999,33.799999,29.945034,11325700.0
43,2016-10-28,33.880001,34.18,32.34,32.450001,28.749012,17795400.0
44,2016-11-04,31.33,33.970001,30.360001,33.459999,29.643814,26403300.0
45,2016-11-11,33.470001,39.0,33.259998,36.900002,32.691475,31645700.0
46,2016-11-18,36.82,37.43,36.290001,36.349998,32.204193,15407500.0
47,2016-11-25,36.32,36.889999,35.349998,35.439999,31.397985,14482600.0
48,2016-12-02,35.360001,36.810001,34.720001,36.299999,32.159901,18264700.0
49,2016-12-09,36.450001,37.119999,35.529999,36.990002,32.77121,18156600.0
50,2016-12-16,36.990002,37.310001,36.0,36.220001,32.089027,23757100.0
51,2016-12-23,36.169998,36.810001,35.5,35.68,31.610617,5096500.0
