,x,MEAN,MAX,VAR,1st Quar
1,7.517268089,9.517723462,17.47747625,3.83414976,8.155266976
2,10.30155305,,,,
3,9.936004979,,,,
4,13.3385384,,,,
5,9.226659968,,,,
6,9.089191237,,,,
7,13.41554643,,,,
8,9.993245772,,,,
9,9.004729905,,,,
10,8.443135518,,,,
11,11.66531729,,,,
12,9.307552294,,,,
13,12.09387535,,,,
14,8.09242863,,,,
15,11.99288638,,,,
16,10.70431393,,,,
17,10.12766232,,,,
18,10.56195493,,,,
19,8.061737142,,,,
20,11.35046666,,,,
21,10.78793963,,,,
22,10.70720165,,,,
23,12.12294108,,,,
24,9.527467192,,,,
25,7.064844073,,,,
26,10.99526074,,,,
27,8.14724327,,,,
28,12.70295299,,,,
29,10.6365293,,,,
30,10.11580315,,,,
31,8.931055674,,,,
32,9.309861994,,,,
33,9.680613678,,,,
34,5.011000716,,,,
35,8.846147389,,,,
36,9.126757783,,,,
37,10.38889239,,,,
38,9.353068368,,,,
39,10.34592898,,,,
40,6.091011471,,,,
41,9.731573434,,,,
42,9.881409884,,,,
43,10.48945224,,,,
44,10.42398966,,,,
45,8.519577625,,,,
46,7.634996694,,,,
47,8.99884562,,,,
48,8.67991391,,,,
49,10.51270919,,,,
50,8.23084805,,,,
51,5.786928776,,,,
52,10.93306777,,,,
53,7.049452171,,,,
54,11.46487139,,,,
55,10.38458904,,,,
56,10.17449556,,,,
57,10.88066196,,,,
58,10.09589204,,,,
59,8.23252989,,,,
60,11.67105557,,,,
61,11.94436631,,,,
62,9.629973856,,,,
63,6.868479867,,,,
64,10.11018114,,,,
65,6.98483948,,,,
66,11.14518572,,,,
67,7.485181343,,,,
68,9.13181131,,,,
69,7.32360528,,,,
70,11.96442664,,,,
71,10.8459945,,,,
72,12.22299585,,,,
73,13.23045401,,,,
74,8.215056619,,,,
75,10.77598485,,,,
76,11.37883578,,,,
77,10.43185036,,,,
78,7.493133078,,,,
79,11.60066208,,,,
80,8.728410266,,,,
81,12.72268409,,,,
82,6.129237062,,,,
83,9.400128873,,,,
84,8.223029883,,,,
85,10.96566835,,,,
86,11.0503515,,,,
87,9.463524846,,,,
88,6.589276786,,,,
89,9.11574385,,,,
90,10.2413207,,,,
91,11.27090109,,,,
92,10.20422468,,,,
93,8.785412096,,,,
94,8.989457468,,,,
95,9.482129805,,,,
96,6.931624589,,,,
97,7.161188896,,,,
98,9.026772061,,,,
99,12.43157412,,,,
100,7.958510914,,,,
101,9.259243071,,,,
102,7.274482268,,,,
103,10.03996153,,,,
104,5.442133714,,,,
105,11.04406239,,,,
106,7.553750388,,,,
107,9.726117566,,,,
108,10.05720848,,,,
109,8.468157364,,,,
110,12.11372603,,,,
111,11.96084599,,,,
112,7.652013551,,,,
113,9.508775646,,,,
114,10.74374661,,,,
115,9.010443921,,,,
116,9.229989348,,,,
117,15.0037338,,,,
118,10.65920727,,,,
119,11.22658884,,,,
120,9.676336407,,,,
121,10.13015489,,,,
122,8.471323168,,,,
123,9.873637263,,,,
124,10.02367882,,,,
125,5.533323487,,,,
126,7.568951317,,,,
127,12.00299625,,,,
128,11.2902211,,,,
129,10.41426758,,,,
130,7.608363651,,,,
131,12.57358304,,,,
132,7.547538871,,,,
133,8.341017168,,,,
134,5.992548243,,,,
135,10.94506831,,,,
136,10.39928585,,,,
137,9.916907335,,,,
138,7.688848354,,,,
139,6.452549708,,,,
140,7.574926795,,,,
141,8.008540104,,,,
142,11.29735099,,,,
143,10.12486839,,,,
144,11.82066393,,,,
145,9.740408527,,,,
146,11.77892394,,,,
147,8.586023271,,,,
148,10.34645703,,,,
149,13.44147806,,,,
150,10.08964143,,,,
151,8.710262105,,,,
152,6.019441609,,,,
153,7.344651779,,,,
154,9.49123023,,,,
155,8.792291484,,,,
156,13.28302101,,,,
157,11.13992057,,,,
158,7.672587089,,,,
159,7.182465608,,,,
160,9.452918346,,,,
161,7.619922974,,,,
162,13.26283167,,,,
163,8.658990954,,,,
164,9.550153985,,,,
165,10.64271782,,,,
166,9.500442708,,,,
167,12.22168715,,,,
168,10.11499896,,,,
169,4.941053825,,,,
170,10.46906491,,,,
171,11.61473025,,,,
172,13.5332026,,,,
173,10.13380503,,,,
174,11.94415321,,,,
175,13.48937086,,,,
176,9.840611657,,,,
177,11.45524291,,,,
178,7.702236675,,,,
179,9.926840801,,,,
180,10.42972224,,,,
181,6.479573449,,,,
182,7.890652809,,,,
183,11.64511844,,,,
184,11.57394468,,,,
185,13.02737738,,,,
186,10.29734649,,,,
187,10.12649168,,,,
188,9.989321588,,,,
189,11.416653,,,,
190,8.600382286,,,,
191,9.918013992,,,,
192,9.344974674,,,,
193,9.057039523,,,,
194,8.115387697,,,,
195,9.104544642,,,,
196,9.941417092,,,,
197,8.042976341,,,,
198,9.094208679,,,,
199,9.164189129,,,,
200,9.166437463,,,,
201,8.120969298,,,,
202,8.587570027,,,,
203,10.89620685,,,,
204,11.14911661,,,,
205,10.74022095,,,,
206,7.789358979,,,,
207,7.517569953,,,,
208,10.8990629,,,,
209,9.563299183,,,,
210,11.81742743,,,,
211,11.89839634,,,,
212,12.67717398,,,,
213,8.74531171,,,,
214,6.99361589,,,,
215,10.78651562,,,,
216,5.40124298,,,,
217,11.94701693,,,,
218,9.706296445,,,,
219,7.690249414,,,,
220,12.33453927,,,,
221,11.08490095,,,,
222,8.776038725,,,,
223,9.796777439,,,,
224,8.86866222,,,,
225,8.655377888,,,,
226,8.488121002,,,,
227,12.28592235,,,,
228,13.39638309,,,,
229,10.67422985,,,,
230,11.08758286,,,,
231,10.81140531,,,,
232,11.65218753,,,,
233,8.737339732,,,,
234,12.39799119,,,,
235,8.918949141,,,,
236,10.38470224,,,,
237,8.164204415,,,,
238,9.250527582,,,,
239,11.58474727,,,,
240,9.479381946,,,,
241,4.651923467,,,,
242,6.770233473,,,,
243,9.978973056,,,,
244,9.744739115,,,,
245,11.61364031,,,,
246,8.010712623,,,,
247,9.634822145,,,,
248,10.24679467,,,,
249,8.043253931,,,,
250,7.720802051,,,,
251,8.337375273,,,,
252,11.73075155,,,,
253,8.238653242,,,,
254,11.79755856,,,,
255,10.50605478,,,,
256,8.058046042,,,,
257,12.69835866,,,,
258,9.898597667,,,,
259,9.354872171,,,,
260,9.755873617,,,,
261,12.58152084,,,,
262,8.433470303,,,,
263,9.940422552,,,,
264,6.248139441,,,,
265,7.959937796,,,,
266,8.327391134,,,,
267,8.682735191,,,,
268,9.23982358,,,,
269,11.00449862,,,,
270,6.983817103,,,,
271,8.148972203,,,,
272,8.376713185,,,,
273,8.430088456,,,,
274,8.112915542,,,,
275,9.143568719,,,,
